nameKor,﻿Internal ID,Name,Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Variant ID,Variation,Body Title,Pattern,Pattern Title,Kit Cost,Body Customize,Pattern Customize,Miles Price,Outdoor
어쿠스틱기타,383,acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_0_0.png,NFS,3210,제작,,베이지색,갈색,비매품,Yes,1x1,0_0,Natural,Body,NA,NA,5,Yes,No,NA,No
어쿠스틱기타,383,acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_1_0.png,NFS,3210,제작,,빨간색,검정색,비매품,Yes,1x1,1_0,Cherry,Body,NA,NA,5,Yes,No,NA,No
어쿠스틱기타,383,acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_2_0.png,NFS,3210,제작,,갈색,검정색,비매품,Yes,1x1,2_0,Brown,Body,NA,NA,5,Yes,No,NA,No
어쿠스틱기타,383,acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_3_0.png,NFS,3210,제작,,파란색,검정색,비매품,Yes,1x1,3_0,Blue,Body,NA,NA,5,Yes,No,NA,No
어쿠스틱기타,383,acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_4_0.png,NFS,3210,제작,,하얀색,검정색,비매품,Yes,1x1,4_0,White,Body,NA,NA,5,Yes,No,NA,No
어쿠스틱기타,383,acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_5_0.png,NFS,3210,제작,,검정색,검정색,비매품,Yes,1x1,5_0,Black,Body,NA,NA,5,Yes,No,NA,No
어쿠스틱기타,383,acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_6_0.png,NFS,3210,제작,,분홍색,하얀색,비매품,Yes,1x1,6_0,Pink,Body,NA,NA,5,Yes,No,NA,No
서큘레이터,3821,air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_0_0.png,1100,275,너굴상점,증축 전#후 너굴상점의 가구 영역,하얀색,하얀색,구매가능,No,1x1,0_0,White,NA,NA,NA,NA,No,No,NA,Yes
서큘레이터,3821,air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_1_0.png,1100,275,너굴상점,증축 전#후 너굴상점의 가구 영역,검정색,회색,구매가능,No,1x1,1_0,Black,NA,NA,NA,NA,No,No,NA,Yes
서큘레이터,3821,air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_2_0.png,1100,275,너굴상점,증축 전#후 너굴상점의 가구 영역,분홍색,분홍색,구매가능,No,1x1,2_0,Pink,NA,NA,NA,NA,No,No,NA,Yes
서큘레이터,3821,air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_3_0.png,1100,275,너굴상점,증축 전#후 너굴상점의 가구 영역,초록색,회색,구매가능,No,1x1,3_0,Green,NA,NA,NA,NA,No,No,NA,Yes
서큘레이터,3821,air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_4_0.png,1100,275,너굴상점,증축 전#후 너굴상점의 가구 영역,노란색,회색,구매가능,No,1x1,4_0,Yellow,NA,NA,NA,NA,No,No,NA,Yes
알토 색소폰,846,alto saxophone,https://acnhcdn.com/latest/FtrIcon/FtrAltosax.png,3400,850,너굴상점,증축 후 너굴상점의 일반 가구 영역,노란색,노란색,구매가능,No,1x1,NA,NA,NA,NA,NA,NA,No,No,NA,No
