nameKor,﻿Internal ID,Name,Storage Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Closet Image,Seasonal Availability,Style,Label Themes,Variation
도토리 미니백,7492,acorn pochette,https://acnhcdn.com/latest/FtrIcon/BagShoulderAcorn0.png,NFS,2400,Crafting,,Brown,Green,Not for sale,Yes,1x1,https://acnhcdn.com/latest/ClosetIcon/BagShoulderAcorn0.png,All Year,Cute,fairy tale,Brown
바구니 가방,7506,basket pack,https://acnhcdn.com/latest/FtrIcon/BagBackpackBasket0.png,NFS,2400,Crafting,,Green,Green,Not for sale,Yes,1x1,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBasket0.png,All Year,Simple,outdoorsy; work,Green
채집통,7479,bug cage,https://acnhcdn.com/latest/FtrIcon/BagShoulderCage0.png,NFS,122,Bug-Off,,Green,White,Not for sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BagShoulderCage0.png,All Year,Active,outdoorsy; vacation,Green
이스터 가방,12447,Bunny Day bag,https://acnhcdn.com/latest/FtrIcon/BagBackpackEgg0.png,NFS,2400,Crafting,,Colorful,Colorful,Not for sale,Yes,1x1,https://acnhcdn.com/latest/ClosetIcon/BagBackpackEgg0.png,All Year,Active,fairy tale; party; theatrical,None
나비 가방,7502,butterfly backpack,https://acnhcdn.com/latest/FtrIcon/BagBackpackButterfly0.png,NFS,210,Bug-Off,,Pink,Yellow,Not for sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BagBackpackButterfly0.png,All Year,Cute,everyday; formal; party,Pink
옥스퍼드 배낭,7509,canvas backpack,https://acnhcdn.com/latest/FtrIcon/BagBackpackTote0.png,1300,325,Kicks,,White,Orange,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BagBackpackTote0.png,All Year,Simple,everyday,White
벚꽃 미니백,7490,cherry-blossom pochette,https://acnhcdn.com/latest/FtrIcon/BagShoulderCherryblossoms0.png,NFS,2400,Crafting,,Pink,Pink,Not for sale,Yes,1x1,https://acnhcdn.com/latest/ClosetIcon/BagShoulderCherryblossoms0.png,All Year,Cute,fairy tale,Pink
옥스퍼드 숄더백,7487,cloth shoulder bag,https://acnhcdn.com/latest/FtrIcon/BagShoulderCanvas0.png,1400,350,Kicks,,Light blue,Light blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BagShoulderCanvas0.png,All Year,Simple,everyday,Blue
옥스퍼드 숄더백,12013,cloth shoulder bag,https://acnhcdn.com/latest/FtrIcon/BagShoulderCanvas1.png,1400,350,Kicks,,Orange,Orange,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BagShoulderCanvas1.png,All Year,Simple,everyday,Orange
옥스퍼드 숄더백,12014,cloth shoulder bag,https://acnhcdn.com/latest/FtrIcon/BagShoulderCanvas2.png,1400,350,Kicks,,White,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BagShoulderCanvas2.png,All Year,Simple,everyday,Ivory
