nameKor,﻿Internal ID,Name,Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Variant ID,Variation,Kit Cost,Body Title,Customize,Uses,Stack Size
도끼,2100,axe,https://acnhcdn.com/latest/FtrIcon/ToolAxe.png,2500,625,Nook's Cranny; Crafting,,None,None,Not in catalog,Yes,1x1,NA,NA,NA,NA,No,100,1
대나무 지팡이,7590,bamboo wand,https://acnhcdn.com/latest/FtrIcon/ToolStickBamboo.png,NFS,3900,Crafting,,None,None,Not in catalog,Yes,1x1,NA,NA,NA,NA,No,Unlimited,1
곤충 지팡이,8769,bug wand,https://acnhcdn.com/latest/FtrIcon/ToolStcikInsect.png,NFS,1500,Bug-Off,,None,None,Not in catalog,No,1x1,NA,NA,NA,NA,No,Unlimited,1
이스터 지팡이,12578,Bunny Day wand,https://acnhcdn.com/latest/FtrIcon/ToolStickEgg.png,NFS,11100,Crafting,,None,None,Not in catalog,Yes,1x1,NA,NA,NA,NA,No,Unlimited,1
벚꽃 지팡이,7589,cherry-blossom wand,https://acnhcdn.com/latest/FtrIcon/ToolStickCherryblossom.png,NFS,2700,Crafting,,None,None,Not in catalog,Yes,1x1,NA,NA,NA,NA,No,Unlimited,1
컬러풀 낚싯대,8472,colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_0_0.png,2500,625,Nook's Cranny,Available in Nook's Cranny (upgraded only),None,None,Not in catalog,No,1x1,0_0,Yellow,1,Color,Yes,30,1
컬러풀 낚싯대,8472,colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_1_0.png,2500,625,Nook's Cranny,Available in Nook's Cranny (upgraded only),None,None,Not in catalog,No,1x1,1_0,Orange,1,Color,Yes,30,1
컬러풀 낚싯대,8472,colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_2_0.png,2500,625,Nook's Cranny,Available in Nook's Cranny (upgraded only),None,None,Not in catalog,No,1x1,2_0,Light blue,1,Color,Yes,30,1
컬러풀 낚싯대,8472,colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_3_0.png,2500,625,Nook's Cranny,Available in Nook's Cranny (upgraded only),None,None,Not in catalog,No,1x1,3_0,Pink,1,Color,Yes,30,1
컬러풀 낚싯대,8472,colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_4_0.png,2500,625,Nook's Cranny,Available in Nook's Cranny (upgraded only),None,None,Not in catalog,No,1x1,4_0,Green,1,Color,Yes,30,1
