nameKor,﻿Internal ID,Name,Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,HHA Concept 1,HHA Concept 2,HHA Series,Miles Price
알루미늄 매트,7356,aluminum rug,https://acnhcdn.com/latest/FtrIcon/RugRectAluminumM00.png,1500,375,사하라,M 사이즈,회색,회색,구매가능,No,3x2 ,garden,outdoors,,NA
사과 러그,7327,apple rug,https://acnhcdn.com/latest/FtrIcon/RugOtherAppleM00.png,NFS,1200,제작,M 사이즈,빨간색,빨간색,비매품,Yes,3x3 ,fancy,child's room,fruits,NA
벨 주머니 러그,12214,Bell-bag rug,https://acnhcdn.com/latest/FtrIcon/RugOtherBellM00.png,NFS,6000,너굴 마일 교환,M 사이즈,,,비매품,No,3x3,expensive,,,1200
흑백 블록 러그,11104,black blocks rug,https://acnhcdn.com/latest/FtrIcon/RugSquareBlockM03.png,1500,375,사하라,M 사이즈,검정색,회색,구매가능,No,3x3 ,living room,,,NA
검정 우드 덱 러그,7382,black wooden-deck rug,https://acnhcdn.com/latest/FtrIcon/RugRectDeckM03.png,1500,375,사하라,M 사이즈,검정색,검정색,구매가능,No,3x2 ,outdoors,,,NA
검정 패턴 키친 매트,7594,black-design kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectNativeKitchenS03.png,1000,250,사하라,S 사이즈,검정색,주황색,구매가능,No,2x1 ,kitchen,,,NA
파란 아가일 러그,8467,blue argyle rug,https://acnhcdn.com/latest/FtrIcon/RugRectArgyleL02.png,2000,500,사하라,L 사이즈,파란색,초록색,구매가능,No,4x3 ,living room,expensive,,NA
파란 블록 러그,11102,blue blocks rug,https://acnhcdn.com/latest/FtrIcon/RugSquareBlockM01.png,1500,375,사하라,M 사이즈,파란색,파란색,구매가능,No,3x3 ,living room,,,NA
블루 도트 러그,7467,blue dotted rug,https://acnhcdn.com/latest/FtrIcon/RugRectDotL03.png,2000,500,사하라,L 사이즈,파란색,파란색,구매가능,No,4x3 ,fancy,child's room,,NA
파란 킬림 카펫,9316,blue kilim-style carpet,https://acnhcdn.com/latest/FtrIcon/RugSquareKirimL01.png,2000,500,사하라,L 사이즈,파란색,검정색,구매가능,No,5x5 ,living room,,,NA
