nameKor,﻿Internal ID,Name,Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,HHA Concept 1,HHA Concept 2,HHA Series,VFX
하늘색 모자이크 타일 바닥,5036,aqua tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTile01.png,900,225,Nook's Cranny,,Light blue,Light blue,For sale,No,,bathroom,facility,None,No
아라베스크 바닥,4953,arabesque flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorArabesque00.png,2120,530,Nook's Cranny,,Black,Gray,For sale,No,,expensive,living room,None,No
아치 벽돌 바닥,4998,arched-brick flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorArchBrick00.png,1100,275,Nook's Cranny,,Brown,Brown,For sale,No,,facility,shop,None,No
아가일 타일 바닥,4994,argyle tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTileWood00.png,1750,437,Nook's Cranny,,White,Beige,For sale,No,,bathroom,facility,None,No
화려한 나무 바닥,5232,artsy parquet flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorParquetArt00.png,1800,450,Nook's Cranny,,Beige,Beige,For sale,No,,facility,shop,None,No
잔디밭 바닥,4979,backyard lawn,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorLawn00.png,NFS,600,Crafting,,Green,Green,Not for sale,Yes,,garden,None,None,No
대나무 바닥,4964,bamboo flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBamboo00.png,NFS,2400,Crafting,,Green,Beige,Not for sale,Yes,,zen-style,None,bamboo,No
지하실 바닥,4797,basement flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBasement00.png,NFS,1500,Crafting,,Gray,Gray,Not for sale,Yes,,horror,facility,None,No
베이지 모로칸 타일 바닥,4965,beige desert-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMorocco00.png,2100,525,Nook's Cranny,,Beige,White,For sale,No,,bathroom,facility,None,No
딸기 초콜릿 바닥,5053,berry-chocolates flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorChocolate02.png,3000,750,Saharah,,Pink,Pink,Not for sale,No,,fancy,None,None,No
가공한 나무 바닥,5032,birch flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBirch00.png,800,200,Nook's Cranny,,White,White,For sale,No,,living room,child's room,None,No
