nameKor,﻿Internal ID,Name,Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Variant ID,Variation,Body Title,Pattern,Pattern Title,Kit Cost,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Body Customize,Pattern Customize,Door Deco
에어컨,929,air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_0_0.png,63000,15750,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",White,White,For sale,No,2x1 ,0_0,White,NA,NA,NA,NA,office,facility,None,None,No,No,No
에어컨,929,air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_1_0.png,63000,15750,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",Gray,Gray,For sale,No,2x1 ,1_0,Gray,NA,NA,NA,NA,office,facility,None,None,No,No,No
에어컨,929,air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_2_0.png,63000,15750,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",Black,Black,For sale,No,2x1 ,2_0,Black,NA,NA,NA,NA,office,facility,None,None,No,No,No
에어컨,929,air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_3_0.png,63000,15750,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",Pink,Pink,For sale,No,2x1 ,3_0,Pink,NA,NA,NA,NA,office,facility,None,None,No,No,No
에어컨,929,air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_4_0.png,63000,15750,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",Light blue,Light blue,For sale,No,2x1 ,4_0,Blue,NA,NA,NA,NA,office,facility,None,None,No,No,No
에어컨,929,air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_5_0.png,63000,15750,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",Brown,Brown,For sale,No,2x1 ,5_0,Brown,NA,NA,NA,NA,office,facility,None,None,No,No,No
앤티크 전화기,3953,antique phone,https://acnhcdn.com/latest/FtrIcon/FtrAntiquePhoneW_Remake_0_0.png,16000,4000,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",Brown,Yellow,For sale,No,1x1 ,0_0,Brown,NA,NA,NA,NA,living room,expensive,antique,None,No,No,No
앤티크 전화기,3953,antique phone,https://acnhcdn.com/latest/FtrIcon/FtrAntiquePhoneW_Remake_1_0.png,16000,4000,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",Beige,Yellow,For sale,No,1x1 ,1_0,Natural,NA,NA,NA,NA,living room,expensive,antique,None,No,No,No
앤티크 전화기,3953,antique phone,https://acnhcdn.com/latest/FtrIcon/FtrAntiquePhoneW_Remake_2_0.png,16000,4000,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",Black,Yellow,For sale,No,1x1 ,2_0,Black,NA,NA,NA,NA,living room,expensive,antique,None,No,No,No
두꺼운 종이,1899,autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_0_0.png,1400,350,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",White,White,For sale,No,2x1 ,0_0,Signature,NA,Musician's signature,Signature,1,school,den,None,None,No,Yes,No
