nameKor,﻿Internal ID,Name,Storage Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Closet Image,Seasonal Availability,Style,Label Themes,Variation
앤티크 부츠,5523,antique boots,https://acnhcdn.com/latest/FtrIcon/ShoesKneeAntique0.png,2640,660,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Brown,Brown,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeAntique0.png,All Year,Simple,everyday; fairy tale,Brown
앤티크 부츠,11689,antique boots,https://acnhcdn.com/latest/FtrIcon/ShoesKneeAntique1.png,2640,660,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Black,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeAntique1.png,All Year,Simple,everyday; fairy tale,Black
앤티크 부츠,11690,antique boots,https://acnhcdn.com/latest/FtrIcon/ShoesKneeAntique2.png,2640,660,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Beige,Beige,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeAntique2.png,All Year,Simple,everyday; fairy tale,Greige
아이언 아머 슈즈,5472,armor shoes,https://acnhcdn.com/latest/FtrIcon/ShoesKneeKnightIron.png,NFS,3000,Crafting,,Gray,Gray,Not for sale,Yes,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeKnightIron.png,All Year,Cool,fairy tale; goth,Gray
바부슈,6043,babouches,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush0.png,560,140,Kicks,,Light blue,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush0.png,All Year,Cute,comfy; vacation,Blue
바부슈,10109,babouches,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush1.png,560,140,Kicks,,Orange,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush1.png,All Year,Cute,comfy; vacation,Orange
바부슈,10110,babouches,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush2.png,560,140,Kicks,,Pink,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush2.png,All Year,Cute,comfy; vacation,Pink
바부슈,10111,babouches,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush3.png,560,140,Kicks,,Yellow,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush3.png,All Year,Cute,comfy; vacation,Yellow
바부슈,10112,babouches,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush4.png,560,140,Kicks,,Gray,Yellow,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush4.png,All Year,Cute,comfy; vacation,Gray
바부슈,10113,babouches,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush5.png,560,140,Kicks,,Purple,Yellow,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush5.png,All Year,Cute,comfy; vacation,Purple
바부슈,10114,babouches,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush6.png,560,140,Kicks,,Green,Yellow,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush6.png,All Year,Cute,comfy; vacation,Mint
바부슈,10115,babouches,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush7.png,560,140,Kicks,,Red,Yellow,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush7.png,All Year,Cute,comfy; vacation,Red
