nameKor,﻿Internal ID,Name,Storage Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Closet Image,Seasonal Availability,Style,Label Themes,Variation,Type
3D안경,4463,3D glasses,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThreed0.png,490,122,Able Sisters,Available from Able Sisters shop only,White,Colorful,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThreed0.png,All Year,Active,party,White,AccessoryEye
3D안경,11020,3D glasses,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThreed1.png,490,122,Able Sisters,Available from Able Sisters shop only,Black,Colorful,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThreed1.png,All Year,Active,party,Black,AccessoryEye
반창고,4677,bandage,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBandageSkin.png,140,35,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Beige,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBandageSkin.png,All Year,Active,outdoorsy; comfy; sporty,Beige,AccessoryMouth
부리,3549,beak,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBeakYellow.png,490,122,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Yellow,Yellow,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBeakYellow.png,All Year,Cute,fairy tale; party; theatrical,Yellow,AccessoryMouthInvisibleNose
생일 선글라스,4510,birthday shades,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBirthday0.png,NFS,620,Birthday,,Yellow,Red,Not for sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBirthday0.png,All Year,Gorgeous,party,Yellow,AccessoryEye
생일 선글라스,11217,birthday shades,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBirthday1.png,NFS,620,Birthday,,Pink,Pink,Not for sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBirthday1.png,All Year,Gorgeous,party,Pink,AccessoryEye
생일 선글라스,11218,birthday shades,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBirthday2.png,NFS,620,Birthday,,Red,Pink,Not for sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBirthday2.png,All Year,Gorgeous,party,Red,AccessoryEye
생일 선글라스,11219,birthday shades,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBirthday3.png,NFS,620,Birthday,,Light blue,Green,Not for sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBirthday3.png,All Year,Gorgeous,party,Blue,AccessoryEye
역반무테 안경,4597,bottom-rimmed glasses,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose0.png,1100,275,Able Sisters,Available from Able Sisters shop only,Red,Red,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose0.png,All Year,Simple,everyday; comfy; work,Red,AccessoryEye
역반무테 안경,11081,bottom-rimmed glasses,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose1.png,1100,275,Able Sisters,Available from Able Sisters shop only,Purple,Purple,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose1.png,All Year,Simple,everyday; comfy; work,Purple,AccessoryEye
역반무테 안경,11082,bottom-rimmed glasses,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose2.png,1100,275,Able Sisters,Available from Able Sisters shop only,Green,Green,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose2.png,All Year,Simple,everyday; comfy; work,Green,AccessoryEye
역반무테 안경,11083,bottom-rimmed glasses,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose3.png,1100,275,Able Sisters,Available from Able Sisters shop only,Blue,Blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose3.png,All Year,Simple,everyday; comfy; work,Blue,AccessoryEye
역반무테 안경,11084,bottom-rimmed glasses,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose4.png,1100,275,Able Sisters,Available from Able Sisters shop only,Yellow,Yellow,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose4.png,All Year,Simple,everyday; comfy; work,Yellow,AccessoryEye
역반무테 안경,11085,bottom-rimmed glasses,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose5.png,1100,275,Able Sisters,Available from Able Sisters shop only,Pink,Pink,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose5.png,All Year,Simple,everyday; comfy; work,Pink,AccessoryEye
역반무테 안경,11086,bottom-rimmed glasses,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose6.png,1100,275,Able Sisters,Available from Able Sisters shop only,Black,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose6.png,All Year,Simple,everyday; comfy; work,Black,AccessoryEye
하금테 안경,4238,browline glasses,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThurmont0.png,1040,260,Able Sisters,Available from Able Sisters shop only,Black,Yellow,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThurmont0.png,All Year,Simple,everyday; formal,Black,AccessoryEye
하금테 안경,11069,browline glasses,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThurmont1.png,1040,260,Able Sisters,Available from Able Sisters shop only,Brown,Yellow,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThurmont1.png,All Year,Simple,everyday; formal,Brown,AccessoryEye
