nameKor,﻿Internal ID,Name,Storage Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Closet Image,Seasonal Availability,Style,Label Themes,Variation
에어로빅 레깅스,5197,aerobics leggings,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics0.png,700,175,Kicks,,Pink,Red,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics0.png,All Year,Active,sporty,Red & pink
에어로빅 레깅스,9794,aerobics leggings,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics1.png,700,175,Kicks,,Green,Light blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics1.png,All Year,Active,sporty,Emerald & lime
에어로빅 레깅스,9795,aerobics leggings,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics2.png,700,175,Kicks,,Orange,Purple,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics2.png,All Year,Active,sporty,Purple & orange
에어로빅 레깅스,9796,aerobics leggings,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics3.png,700,175,Kicks,,Pink,Light blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics3.png,All Year,Active,sporty,Light blue & salmon pink
에어로빅 레깅스,9797,aerobics leggings,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics4.png,700,175,Kicks,,Blue,Yellow,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics4.png,All Year,Active,sporty,Yellow & blue
아란 니트 양말,4742,Aran-knit socks,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan0.png,720,180,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Beige,Beige,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan0.png,Winter,Simple,everyday; comfy,Beige
아란 니트 양말,9058,Aran-knit socks,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan1.png,720,180,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,White,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan1.png,Winter,Simple,everyday; comfy,White
아란 니트 양말,9059,Aran-knit socks,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan2.png,720,180,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Red,Red,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan2.png,Winter,Simple,everyday; comfy,Red
아란 니트 양말,9060,Aran-knit socks,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan3.png,720,180,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Green,Green,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan3.png,Winter,Simple,everyday; comfy,Green
아란 니트 양말,9061,Aran-knit socks,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan4.png,720,180,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Blue,Blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan4.png,Winter,Simple,everyday; comfy,Blue
