nameKor,﻿Internal ID,Name,Storage Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Closet Image
사과 우산,9948,apple umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaApple0.png,5600,1400,Crafting,,Yellow,Red,Not for sale,Yes,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaApple0Cropped.png
박쥐 우산,6919,bat umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaBat0.png,840,210,Nook's Cranny,,Black,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaBat0Cropped.png
해변가 우산,9957,beach umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaBeach0.png,770,192,Nook's Cranny,,Blue,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaBeach0Cropped.png
곰 우산,7167,bear umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaBear0.png,1570,392,Nook's Cranny,Available in Nook's Cranny (upgraded only),Brown,Beige,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaBear0Cropped.png
검정 시크 우산,12137,black chic umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaPacodarace5.png,1620,405,Nook's Cranny,Available in Nook's Cranny (upgraded only),Black,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPacodarace5Cropped.png
검정 레이스 우산,6915,black lace umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaRace0.png,750,187,Nook's Cranny,,Black,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaRace0Cropped.png
파란 물방울 우산,9956,blue dot parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaPolkadot2.png,750,187,Nook's Cranny,,Blue,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPolkadot2Cropped.png
블루 리본 레이스 우산,12134,blue shiny-bows parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaPacodarace2.png,1620,405,Nook's Cranny,Available in Nook's Cranny (upgraded only),Blue,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPacodarace2Cropped.png
파란 우산,9959,blue umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaStandard2.png,770,192,Nook's Cranny,,Blue,Blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaStandard2Cropped.png
부러진 우산,7182,busted umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaBroken0.png,1570,392,Nook's Cranny,Available in Nook's Cranny (upgraded only),Black,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaBroken0Cropped.png
