nameKor,﻿Internal ID,Name,Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size
대나무 울타리,3403,bamboo lattice fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceBamboo.png,null,960,Crafting,너굴 마일리지 교환,,,Not in catalog,Yes,1x1
가시철조망 울타리,5213,barbed-wire fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceBarbedWire.png,null,1980,Crafting,너굴 마일리지 교환,,,Not in catalog,Yes,1x1
벽돌 울타리,3080,brick fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceWallRenga.png,null,1200,Crafting,너굴 마일리지 교환,,,Not in catalog,Yes,1x1
이스터 울타리,12630,Bunny Day fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceEgg.png,null,2400,Crafting,"주민에게 받기, 부활절 이벤트 때 DIY 보틀, 풍선으로 얻기",,,Not in catalog,Yes,1x1
가로 널빤지 울타리,4349,corral fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceHorizontalWood.png,null,720,Crafting,너굴 마일리지 교환,,,Not in catalog,Yes,1x1
통나무 울타리,4350,country fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceLog.png,null,720,Crafting,너굴 마일리지 교환,,,Not in catalog,Yes,1x1
낮은 나무 울타리,12758,hedge,https://acnhcdn.com/latest/FtrIcon/ItemFenceIkegaki.png,null,55,Crafting,지구의날 이벤트 때 너굴 마일리지 플러스 달성 후 너굴에게 받기,,,Not in catalog,Yes,1x1
오리엔탈 울타리,4354,imperial fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceChinese.png,null,1200,Crafting,너굴 마일리지 교환,,,Not in catalog,Yes,1x1
철제 울타리,4357,iron fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceSteel.png,null,4500,Crafting,너굴 마일리지 교환,,,Not in catalog,Yes,1x1
아이언 스톤 울타리,5206,iron-and-stone fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceIronAndStone.png,null,3150,Crafting,너굴 마일리지 교환,,,Not in catalog,Yes,1x1
격자 울타리,11712,lattice fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceLatiiceNatural.png,null,960,Crafting,너굴 마일리지 교환,,,Not in catalog,Yes,1x1
페그 울타리,4352,rope fence,https://acnhcdn.com/latest/FtrIcon/ItemFencePegRope.png,null,3000,Crafting,너굴 마일리지 교환,,,Not in catalog,Yes,1x1
소박한 목제 울타리,11711,simple wooden fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceNatural.png,null,720,Crafting,너굴 마일리지 교환,,,Not in catalog,Yes,1x1
뾰족뾰족 울타리,4358,spiky fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceSharply.png,null,960,Crafting,너굴 마일리지 교환,,,Not in catalog,Yes,1x1
돌 울타리,5212,stone fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceStone.png,null,600,Crafting,너굴 마일리지 교환,,,Not in catalog,Yes,1x1
짚단 울타리,4356,straw fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceDriedStraw.png,null,560,Crafting,너굴 마일리지 교환,,,Not in catalog,Yes,1x1
세로 널빤지 울타리,3402,vertical-board fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceVerticalWood.png,null,960,Crafting,너굴 마일리지 교환,,,Not in catalog,Yes,1x1
웨딩 울타리,12894,wedding fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceJuneBride.png,null,411,,,,,Not in catalog,Yes,1x1
동양풍 울타리,5207,zen fence,https://acnhcdn.com/latest/FtrIcon/ItemFenceJapanese.png,null,3300,Crafting,너굴 마일리지 교환,,,Not in catalog,Yes,1x1
