nameKor,﻿Internal ID,Name,Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Variant ID,Variation,Body Title,Pattern,Pattern Title,Kit Cost,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Body Customize,Pattern Customize
액세서리 스탠드,3948,accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_0_0.png,1500,375,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,White,Colorful,For sale,No,1x1,0_0,White,NA,NA,NA,NA,fancy,shop,None,None,No,No
액세서리 스탠드,3948,accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_1_0.png,1500,375,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Pink,Colorful,For sale,No,1x1,1_0,Pink,NA,NA,NA,NA,fancy,shop,None,None,No,No
액세서리 스탠드,3948,accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_2_0.png,1500,375,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Black,Colorful,For sale,No,1x1,2_0,Black,NA,NA,NA,NA,fancy,shop,None,None,No,No
액세서리 스탠드,3948,accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_3_0.png,1500,375,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Brown,Colorful,For sale,No,1x1,3_0,Brown,NA,NA,NA,NA,fancy,shop,None,None,No,No
액세서리 스탠드,3948,accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_4_0.png,1500,375,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Light blue,Colorful,For sale,No,1x1,4_0,Light blue,NA,NA,NA,NA,fancy,shop,None,None,No,No
동물의 숲 Nintendo Switch,12579,ACNH Nintendo Switch,https://acnhcdn.com/latest/FtrIcon/FtrSwitchAC.png,35960,8990,Nintendo; Nook Shopping,,Green,Light blue,For sale,No,1x1,NA,NA,NA,NA,NA,NA,child's room,living room,None,None,No,No
아그리아스나비 모형,7080,agrias butterfly model,https://acnhcdn.com/latest/FtrIcon/FtrInsectMiirotatehaToy.png,NFS,9000,Flick,Trade 3 insects to receive a model in the mail the next day,Pink,Purple,Not for sale,No,1x1,NA,NA,NA,NA,NA,NA,None,None,None,None,No,No
듀랄루민 케이스,7453,aluminum briefcase,https://acnhcdn.com/latest/FtrIcon/FtrDuralumincase_Remake_0_0.png,100000,25000,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",Gray,Yellow,For sale,No,1x1,0_0,Stacks of cash,NA,NA,NA,NA,office,expensive,None,None,No,No
듀랄루민 케이스,7453,aluminum briefcase,https://acnhcdn.com/latest/FtrIcon/FtrDuralumincase_Remake_1_0.png,100000,25000,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",Gray,Yellow,For sale,No,1x1,1_0,Gold bars,NA,NA,NA,NA,office,expensive,None,None,No,No
앰프,849,amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_0_0.png,5100,1275,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Black,Brown,For sale,No,1x1,0_0,Black,NA,NA,NA,NA,concert,None,None,None,No,No
