nameKor,﻿Internal ID,Name,Storage Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Closet Image,Seasonal Availability,Style,Label Themes,Variation
워싱 청바지,5286,acid-washed jeans,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalChemical0.png,1320,330,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Blue,Blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalChemical0.png,All Year,Simple,everyday; outdoorsy,Blue
워싱 청바지,11385,acid-washed jeans,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalChemical1.png,1320,330,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Black,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalChemical1.png,All Year,Simple,everyday; outdoorsy,Black
동물 무늬 스커트,9842,animal-stripes skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxStripe0.png,1100,275,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Yellow,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxStripe0.png,All Year,Cool,everyday,Tiger
동물 무늬 스커트,12067,animal-stripes skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxStripe1.png,1100,275,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Gray,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxStripe1.png,All Year,Cool,everyday,Zebra
에이프런 스커트,5710,apron skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxApron0.png,700,175,Able Sisters,Available from Able Sisters shop only,White,Purple,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxApron0.png,All Year,Simple,work,Purple
에이프런 스커트,8921,apron skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxApron1.png,700,175,Able Sisters,Available from Able Sisters shop only,White,Light blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxApron1.png,All Year,Simple,work,Blue
에이프런 스커트,8922,apron skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxApron2.png,700,175,Able Sisters,Available from Able Sisters shop only,White,Beige,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxApron2.png,All Year,Simple,work,Beige
트레이닝복 바지,3311,athletic pants,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey0.png,880,220,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Red,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey0.png,All Year,Active,outdoorsy; comfy; sporty,Red
트레이닝복 바지,11295,athletic pants,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey1.png,880,220,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Green,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey1.png,All Year,Active,outdoorsy; comfy; sporty,Green
트레이닝복 바지,11296,athletic pants,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey2.png,880,220,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Black,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey2.png,All Year,Active,outdoorsy; comfy; sporty,Black
트레이닝복 바지,11297,athletic pants,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey3.png,880,220,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Blue,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey3.png,All Year,Active,outdoorsy; comfy; sporty,Blue
트레이닝복 바지,11298,athletic pants,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey4.png,880,220,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Red,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey4.png,All Year,Active,outdoorsy; comfy; sporty,Berry red
트레이닝복 바지,11299,athletic pants,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey5.png,880,220,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Blue,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey5.png,All Year,Active,outdoorsy; comfy; sporty,Navy blue
트레이닝복 숏팬츠,4518,athletic shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey0.png,560,140,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Red,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey0.png,All Year,Active,outdoorsy; comfy; sporty,Red
트레이닝복 숏팬츠,11905,athletic shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey1.png,560,140,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Green,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey1.png,All Year,Active,outdoorsy; comfy; sporty,Green
트레이닝복 숏팬츠,11906,athletic shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey2.png,560,140,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Black,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey2.png,All Year,Active,outdoorsy; comfy; sporty,Black
트레이닝복 숏팬츠,11907,athletic shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey3.png,560,140,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Blue,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey3.png,All Year,Active,outdoorsy; comfy; sporty,Blue
트레이닝복 숏팬츠,11908,athletic shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey4.png,560,140,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Red,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey4.png,All Year,Active,outdoorsy; comfy; sporty,Berry red
트레이닝복 숏팬츠,11909,athletic shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey5.png,560,140,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Blue,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey5.png,All Year,Active,outdoorsy; comfy; sporty,Navy blue
농구복 하의,5720,basketball shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball0.png,980,245,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Purple,Yellow,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball0.png,All Year,Active,sporty; work,Purple
농구복 하의,11307,basketball shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball1.png,980,245,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Red,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball1.png,All Year,Active,sporty; work,Red
농구복 하의,11308,basketball shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball2.png,980,245,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Green,Orange,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball2.png,All Year,Active,sporty; work,Green
농구복 하의,11309,basketball shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball3.png,980,245,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Orange,Blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball3.png,All Year,Active,sporty; work,Orange
농구복 하의,11310,basketball shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball4.png,980,245,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Blue,Red,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball4.png,All Year,Active,sporty; work,Blue
농구복 하의,11311,basketball shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball5.png,980,245,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Yellow,Green,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball5.png,All Year,Active,sporty; work,Yellow
농구복 하의,11312,basketball shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball6.png,980,245,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Light blue,Blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball6.png,All Year,Active,sporty; work,Light blue
