nameKor,﻿Internal ID,Name,Storage Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Closet Image,Seasonal Availability,Style,Label Themes,Variation,Primary Shape,Secondary Shape
나들이 원피스,2699,academy uniform,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxLYosoiki0.png,2080,520,Able Sisters,Available from Able Sisters shop only,Blue,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLYosoiki0.png,All Year,Elegant,formal; party,Navy blue,Box,L
나들이 원피스,9016,academy uniform,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxLYosoiki1.png,2080,520,Able Sisters,Available from Able Sisters shop only,Gray,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLYosoiki1.png,All Year,Elegant,formal; party,Gray,Box,L
나들이 원피스,9017,academy uniform,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxLYosoiki2.png,2080,520,Able Sisters,Available from Able Sisters shop only,Red,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLYosoiki2.png,All Year,Elegant,formal; party,Red,Box,L
이상한 원피스,3686,adventure dress,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonHStrangeBlue.png,2800,700,Able Sisters,Available from Able Sisters shop only,Light blue,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHStrangeBlue.png,All Year,Cute,fairy tale,Blue,Balloon,H
알프스풍 원피스,3168,alpinist dress,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonHTyrolean0.png,2520,630,Able Sisters,Available from Able Sisters shop only,Green,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHTyrolean0.png,All Year,Cute,everyday; formal,Green,Balloon,H
알프스풍 원피스,8615,alpinist dress,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonHTyrolean1.png,2520,630,Able Sisters,Available from Able Sisters shop only,Blue,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHTyrolean1.png,All Year,Cute,everyday; formal,Blue,Balloon,H
알프스풍 원피스,8616,alpinist dress,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonHTyrolean2.png,2520,630,Able Sisters,Available from Able Sisters shop only,Red,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHTyrolean2.png,All Year,Cute,everyday; formal,Red,Balloon,H
알프스풍 점프슈트,4443,alpinist overalls,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallHTyrolean0.png,2520,630,Able Sisters,Available from Able Sisters shop only,Green,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallHTyrolean0.png,All Year,Elegant,everyday; formal,Green,Overall,H
알프스풍 점프슈트,8631,alpinist overalls,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallHTyrolean1.png,2520,630,Able Sisters,Available from Able Sisters shop only,Blue,Light blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallHTyrolean1.png,All Year,Elegant,everyday; formal,Blue,Overall,H
알프스풍 점프슈트,8632,alpinist overalls,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallHTyrolean2.png,2520,630,Able Sisters,Available from Able Sisters shop only,Red,Pink,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallHTyrolean2.png,All Year,Elegant,everyday; formal,Red,Overall,H
군사복,5518,ancient belted robe,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen0.png,3640,910,Able Sisters,Available from Able Sisters shop only,Light blue,Blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen0.png,All Year,Elegant,formal,Blue,Kimono,L
군사복,9158,ancient belted robe,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen1.png,3640,910,Able Sisters,Available from Able Sisters shop only,Green,Green,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen1.png,All Year,Elegant,formal,Green,Kimono,L
군사복,9159,ancient belted robe,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen2.png,3640,910,Able Sisters,Available from Able Sisters shop only,Beige,Brown,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen2.png,All Year,Elegant,formal,Beige,Kimono,L
군사복,9160,ancient belted robe,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen3.png,3640,910,Able Sisters,Available from Able Sisters shop only,White,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen3.png,All Year,Elegant,formal,White,Kimono,L
군사복,9161,ancient belted robe,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen4.png,3640,910,Able Sisters,Available from Able Sisters shop only,Purple,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen4.png,All Year,Elegant,formal,Purple,Kimono,L
한푸,5519,ancient sashed robe,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukuwomen0.png,2520,630,Able Sisters,Available from Able Sisters shop only,Green,Red,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen0.png,All Year,Elegant,formal,Green,Kimono,L
한푸,9162,ancient sashed robe,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukuwomen1.png,2520,630,Able Sisters,Available from Able Sisters shop only,Pink,Purple,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen1.png,All Year,Elegant,formal,Pink,Kimono,L
한푸,9163,ancient sashed robe,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukuwomen2.png,2520,630,Able Sisters,Available from Able Sisters shop only,Pink,Red,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen2.png,All Year,Elegant,formal,Red,Kimono,L
