nameKor,Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Size,Source,Source Notes,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Catalog
어쿠스틱기타,acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_0_0.png,Natural,Body,NA,NA,Yes,Yes,No,5,NFS,3210,1x1,Crafting,,music,None,None,None,Yes,Musical Instrument,Not for sale
어쿠스틱기타,acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_1_0.png,Cherry,Body,NA,NA,Yes,Yes,No,5,NFS,3210,1x1,Crafting,,music,None,None,None,Yes,Musical Instrument,Not for sale
어쿠스틱기타,acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_2_0.png,Brown,Body,NA,NA,Yes,Yes,No,5,NFS,3210,1x1,Crafting,,music,None,None,None,Yes,Musical Instrument,Not for sale
어쿠스틱기타,acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_3_0.png,Blue,Body,NA,NA,Yes,Yes,No,5,NFS,3210,1x1,Crafting,,music,None,None,None,Yes,Musical Instrument,Not for sale
어쿠스틱기타,acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_4_0.png,White,Body,NA,NA,Yes,Yes,No,5,NFS,3210,1x1,Crafting,,music,None,None,None,Yes,Musical Instrument,Not for sale
어쿠스틱기타,acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_5_0.png,Black,Body,NA,NA,Yes,Yes,No,5,NFS,3210,1x1,Crafting,,music,None,None,None,Yes,Musical Instrument,Not for sale
어쿠스틱기타,acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_6_0.png,Pink,Body,NA,NA,Yes,Yes,No,5,NFS,3210,1x1,Crafting,,music,None,None,None,Yes,Musical Instrument,Not for sale
서큘레이터,air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_0_0.png,White,NA,NA,NA,No,No,No,NA,1100,275,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,office,None,None,Yes,Fan,For sale
서큘레이터,air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_1_0.png,Black,NA,NA,NA,No,No,No,NA,1100,275,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,office,None,None,Yes,Fan,For sale
서큘레이터,air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_2_0.png,Pink,NA,NA,NA,No,No,No,NA,1100,275,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,office,None,None,Yes,Fan,For sale
서큘레이터,air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_3_0.png,Green,NA,NA,NA,No,No,No,NA,1100,275,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,office,None,None,Yes,Fan,For sale
서큘레이터,air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_4_0.png,Yellow,NA,NA,NA,No,No,No,NA,1100,275,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,office,None,None,Yes,Fan,For sale
알토 색소폰,alto saxophone,https://acnhcdn.com/latest/FtrIcon/FtrAltosax.png,NA,NA,NA,NA,No,No,No,NA,3400,850,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",music,None,None,None,Yes,Musical Instrument,For sale
인체 모형,anatomical model,https://acnhcdn.com/latest/FtrIcon/FtrAnatomicalmodel.png,NA,NA,NA,NA,No,No,No,NA,3500,875,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,expensive,None,None,No,Hospital,For sale
닻 장식,anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_0_0.png,Black,Color,NA,NA,No,Yes,No,2,NFS,1400,1x1,Fishing Tourney,,ocean,None,None,None,No,Seaside,Not for sale
닻 장식,anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_1_0.png,Silver,Color,NA,NA,No,Yes,No,2,NFS,1400,1x1,Fishing Tourney,,ocean,None,None,None,No,Seaside,Not for sale
닻 장식,anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_2_0.png,Gold,Color,NA,NA,No,Yes,No,2,NFS,1400,1x1,Fishing Tourney,,ocean,None,None,None,No,Seaside,Not for sale
닻 장식,anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_3_0.png,White,Color,NA,NA,No,Yes,No,2,NFS,1400,1x1,Fishing Tourney,,ocean,None,None,None,No,Seaside,Not for sale
닻 장식,anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_4_0.png,Blue,Color,NA,NA,No,Yes,No,2,NFS,1400,1x1,Fishing Tourney,,ocean,None,None,None,No,Seaside,Not for sale
닻 장식,anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_5_0.png,Retro,Color,NA,NA,No,Yes,No,2,NFS,1400,1x1,Fishing Tourney,,ocean,None,None,None,No,Seaside,Not for sale
