nameKor,Name,Image,Variation,Body Title,DIY,Customize,Kit Cost,Uses,Stack Size,Buy,Sell,Size,Set,Source,Source Notes
도끼,axe,https://acnhcdn.com/latest/FtrIcon/ToolAxe.png,NA,NA,Yes,No,NA,100,1,2500,625,1x1,None,Nook's Cranny; Crafting,
대나무 지팡이,bamboo wand,https://acnhcdn.com/latest/FtrIcon/ToolStickBamboo.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,3900,1x1,None,Crafting,
곤충 지팡이,bug wand,https://acnhcdn.com/latest/FtrIcon/ToolStcikInsect.png,NA,NA,No,No,NA,Unlimited,1,NFS,1500,1x1,None,Bug-Off,
이스터 지팡이,Bunny Day wand,https://acnhcdn.com/latest/FtrIcon/ToolStickEgg.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,11100,1x1,None,Crafting,
벚꽃 지팡이,cherry-blossom wand,https://acnhcdn.com/latest/FtrIcon/ToolStickCherryblossom.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,2700,1x1,None,Crafting,
컬러풀 낚싯대,colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_0_0.png,Yellow,Color,No,Yes,1,30,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 낚싯대,colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_1_0.png,Orange,Color,No,Yes,1,30,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 낚싯대,colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_2_0.png,Light blue,Color,No,Yes,1,30,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 낚싯대,colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_3_0.png,Pink,Color,No,Yes,1,30,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 낚싯대,colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_4_0.png,Green,Color,No,Yes,1,30,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 낚싯대,colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_5_0.png,Purple,Color,No,Yes,1,30,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 낚싯대,colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_6_0.png,White,Color,No,Yes,1,30,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 낚싯대,colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_7_0.png,Gray,Color,No,Yes,1,30,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
