nameKor,Name,Image,DIY,Buy,Sell,Size,Source,Source Notes,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog
알루미늄 매트,aluminum rug,https://acnhcdn.com/latest/FtrIcon/RugRectAluminumM00.png,No,1500,375,3x2 ,Saharah,Medium rug,garden,outdoors,None,Slender Rugs,For sale
사과 러그,apple rug,https://acnhcdn.com/latest/FtrIcon/RugOtherAppleM00.png,Yes,NFS,1200,3x3 ,Crafting,Medium rug,fancy,child's room,fruits,Fruit Rugs,Not for sale
벨 주머니 러그,Bell-bag rug,https://acnhcdn.com/latest/FtrIcon/RugOtherBellM00.png,No,NFS,6000,3x3,Nook Miles Shop,Medium rug,expensive,None,None,Park Rugs,Not for sale
흑백 블록 러그,black blocks rug,https://acnhcdn.com/latest/FtrIcon/RugSquareBlockM03.png,No,1500,375,3x3 ,Saharah,Medium rug,living room,None,None,Pattern Rugs,For sale
검정 우드 덱 러그,black wooden-deck rug,https://acnhcdn.com/latest/FtrIcon/RugRectDeckM03.png,No,1500,375,3x2 ,Saharah,Medium rug,outdoors,None,None,Wood Rugs,For sale
검정 패턴 키친 매트,black-design kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectNativeKitchenS03.png,No,1000,250,2x1 ,Saharah,Small rug,kitchen,None,None,Kitchen Rugs,For sale
파란 아가일 러그,blue argyle rug,https://acnhcdn.com/latest/FtrIcon/RugRectArgyleL02.png,No,2000,500,4x3 ,Saharah,Large rug,living room,expensive,None,Slender Pattern Rugs,For sale
파란 블록 러그,blue blocks rug,https://acnhcdn.com/latest/FtrIcon/RugSquareBlockM01.png,No,1500,375,3x3 ,Saharah,Medium rug,living room,None,None,Pattern Rugs,For sale
블루 도트 러그,blue dotted rug,https://acnhcdn.com/latest/FtrIcon/RugRectDotL03.png,No,2000,500,4x3 ,Saharah,Large rug,fancy,child's room,None,Slender Pattern Rugs,For sale
파란 킬림 카펫,blue kilim-style carpet,https://acnhcdn.com/latest/FtrIcon/RugSquareKirimL01.png,No,2000,500,5x5 ,Saharah,Large rug,living room,None,None,Pattern Rugs,For sale
파란 키친 매트,blue kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectKitchenS02.png,No,1000,250,2x1 ,Saharah,Small rug,kitchen,None,None,Kitchen Rugs,For sale
파란 라운드 매트 M,blue medium round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleM02.png,No,1500,375,3x3 ,Saharah,Medium rug,living room,child's room,None,Shaggy Round Rugs,For sale
파란 메시지 매트,blue message mat,https://acnhcdn.com/latest/FtrIcon/RugOtherMessageS01.png,No,1000,250,2x1 ,Saharah,Small rug,child's room,None,None,Message Mats,For sale
파란 페르시아 융단,blue Persian rug,https://acnhcdn.com/latest/FtrIcon/RugSquarePersianL01.png,No,2000,500,5x5 ,Saharah,Large rug,expensive,living room,None,Pattern Rugs,For sale
파란 복슬복슬 러그,blue shaggy rug,https://acnhcdn.com/latest/FtrIcon/RugSquareShaggyL02.png,No,2000,500,5x5 ,Saharah,Large rug,living room,None,None,Pattern Rugs,For sale
파란 라운드 매트 S,blue small round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleS02.png,No,1000,250,2x2 ,Saharah,Small rug,living room,child's room,None,Shaggy Round Rugs,For sale
파란 줄무늬 러그,blue stripes rug,https://acnhcdn.com/latest/FtrIcon/RugRectBorderL02.png,No,2000,500,4x3 ,Saharah,Large rug,fancy,child's room,None,Slender Pattern Rugs,For sale
파란 비닐 시트,blue vinyl sheet,https://acnhcdn.com/latest/FtrIcon/RugRectVinylM01.png,No,1500,375,3x2 ,Saharah,Medium rug,garden,None,None,Slender Pattern Rugs,For sale
파란 웨이브 러그,blue wavy rug,https://acnhcdn.com/latest/FtrIcon/RugRectWaveL02.png,No,2000,500,4x3 ,Saharah,Large rug,living room,child's room,None,Slender Pattern Rugs,For sale
하늘색 웨딩 러그,blue wedding rug,https://acnhcdn.com/latest/FtrIcon/RugRectJuneBrideM00.png,No,1500,375,3x2,,Medium rug,party,expensive,wedding,Slender Pattern Rugs,Not for sale
파란 패턴 키친 매트,blue-design kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectNativeKitchenS01.png,No,1000,250,2x1 ,Saharah,Small rug,kitchen,None,None,Kitchen Rugs,For sale
보태니컬 러그,botanical rug,https://acnhcdn.com/latest/FtrIcon/RugRectBotanicalL00.png,No,2000,500,4x3 ,Saharah,Large rug,living room,None,None,Slender Pattern Rugs,For sale
갈색 아가일 러그,brown argyle rug,https://acnhcdn.com/latest/FtrIcon/RugRectArgyleL03.png,No,2000,500,4x3 ,Saharah,Large rug,living room,expensive,None,Slender Pattern Rugs,For sale
갈색 키친 매트,brown kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectKitchenS00.png,No,1000,250,2x1 ,Saharah,Small rug,kitchen,None,None,Kitchen Rugs,For sale
갈색 복슬복슬 러그,brown shaggy rug,https://acnhcdn.com/latest/FtrIcon/RugSquareShaggyL01.png,No,2000,500,5x5 ,Saharah,Large rug,living room,None,None,Pattern Rugs,For sale
갈색 우드 덱 러그,brown wooden-deck rug,https://acnhcdn.com/latest/FtrIcon/RugRectDeckM00.png,No,1500,375,3x2 ,Saharah,Medium rug,outdoors,None,None,Wood Rugs,For sale
이스터 러그,Bunny Day rug,https://acnhcdn.com/latest/FtrIcon/RugOtherEasterM00.png,Yes,NFS,2400,3x3,Crafting,,fancy,child's room,Bunny Day,Icon Rugs,Not for sale
체리 러그,cherry rug,https://acnhcdn.com/latest/FtrIcon/RugOtherCherryM00.png,Yes,NFS,1200,3x3 ,Crafting,,fancy,child's room,fruits,Fruit Rugs,Not for sale
컬러풀 비닐 시트,colorful vinyl sheet,https://acnhcdn.com/latest/FtrIcon/RugRectVinylM00.png,No,1500,375,3x2 ,Saharah,Medium rug,garden,None,None,Slender Pattern Rugs,For sale
어두운 대나무 러그,dark bamboo rug,https://acnhcdn.com/latest/FtrIcon/RugRectBambooM01.png,Yes,NFS,960,3x2 ,Crafting,,zen-style,None,None,Wood Rugs,Not for sale
지구 러그,Earth rug,https://acnhcdn.com/latest/FtrIcon/RugRoundEarthM00.png,No,1500,375,3x3 ,Saharah,Medium rug,space,child's room,None,Icon Rugs,For sale
