nameKor,Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,Size,Source,Source Notes,Seasonal Availability,Style,Label Themes,Type,Catalog
도토리 털모자,acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn0.png,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn0.png,Chestnut,No,880,220,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Cute,everyday; comfy,HeadCap,For sale
도토리 털모자,acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn1.png,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn1.png,Mustard,No,880,220,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Cute,everyday; comfy,HeadCap,For sale
도토리 털모자,acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn2.png,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn2.png,Avocado,No,880,220,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Cute,everyday; comfy,HeadCap,For sale
도토리 털모자,acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn3.png,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn3.png,Berry red,No,880,220,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Cute,everyday; comfy,HeadCap,For sale
도토리 털모자,acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn4.png,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn4.png,Navy blue,No,880,220,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Cute,everyday; comfy,HeadCap,For sale
도토리 털모자,acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn5.png,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn5.png,Cream,No,880,220,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Cute,everyday; comfy,HeadCap,For sale
알프스풍 모자,alpinist hat,https://acnhcdn.com/latest/ClosetIcon/CapHatTyrolean0.png,https://acnhcdn.com/latest/FtrIcon/CapHatTyrolean0.png,Green,No,NFS,500,1x1,Gulliver,,All Year,Simple,everyday; formal,HeadCap,Not for sale
알프스풍 모자,alpinist hat,https://acnhcdn.com/latest/ClosetIcon/CapHatTyrolean1.png,https://acnhcdn.com/latest/FtrIcon/CapHatTyrolean1.png,Blue,No,NFS,500,1x1,Gulliver,,All Year,Simple,everyday; formal,HeadCap,Not for sale
알프스풍 모자,alpinist hat,https://acnhcdn.com/latest/ClosetIcon/CapHatTyrolean2.png,https://acnhcdn.com/latest/FtrIcon/CapHatTyrolean2.png,Red,No,NFS,500,1x1,Gulliver,,All Year,Simple,everyday; formal,HeadCap,Not for sale
관모,ancient administrator hat,https://acnhcdn.com/latest/ClosetIcon/CapHatKanboBlack.png,https://acnhcdn.com/latest/FtrIcon/CapHatKanboBlack.png,Black,No,NFS,800,1x1,Gulliver,,All Year,Elegant,formal; work,HeadCap,Not for sale
사과 모자,apple hat,https://acnhcdn.com/latest/ClosetIcon/CapHatApple0.png,https://acnhcdn.com/latest/FtrIcon/CapHatApple0.png,Red,Yes,NFS,1000,1x1,Crafting,,All Year,Cute,fairy tale; party; theatrical,HeadCap,Not for sale
아란 니트 모자,Aran-knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAlan0.png,https://acnhcdn.com/latest/FtrIcon/CapHatAlan0.png,White,No,880,220,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,Simple,everyday; outdoorsy; comfy,HeadCap,For sale
아란 니트 모자,Aran-knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAlan1.png,https://acnhcdn.com/latest/FtrIcon/CapHatAlan1.png,Red,No,880,220,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,Simple,everyday; outdoorsy; comfy,HeadCap,For sale
아란 니트 모자,Aran-knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAlan2.png,https://acnhcdn.com/latest/FtrIcon/CapHatAlan2.png,Blue,No,880,220,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,Simple,everyday; outdoorsy; comfy,HeadCap,For sale
