nameKor,Name,Image,VFX,DIY,Buy,Sell,Source,Source Notes,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog
하늘색 모자이크 타일 바닥,aqua tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTile01.png,No,No,900,225,Nook's Cranny,,bathroom,facility,None,Tile Floors,For sale
아라베스크 바닥,arabesque flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorArabesque00.png,No,No,2120,530,Nook's Cranny,,expensive,living room,None,Cloth Floors,For sale
아치 벽돌 바닥,arched-brick flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorArchBrick00.png,No,No,1100,275,Nook's Cranny,,facility,shop,None,Arched Brick,For sale
아가일 타일 바닥,argyle tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTileWood00.png,No,No,1750,437,Nook's Cranny,,bathroom,facility,None,Tile Floors,For sale
화려한 나무 바닥,artsy parquet flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorParquetArt00.png,No,No,1800,450,Nook's Cranny,,facility,shop,None,Simple Parquet,For sale
잔디밭 바닥,backyard lawn,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorLawn00.png,No,Yes,NFS,600,Crafting,,garden,None,None,Grassland,Not for sale
대나무 바닥,bamboo flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBamboo00.png,No,Yes,NFS,2400,Crafting,,zen-style,None,bamboo,Nature - Green,Not for sale
지하실 바닥,basement flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBasement00.png,No,Yes,NFS,1500,Crafting,,horror,facility,None,Stone Floors,Not for sale
베이지 모로칸 타일 바닥,beige desert-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMorocco00.png,No,No,2100,525,Nook's Cranny,,bathroom,facility,None,Morocco,For sale
딸기 초콜릿 바닥,berry-chocolates flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorChocolate02.png,No,No,3000,750,Saharah,,fancy,None,None,Chocolate,Not for sale
가공한 나무 바닥,birch flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBirch00.png,No,No,800,200,Nook's Cranny,,living room,child's room,None,Wood Floors,For sale
