nameKor,Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,Size,Source,Source Notes,Seasonal Availability,Style,Label Themes,Catalog
에이스 티셔츠,A tee,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsHAce0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopTshirtsHAce0.png,NA,No,560,140,1x1,Nook Shopping Catalog,,All Year,Simple,everyday; comfy,For sale
물빠진 데님 재킷,acid-washed jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLChemical0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLChemical0.png,Blue,No,1680,420,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Simple,everyday; outdoorsy,For sale
물빠진 데님 재킷,acid-washed jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLChemical1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLChemical1.png,Black,No,1680,420,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Simple,everyday; outdoorsy,For sale
불량한 학생복,after-school jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen0.png,Black,No,1050,262,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cool,everyday; comfy,For sale
불량한 학생복,after-school jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen1.png,Berry red,No,1050,262,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cool,everyday; comfy,For sale
불량한 학생복,after-school jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen2.png,Green,No,1050,262,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cool,everyday; comfy,For sale
불량한 학생복,after-school jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen3.png,White,No,1050,262,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cool,everyday; comfy,For sale
불량한 학생복,after-school jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen4.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen4.png,Purple,No,1050,262,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cool,everyday; comfy,For sale
불량한 학생복,after-school jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen5.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen5.png,Gray,No,1050,262,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cool,everyday; comfy,For sale
불량한 학생복,after-school jacket,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen6.png,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen6.png,Blue,No,1050,262,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cool,everyday; comfy,For sale
