nameKor,Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,Size,Source,Source Notes,Seasonal Availability,Style,Label Themes,Catalog
앤티크 부츠,antique boots,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeAntique0.png,https://acnhcdn.com/latest/FtrIcon/ShoesKneeAntique0.png,Brown,No,2640,660,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Simple,everyday; fairy tale,For sale
앤티크 부츠,antique boots,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeAntique1.png,https://acnhcdn.com/latest/FtrIcon/ShoesKneeAntique1.png,Black,No,2640,660,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Simple,everyday; fairy tale,For sale
앤티크 부츠,antique boots,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeAntique2.png,https://acnhcdn.com/latest/FtrIcon/ShoesKneeAntique2.png,Greige,No,2640,660,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Simple,everyday; fairy tale,For sale
아이언 아머 슈즈,armor shoes,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeKnightIron.png,https://acnhcdn.com/latest/FtrIcon/ShoesKneeKnightIron.png,Gray,Yes,NFS,3000,1x1,Crafting,,All Year,Cool,fairy tale; goth,Not for sale
바부슈,babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush0.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush0.png,Blue,No,560,140,1x1,Kicks,,All Year,Cute,comfy; vacation,For sale
바부슈,babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush1.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush1.png,Orange,No,560,140,1x1,Kicks,,All Year,Cute,comfy; vacation,For sale
바부슈,babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush2.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush2.png,Pink,No,560,140,1x1,Kicks,,All Year,Cute,comfy; vacation,For sale
바부슈,babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush3.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush3.png,Yellow,No,560,140,1x1,Kicks,,All Year,Cute,comfy; vacation,For sale
바부슈,babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush4.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush4.png,Gray,No,560,140,1x1,Kicks,,All Year,Cute,comfy; vacation,For sale
바부슈,babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush5.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush5.png,Purple,No,560,140,1x1,Kicks,,All Year,Cute,comfy; vacation,For sale
바부슈,babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush6.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush6.png,Mint,No,560,140,1x1,Kicks,,All Year,Cute,comfy; vacation,For sale
바부슈,babouches,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush7.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush7.png,Red,No,560,140,1x1,Kicks,,All Year,Cute,comfy; vacation,For sale
발레 슈즈,ballet slippers,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet0.png,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet0.png,Pink,No,2200,550,1x1,Kicks,,All Year,Elegant,fairy tale; sporty; theatrical; work,For sale
발레 슈즈,ballet slippers,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet1.png,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet1.png,Mint,No,2200,550,1x1,Kicks,,All Year,Elegant,fairy tale; sporty; theatrical; work,For sale
발레 슈즈,ballet slippers,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet2.png,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet2.png,Blue,No,2200,550,1x1,Kicks,,All Year,Elegant,fairy tale; sporty; theatrical; work,For sale
발레 슈즈,ballet slippers,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet3.png,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet3.png,Purple,No,2200,550,1x1,Kicks,,All Year,Elegant,fairy tale; sporty; theatrical; work,For sale
발레 슈즈,ballet slippers,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet4.png,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet4.png,Black,No,2200,550,1x1,Kicks,,All Year,Elegant,fairy tale; sporty; theatrical; work,For sale
발레 슈즈,ballet slippers,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet5.png,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet5.png,White,No,2200,550,1x1,Kicks,,All Year,Elegant,fairy tale; sporty; theatrical; work,For sale
발레 슈즈,ballet slippers,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet6.png,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet6.png,Yellow,No,2200,550,1x1,Kicks,,All Year,Elegant,fairy tale; sporty; theatrical; work,For sale
발레 슈즈,ballet slippers,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet7.png,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet7.png,Red,No,2200,550,1x1,Kicks,,All Year,Elegant,fairy tale; sporty; theatrical; work,For sale
농구화,basketball shoes,https://acnhcdn.com/latest/ClosetIcon/ShoesHighcutBasket0.png,https://acnhcdn.com/latest/FtrIcon/ShoesHighcutBasket0.png,Red,No,1500,375,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,sporty; work,For sale
농구화,basketball shoes,https://acnhcdn.com/latest/ClosetIcon/ShoesHighcutBasket1.png,https://acnhcdn.com/latest/FtrIcon/ShoesHighcutBasket1.png,Green,No,1500,375,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,sporty; work,For sale
농구화,basketball shoes,https://acnhcdn.com/latest/ClosetIcon/ShoesHighcutBasket2.png,https://acnhcdn.com/latest/FtrIcon/ShoesHighcutBasket2.png,Beige,No,1500,375,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,sporty; work,For sale
농구화,basketball shoes,https://acnhcdn.com/latest/ClosetIcon/ShoesHighcutBasket3.png,https://acnhcdn.com/latest/FtrIcon/ShoesHighcutBasket3.png,Orange,No,1500,375,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,sporty; work,For sale
농구화,basketball shoes,https://acnhcdn.com/latest/ClosetIcon/ShoesHighcutBasket4.png,https://acnhcdn.com/latest/FtrIcon/ShoesHighcutBasket4.png,Blue,No,1500,375,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,sporty; work,For sale
농구화,basketball shoes,https://acnhcdn.com/latest/ClosetIcon/ShoesHighcutBasket5.png,https://acnhcdn.com/latest/FtrIcon/ShoesHighcutBasket5.png,Purple,No,1500,375,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,sporty; work,For sale
농구화,basketball shoes,https://acnhcdn.com/latest/ClosetIcon/ShoesHighcutBasket6.png,https://acnhcdn.com/latest/FtrIcon/ShoesHighcutBasket6.png,Light blue,No,1500,375,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,sporty; work,For sale
농구화,basketball shoes,https://acnhcdn.com/latest/ClosetIcon/ShoesHighcutBasket7.png,https://acnhcdn.com/latest/FtrIcon/ShoesHighcutBasket7.png,Pink,No,1500,375,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,sporty; work,For sale
비즈 자수 샌들,beaded sandals,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBeads0.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBeads0.png,Orange,No,1800,450,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,Gorgeous,everyday; comfy; vacation,For sale
비즈 자수 샌들,beaded sandals,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBeads1.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBeads1.png,Purple,No,1800,450,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,Gorgeous,everyday; comfy; vacation,For sale
비즈 자수 샌들,beaded sandals,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBeads2.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBeads2.png,Yellow,No,1800,450,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,Gorgeous,everyday; comfy; vacation,For sale
비즈 자수 샌들,beaded sandals,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBeads3.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBeads3.png,Red,No,1800,450,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,Gorgeous,everyday; comfy; vacation,For sale
비즈 자수 샌들,beaded sandals,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBeads4.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBeads4.png,Green,No,1800,450,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,Gorgeous,everyday; comfy; vacation,For sale
비즈 자수 샌들,beaded sandals,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBeads5.png,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBeads5.png,Beige,No,1800,450,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,Gorgeous,everyday; comfy; vacation,For sale
