nameKor,Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,Size,Source,Source Notes,Seasonal Availability,Style,Label Themes,Catalog
에어로빅 레깅스,aerobics leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics0.png,Red & pink,No,700,175,1x1,Kicks,,All Year,Active,sporty,For sale
에어로빅 레깅스,aerobics leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics1.png,Emerald & lime,No,700,175,1x1,Kicks,,All Year,Active,sporty,For sale
에어로빅 레깅스,aerobics leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics2.png,Purple & orange,No,700,175,1x1,Kicks,,All Year,Active,sporty,For sale
에어로빅 레깅스,aerobics leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics3.png,Light blue & salmon pink,No,700,175,1x1,Kicks,,All Year,Active,sporty,For sale
에어로빅 레깅스,aerobics leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics4.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics4.png,Yellow & blue,No,700,175,1x1,Kicks,,All Year,Active,sporty,For sale
아란 니트 양말,Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan0.png,Beige,No,720,180,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,Simple,everyday; comfy,For sale
아란 니트 양말,Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan1.png,White,No,720,180,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,Simple,everyday; comfy,For sale
아란 니트 양말,Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan2.png,Red,No,720,180,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,Simple,everyday; comfy,For sale
아란 니트 양말,Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan3.png,Green,No,720,180,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,Simple,everyday; comfy,For sale
아란 니트 양말,Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan4.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan4.png,Blue,No,720,180,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,Simple,everyday; comfy,For sale
아란 니트 양말,Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan5.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan5.png,Black,No,720,180,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,Simple,everyday; comfy,For sale
아가일 양말,argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle0.png,Blue,No,720,180,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal; work,For sale
아가일 양말,argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle1.png,Red,No,720,180,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal; work,For sale
