nameKor,Name,Storage Image,DIY,Buy,Sell,Size,Source,Source Notes,Catalog
사과 우산,apple umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaApple0.png,Yes,5600,1400,1x1,Crafting,,Not for sale
박쥐 우산,bat umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaBat0.png,No,840,210,1x1,Nook's Cranny,,For sale
해변가 우산,beach umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaBeach0.png,No,770,192,1x1,Nook's Cranny,,For sale
곰 우산,bear umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaBear0.png,No,1570,392,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),For sale
검정 시크 우산,black chic umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaPacodarace5.png,No,1620,405,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),For sale
검정 레이스 우산,black lace umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaRace0.png,No,750,187,1x1,Nook's Cranny,,For sale
파란 물방울 우산,blue dot parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaPolkadot2.png,No,750,187,1x1,Nook's Cranny,,For sale
블루 리본 레이스 우산,blue shiny-bows parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaPacodarace2.png,No,1620,405,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),For sale
파란 우산,blue umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaStandard2.png,No,770,192,1x1,Nook's Cranny,,For sale
부러진 우산,busted umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaBroken0.png,No,1570,392,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),For sale
밀리터리 우산,camo umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaOutdoor0.png,No,650,162,1x1,Nook's Cranny,,For sale
딸기 깅엄 우산,candy umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaGingham0.png,No,770,192,1x1,Nook's Cranny,,For sale
체리 우산,cherry umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaCherry0.png,Yes,5600,1400,1x1,Crafting,,Not for sale
벚꽃 우산,cherry-blossom umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaCherryblossom0.png,Yes,11200,2800,1x1,Crafting,,Not for sale
DAL 우산,DAL umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaDoc0.png,No,4040,1010,1x1,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,Not for sale
노란 물방울 우산,eggy parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaPolkadot1.png,No,750,187,1x1,Nook's Cranny,,For sale
오리엔탈 우산,exquisite parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaChina0.png,No,1670,417,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),For sale
메르헨 우산,fairy-tale umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaFairytale0.png,No,820,205,1x1,Nook's Cranny,,For sale
물고기 우산,fish umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaFish0.png,No,320,80,1x1,Fishing Tourney,,Not for sale
개구리 우산,frog umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaFrog0.png,No,1570,392,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),For sale
3색 우산,gelato umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaTricolor0.png,No,750,187,1x1,Nook's Cranny,,For sale
해나와라 우산,ghost umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaTeruteru0.png,No,1670,417,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),For sale
포도 우산,grape umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaGrape0.png,No,1550,387,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),For sale
초록 시크 우산,green chic umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaPacodarace4.png,No,1620,405,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),For sale
초록 우산,green umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaStandard3.png,No,770,192,1x1,Nook's Cranny,,For sale
수국 우산,hydrangea umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaHydrangea0.png,No,750,187,1x1,Nook's Cranny,,For sale
가부키 우산,kabuki umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaKabuki0.png,No,1670,417,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),For sale
키위 우산,kiwi umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaKiwi0.png,No,1550,387,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),For sale
레이스 우산,lacy parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaLace0.png,No,1550,387,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),For sale
무당벌레 우산,ladybug umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaLadybug0.png,No,320,80,1x1,Bug-Off,,Not for sale
연꽃잎 우산,leaf umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaLeaf0.png,Yes,1200,300,1x1,Crafting,,Not for sale
레몬 깅엄 우산,lemon umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaGingham4.png,No,770,192,1x1,Nook's Cranny,,For sale
로고 우산,logo umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaLogo0.png,No,650,162,1x1,Nook's Cranny,,For sale
단풍잎 우산,maple-leaf umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaAutumn0.png,Yes,11200,2800,1x1,Crafting,,Not for sale
새싹 깅엄 우산,melon umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaGingham1.png,No,770,192,1x1,Nook's Cranny,,For sale
잔꽃무늬 우산,mini-flower-print umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaFlorets0.png,No,750,187,1x1,Nook's Cranny,,For sale
민트 깅엄 우산,mint umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaGingham2.png,No,770,192,1x1,Nook's Cranny,,For sale
버섯 우산,mush umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaMushroom0.png,Yes,4800,1200,1x1,Crafting,,Not for sale
Nook Inc. 우산,Nook Inc. umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaRco0.png,No,14000,3500,1x1,Nook Miles Shop,,Not for sale
오렌지 우산,orange umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaOrange0.png,Yes,5600,1400,1x1,Crafting,,Not for sale
팬더 우산,panda umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaPanda0.png,No,1570,392,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),For sale
대나무 우산,paper parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaBangasa0.png,No,870,217,1x1,Nook's Cranny,,For sale
도트 무늬 비닐 우산,patterned vinyl umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaBoundary0.png,No,750,187,1x1,Nook's Cranny,,For sale
복숭아 우산,peach umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaPeach0.png,Yes,5600,1400,1x1,Crafting,,Not for sale
배 우산,pear umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaPear0.png,Yes,5600,1400,1x1,Crafting,,Not for sale
국화꽃 우산,petal parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaMargaret0.png,No,1590,397,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),For sale
베리 깅엄 우산,picnic umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaGingham3.png,No,770,192,1x1,Nook's Cranny,,For sale
파인애플 우산,pineapple umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaPineapple0.png,No,1550,387,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),For sale
