nameKor,Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Size,Source,Source Notes,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Speaker Type,Lighting Type,Catalog
액세서리 스탠드,accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_0_0.png,White,NA,NA,NA,No,No,No,NA,1500,375,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,shop,None,None,No,Beauty,Does not play music,No lighting,For sale
액세서리 스탠드,accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_1_0.png,Pink,NA,NA,NA,No,No,No,NA,1500,375,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,shop,None,None,No,Beauty,Does not play music,No lighting,For sale
액세서리 스탠드,accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,1500,375,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,shop,None,None,No,Beauty,Does not play music,No lighting,For sale
액세서리 스탠드,accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_3_0.png,Brown,NA,NA,NA,No,No,No,NA,1500,375,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,shop,None,None,No,Beauty,Does not play music,No lighting,For sale
액세서리 스탠드,accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_4_0.png,Light blue,NA,NA,NA,No,No,No,NA,1500,375,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,shop,None,None,No,Beauty,Does not play music,No lighting,For sale
동물의 숲 Nintendo Switch,ACNH Nintendo Switch,https://acnhcdn.com/latest/FtrIcon/FtrSwitchAC.png,NA,NA,NA,NA,No,No,No,NA,35960,8990,1x1,Nintendo; Nook Shopping,,child's room,living room,None,None,No,Game Console,Does not play music,Emission,For sale
아그리아스나비 모형,agrias butterfly model,https://acnhcdn.com/latest/FtrIcon/FtrInsectMiirotatehaToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,9000,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,None,None,None,None,No,Insect,Does not play music,No lighting,Not for sale
듀랄루민 케이스,aluminum briefcase,https://acnhcdn.com/latest/FtrIcon/FtrDuralumincase_Remake_0_0.png,Stacks of cash,NA,NA,NA,No,No,No,NA,100000,25000,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",office,expensive,None,None,Yes,Office,Does not play music,No lighting,For sale
듀랄루민 케이스,aluminum briefcase,https://acnhcdn.com/latest/FtrIcon/FtrDuralumincase_Remake_1_0.png,Gold bars,NA,NA,NA,No,No,No,NA,100000,25000,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",office,expensive,None,None,Yes,Office,Does not play music,No lighting,For sale
앰프,amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_0_0.png,Black,NA,NA,NA,No,No,No,NA,5100,1275,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,concert,None,None,None,No,Musical Instrument,Does not play music,No lighting,For sale
앰프,amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_1_0.png,White,NA,NA,NA,No,No,No,NA,5100,1275,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,concert,None,None,None,No,Musical Instrument,Does not play music,No lighting,For sale
앰프,amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_2_0.png,Orange,NA,NA,NA,No,No,No,NA,5100,1275,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,concert,None,None,None,No,Musical Instrument,Does not play music,No lighting,For sale
앰프,amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_3_0.png,Brown,NA,NA,NA,No,No,No,NA,5100,1275,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,concert,None,None,None,No,Musical Instrument,Does not play music,No lighting,For sale
앰프,amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_4_0.png,Blue,NA,NA,NA,No,No,No,NA,5100,1275,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,concert,None,None,None,No,Musical Instrument,Does not play music,No lighting,For sale
앰프,amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_5_0.png,Red,NA,NA,NA,No,No,No,NA,5100,1275,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,concert,None,None,None,No,Musical Instrument,Does not play music,No lighting,For sale
앰프,amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_6_0.png,Pink,NA,NA,NA,No,No,No,NA,5100,1275,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,concert,None,None,None,No,Musical Instrument,Does not play music,No lighting,For sale
주방용 저울,analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_0_0.png,Red,NA,NA,NA,No,No,No,NA,1100,275,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale
주방용 저울,analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_1_0.png,Yellow,NA,NA,NA,No,No,No,NA,1100,275,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale
주방용 저울,analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_2_0.png,Green,NA,NA,NA,No,No,No,NA,1100,275,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale
주방용 저울,analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_3_0.png,Blue,NA,NA,NA,No,No,No,NA,1100,275,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale
주방용 저울,analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_4_0.png,Pink,NA,NA,NA,No,No,No,NA,1100,275,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale
주방용 저울,analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_5_0.png,Ivory,NA,NA,NA,No,No,No,NA,1100,275,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale
주방용 저울,analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_6_0.png,Light blue,NA,NA,NA,No,No,No,NA,1100,275,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale
주방용 저울,analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_7_0.png,Black,NA,NA,NA,No,No,No,NA,1100,275,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale
멸치 모형,anchovy model,https://acnhcdn.com/latest/FtrIcon/FtrFishAntyobiToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,600,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,None,None,None,None,No,Fish,Does not play music,No lighting,Not for sale
