nameKor,Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,Size,Source,Source Notes,Seasonal Availability,Style,Label Themes,Catalog
워싱 청바지,acid-washed jeans,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalChemical0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalChemical0.png,Blue,No,1320,330,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Simple,everyday; outdoorsy,For sale
워싱 청바지,acid-washed jeans,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalChemical1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalChemical1.png,Black,No,1320,330,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Simple,everyday; outdoorsy,For sale
동물 무늬 스커트,animal-stripes skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxStripe0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxStripe0.png,Tiger,No,1100,275,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Cool,everyday,For sale
동물 무늬 스커트,animal-stripes skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxStripe1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxStripe1.png,Zebra,No,1100,275,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Cool,everyday,For sale
에이프런 스커트,apron skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxApron0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxApron0.png,Purple,No,700,175,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Simple,work,For sale
에이프런 스커트,apron skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxApron1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxApron1.png,Blue,No,700,175,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Simple,work,For sale
에이프런 스커트,apron skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxApron2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxApron2.png,Beige,No,700,175,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Simple,work,For sale
트레이닝복 바지,athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey0.png,Red,No,880,220,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,outdoorsy; comfy; sporty,For sale
트레이닝복 바지,athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey1.png,Green,No,880,220,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,outdoorsy; comfy; sporty,For sale
트레이닝복 바지,athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey2.png,Black,No,880,220,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,outdoorsy; comfy; sporty,For sale
