nameKor,Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,Size,Source,Source Notes,Seasonal Availability,Style,Label Themes,Catalog,Primary Shape,Secondary Shape
나들이 원피스,academy uniform,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLYosoiki0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxLYosoiki0.png,Navy blue,No,2080,520,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,formal; party,For sale,Box,L
나들이 원피스,academy uniform,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLYosoiki1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxLYosoiki1.png,Gray,No,2080,520,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,formal; party,For sale,Box,L
나들이 원피스,academy uniform,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLYosoiki2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxLYosoiki2.png,Red,No,2080,520,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,formal; party,For sale,Box,L
이상한 원피스,adventure dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHStrangeBlue.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonHStrangeBlue.png,Blue,No,2800,700,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale,For sale,Balloon,H
알프스풍 원피스,alpinist dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHTyrolean0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonHTyrolean0.png,Green,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,everyday; formal,For sale,Balloon,H
알프스풍 원피스,alpinist dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHTyrolean1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonHTyrolean1.png,Blue,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,everyday; formal,For sale,Balloon,H
알프스풍 원피스,alpinist dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHTyrolean2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonHTyrolean2.png,Red,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,everyday; formal,For sale,Balloon,H
알프스풍 점프슈트,alpinist overalls,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallHTyrolean0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallHTyrolean0.png,Green,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal,For sale,Overall,H
알프스풍 점프슈트,alpinist overalls,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallHTyrolean1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallHTyrolean1.png,Blue,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal,For sale,Overall,H
알프스풍 점프슈트,alpinist overalls,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallHTyrolean2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallHTyrolean2.png,Red,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal,For sale,Overall,H
군사복,ancient belted robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen0.png,Blue,No,3640,910,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,formal,For sale,Kimono,L
군사복,ancient belted robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen1.png,Green,No,3640,910,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,formal,For sale,Kimono,L
군사복,ancient belted robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen2.png,Beige,No,3640,910,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,formal,For sale,Kimono,L
군사복,ancient belted robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen3.png,White,No,3640,910,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,formal,For sale,Kimono,L
군사복,ancient belted robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen4.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen4.png,Purple,No,3640,910,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,formal,For sale,Kimono,L
한푸,ancient sashed robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukuwomen0.png,Green,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,formal,For sale,Kimono,L
한푸,ancient sashed robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukuwomen1.png,Pink,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,formal,For sale,Kimono,L
한푸,ancient sashed robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukuwomen2.png,Red,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,formal,For sale,Kimono,L
한푸,ancient sashed robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukuwomen3.png,Blue,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,formal,For sale,Kimono,L
한푸,ancient sashed robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen4.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukuwomen4.png,Purple,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,formal,For sale,Kimono,L
아오자이,ao dai,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAodai0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAodai0.png,White,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal,For sale,B-long,L
아오자이,ao dai,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAodai1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAodai1.png,Navy blue,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal,For sale,B-long,L
아오자이,ao dai,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAodai2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAodai2.png,Yellow,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal,For sale,B-long,L
아오자이,ao dai,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAodai3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAodai3.png,Green,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal,For sale,B-long,L
아오자이,ao dai,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAodai4.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAodai4.png,Pink,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal,For sale,B-long,L
사과 옷,apple dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceAlineNApple0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceAlineNApple0.png,Red,Yes,NFS,1600,1x1,Crafting,,All Year,Cute,fairy tale; party; theatrical,Not for sale,A-line,N
우주 원피스,astro dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceAlineNSpace0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceAlineNSpace0.png,Blue,No,2500,625,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cool,fairy tale; theatrical,For sale,A-line,N
우주 원피스,astro dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceAlineNSpace1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceAlineNSpace1.png,Green,No,2500,625,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cool,fairy tale; theatrical,For sale,A-line,N
우주 원피스,astro dress,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceAlineNSpace2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceAlineNSpace2.png,Pink,No,2500,625,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cool,fairy tale; theatrical,For sale,A-line,N
아이누족 옷,attus robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAttoushi0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAttoushi0.png,Blue,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cool,everyday; formal,For sale,B-long,L
