nameEng,nameKor,source,imageUrl
Aggravation,¹ö·°,¾ÆÀÌµ¹,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Aggravation.png?alt=media&token=57cee475-0662-44b9-bb31-4c4722576404
Agreement,²ô´ö²ô´ö,¹«¶Ò¶Ò,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Agreement.png?alt=media&token=c3c3df9a-b574-4c3a-89e1-e8b31029938a
Amazed,±ôÂ¦!,¼º¼÷ÇÔ,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Amazed.png?alt=media&token=f908600f-1a16-468b-a8fd-a1d8a9f09043
Apologetic,²Ù¹÷,´Ü¼øÈ°¹ß,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Apologetic.png?alt=media&token=3ee0743c-02d5-43ca-a1ca-d97c79704c26
Bashfulness,ºÎ²ô·³,¸Ôº¸,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Bashfulness.png?alt=media&token=5a1f36e4-756a-41b1-9465-633f5293e349
Bewilderment,¹¹?,¹«¶Ò¶Ò,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Bewilderment.png?alt=media&token=2d0eba5a-8d51-40f4-ad4f-2c4c64003ff5
ColdChill,¾¹¾µ,´Ü¼øÈ°¹ß,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_ColdChill.png?alt=media&token=e721692d-c1d8-41ef-a57b-65309996f82a
Confident,¸Ã°ÜÁà!,´Ü¼øÈ°¹ß,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Confident.png?alt=media&token=0ae34713-75fc-414f-86d4-1e58c418ea14
Curiosity,ÀÀ?,¾ÆÀÌµ¹,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Curiosity.png?alt=media&token=7d301ac6-9b24-4d74-913a-b4b655bb2ff3
Daydreaming,»ó»ó,Ä£ÀýÇÔ,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Daydreaming.png?alt=media&token=71972ddf-32e9-4aa5-9243-aeba6a3c7a00
Delight,¹Ú¼ö,¸ðµÎ,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Delight.png?alt=media&token=21f91fe0-bfa0-478d-bf5e-c346240c6d58
Disagreement,Àý·¹Àý·¹,´Ü¼øÈ°¹ß,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Disagreement.png?alt=media&token=c7ff4cfe-a017-429d-8320-7e6b1bddf1ab
Distress,´çÈ²,¿îµ¿±¤,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Distress.png?alt=media&token=1b6d7b2e-6edb-4016-97ef-f9e35f65a9e1
