nameEng,nameKor,source,imageUrl
Aggravation,버럭,아이돌,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Aggravation.png?alt=media&token=57cee475-0662-44b9-bb31-4c4722576404
Agreement,끄덕끄덕,무뚝뚝,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Agreement.png?alt=media&token=c3c3df9a-b574-4c3a-89e1-e8b31029938a
Amazed,깜짝!,성숙함,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Amazed.png?alt=media&token=f908600f-1a16-468b-a8fd-a1d8a9f09043
Apologetic,꾸벅,단순활발,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Apologetic.png?alt=media&token=3ee0743c-02d5-43ca-a1ca-d97c79704c26
Bashfulness,부끄럼,먹보,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Bashfulness.png?alt=media&token=5a1f36e4-756a-41b1-9465-633f5293e349
Bewilderment,뭐?,무뚝뚝,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Bewilderment.png?alt=media&token=2d0eba5a-8d51-40f4-ad4f-2c4c64003ff5
ColdChill,씁쓸,단순활발,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_ColdChill.png?alt=media&token=e721692d-c1d8-41ef-a57b-65309996f82a
Confident,맡겨줘!,단순활발,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Confident.png?alt=media&token=0ae34713-75fc-414f-86d4-1e58c418ea14
Curiosity,응?,아이돌,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Curiosity.png?alt=media&token=7d301ac6-9b24-4d74-913a-b4b655bb2ff3
Daydreaming,상상,친절함,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Daydreaming.png?alt=media&token=71972ddf-32e9-4aa5-9243-aeba6a3c7a00
Delight,박수,모두,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Delight.png?alt=media&token=21f91fe0-bfa0-478d-bf5e-c346240c6d58
Disagreement,절레절레,단순활발,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Disagreement.png?alt=media&token=c7ff4cfe-a017-429d-8320-7e6b1bddf1ab
Distress,당황,운동광,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Distress.png?alt=media&token=1b6d7b2e-6edb-4016-97ef-f9e35f65a9e1
Dozing,쿨쿨,느끼함,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Dozing.png?alt=media&token=98db7c41-1326-47e7-bcac-6afa0b4e301d
Encouraging,힘내!,운동광,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Encouraging.png?alt=media&token=57f78b05-d4c0-4f10-8e5e-f444b256c185
Fearful,덜덜덜,친절함,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Fearful.png?alt=media&token=451f899a-44a5-4c9a-8340-011058084d21
Flourish,댄스,운동광,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Flourish.png?alt=media&token=319d917f-53e5-4a14-9fb4-b21b2d74cc16
Glee,신바람,친절함,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Glee.png?alt=media&token=9cb5b1b1-54b0-4a55-ba82-b4b5933f80a8
Greetings,안녕!,모두,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Greetings.png?alt=media&token=2d50c7d9-2b54-4543-9f30-f28713fd8c78
Happiness,싱글벙글,아이돌,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Happiness.png?alt=media&token=acd574ad-cef2-4689-b499-0f61379d59b2
Heartbreak,실연,느끼함,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Heartbreak.png?alt=media&token=1a5d1549-20a5-4a3c-8303-02b207ac17f8
Inspiration,번뜩,무뚝뚝,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Inspiration.png?alt=media&token=27fc9e7b-db6c-4836-87c3-7290f983df97
Intense,조용,성숙함,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Intense.png?alt=media&token=de3334d7-4113-446b-a614-d522fb130b94
Joy,해피,모두,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Joy.png?alt=media&token=42f72ab5-73f5-449e-876a-49a23d800751
Laughter,웃기,단순활발,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Laughter.png?alt=media&token=193cba01-3c72-49ce-b2d2-6836e887d937
Love,러브,성숙함,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Love.png?alt=media&token=72b65aeb-1ed4-433c-8233-c1f176e5f278
Mischief,꿍꿍이,아이돌,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Mischief.png?alt=media&token=961d9865-b95e-490a-bfe7-7d6cb66361f5
Mistaken,아차!,먹보,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Mistaken.png?alt=media&token=e4a9b524-e2da-4817-b959-d3ea84e98bc2
Pleased,까딱,친절함,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Pleased.png?alt=media&token=9409f8ba-908a-4cd4-894e-307b29d79e65
Pride,잘난체,먹보,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Pride.png?alt=media&token=c3511c31-815e-4ba8-9403-6cbeefa53ef3
Resignation,나참…,느끼함,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Resignation.png?alt=media&token=1e529afd-db4a-4135-b5ab-d342e0510e08
Sadness,실망,친절함,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Sadness.png?alt=media&token=ed02be0c-c75b-4bdc-8d54-a69057fc3740
Sheepishness,쓴웃음,무뚝뚝,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Sheepishness.png?alt=media&token=00043fe2-1ddf-48b2-9028-e79338931685
Shocked,뜨악!,운동광,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Shocked.png?alt=media&token=f09411c2-4da3-4f5c-baec-fe77707b4840
Showmanship,짜잔!,느끼함,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Showmanship.png?alt=media&token=3f572c64-f37a-4c9d-a489-3a95ebc1f3ed
Shyness,머뭇,먹보,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Shyness.png?alt=media&token=28832513-ba34-403a-ba29-078182fd0bb8
Sighing,한숨,성숙함,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Sighing.png?alt=media&token=4a6308c9-ee27-4df3-9f0c-473c337599db
Sleepy,하품,아이돌,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Sleepy.png?alt=media&token=7643aa4c-b178-4467-bef1-9b8a72d078b7
