Name,Image,DIY,Buy,Sell,Size,Source,Source Notes,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog
aluminum rug,https://acnhcdn.com/latest/FtrIcon/RugRectAluminumM00.png,No,1500,375,3x2 ,Saharah,Medium rug,garden,outdoors,None,Slender Rugs,For sale
apple rug,https://acnhcdn.com/latest/FtrIcon/RugOtherAppleM00.png,Yes,NFS,1200,3x3 ,Crafting,Medium rug,fancy,child's room,fruits,Fruit Rugs,Not for sale
Bell-bag rug,https://acnhcdn.com/latest/FtrIcon/RugOtherBellM00.png,No,NFS,6000,3x3,Nook Miles Shop,Medium rug,expensive,None,None,Park Rugs,Not for sale
black blocks rug,https://acnhcdn.com/latest/FtrIcon/RugSquareBlockM03.png,No,1500,375,3x3 ,Saharah,Medium rug,living room,None,None,Pattern Rugs,For sale
black wooden-deck rug,https://acnhcdn.com/latest/FtrIcon/RugRectDeckM03.png,No,1500,375,3x2 ,Saharah,Medium rug,outdoors,None,None,Wood Rugs,For sale
black-design kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectNativeKitchenS03.png,No,1000,250,2x1 ,Saharah,Small rug,kitchen,None,None,Kitchen Rugs,For sale
blue argyle rug,https://acnhcdn.com/latest/FtrIcon/RugRectArgyleL02.png,No,2000,500,4x3 ,Saharah,Large rug,living room,expensive,None,Slender Pattern Rugs,For sale
blue blocks rug,https://acnhcdn.com/latest/FtrIcon/RugSquareBlockM01.png,No,1500,375,3x3 ,Saharah,Medium rug,living room,None,None,Pattern Rugs,For sale
blue dotted rug,https://acnhcdn.com/latest/FtrIcon/RugRectDotL03.png,No,2000,500,4x3 ,Saharah,Large rug,fancy,child's room,None,Slender Pattern Rugs,For sale
blue kilim-style carpet,https://acnhcdn.com/latest/FtrIcon/RugSquareKirimL01.png,No,2000,500,5x5 ,Saharah,Large rug,living room,None,None,Pattern Rugs,For sale
blue kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectKitchenS02.png,No,1000,250,2x1 ,Saharah,Small rug,kitchen,None,None,Kitchen Rugs,For sale
blue medium round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleM02.png,No,1500,375,3x3 ,Saharah,Medium rug,living room,child's room,None,Shaggy Round Rugs,For sale
blue message mat,https://acnhcdn.com/latest/FtrIcon/RugOtherMessageS01.png,No,1000,250,2x1 ,Saharah,Small rug,child's room,None,None,Message Mats,For sale
blue Persian rug,https://acnhcdn.com/latest/FtrIcon/RugSquarePersianL01.png,No,2000,500,5x5 ,Saharah,Large rug,expensive,living room,None,Pattern Rugs,For sale
blue shaggy rug,https://acnhcdn.com/latest/FtrIcon/RugSquareShaggyL02.png,No,2000,500,5x5 ,Saharah,Large rug,living room,None,None,Pattern Rugs,For sale
blue small round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleS02.png,No,1000,250,2x2 ,Saharah,Small rug,living room,child's room,None,Shaggy Round Rugs,For sale
blue stripes rug,https://acnhcdn.com/latest/FtrIcon/RugRectBorderL02.png,No,2000,500,4x3 ,Saharah,Large rug,fancy,child's room,None,Slender Pattern Rugs,For sale
blue vinyl sheet,https://acnhcdn.com/latest/FtrIcon/RugRectVinylM01.png,No,1500,375,3x2 ,Saharah,Medium rug,garden,None,None,Slender Pattern Rugs,For sale
blue wavy rug,https://acnhcdn.com/latest/FtrIcon/RugRectWaveL02.png,No,2000,500,4x3 ,Saharah,Large rug,living room,child's room,None,Slender Pattern Rugs,For sale
blue wedding rug,https://acnhcdn.com/latest/FtrIcon/RugRectJuneBrideM00.png,No,1500,375,3x2,,Medium rug,party,expensive,wedding,Slender Pattern Rugs,Not for sale
blue-design kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectNativeKitchenS01.png,No,1000,250,2x1 ,Saharah,Small rug,kitchen,None,None,Kitchen Rugs,For sale
botanical rug,https://acnhcdn.com/latest/FtrIcon/RugRectBotanicalL00.png,No,2000,500,4x3 ,Saharah,Large rug,living room,None,None,Slender Pattern Rugs,For sale
brown argyle rug,https://acnhcdn.com/latest/FtrIcon/RugRectArgyleL03.png,No,2000,500,4x3 ,Saharah,Large rug,living room,expensive,None,Slender Pattern Rugs,For sale
brown kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectKitchenS00.png,No,1000,250,2x1 ,Saharah,Small rug,kitchen,None,None,Kitchen Rugs,For sale
brown shaggy rug,https://acnhcdn.com/latest/FtrIcon/RugSquareShaggyL01.png,No,2000,500,5x5 ,Saharah,Large rug,living room,None,None,Pattern Rugs,For sale
brown wooden-deck rug,https://acnhcdn.com/latest/FtrIcon/RugRectDeckM00.png,No,1500,375,3x2 ,Saharah,Medium rug,outdoors,None,None,Wood Rugs,For sale
Bunny Day rug,https://acnhcdn.com/latest/FtrIcon/RugOtherEasterM00.png,Yes,NFS,2400,3x3,Crafting,,fancy,child's room,Bunny Day,Icon Rugs,Not for sale
cherry rug,https://acnhcdn.com/latest/FtrIcon/RugOtherCherryM00.png,Yes,NFS,1200,3x3 ,Crafting,,fancy,child's room,fruits,Fruit Rugs,Not for sale
colorful vinyl sheet,https://acnhcdn.com/latest/FtrIcon/RugRectVinylM00.png,No,1500,375,3x2 ,Saharah,Medium rug,garden,None,None,Slender Pattern Rugs,For sale
dark bamboo rug,https://acnhcdn.com/latest/FtrIcon/RugRectBambooM01.png,Yes,NFS,960,3x2 ,Crafting,,zen-style,None,None,Wood Rugs,Not for sale
Earth rug,https://acnhcdn.com/latest/FtrIcon/RugRoundEarthM00.png,No,1500,375,3x3 ,Saharah,Medium rug,space,child's room,None,Icon Rugs,For sale
fish rug,https://acnhcdn.com/latest/FtrIcon/RugOtherFishM00.png,No,NFS,375,3x3 ,Fishing Tourney,,ocean,child's room,None,Icon Rugs,Not for sale
fluffy rug,https://acnhcdn.com/latest/FtrIcon/RugOtherCloudM00.png,No,1500,375,3x3 ,Saharah,Medium rug,fancy,child's room,None,Icon Rugs,For sale
fossil rug,https://acnhcdn.com/latest/FtrIcon/RugOtherFossilM00.png,No,1500,375,3x3 ,Saharah,Medium rug,fancy,child's room,None,Park Rugs,For sale
green checked rug,https://acnhcdn.com/latest/FtrIcon/RugSquareCheckQuiltL03.png,No,2000,500,4x4 ,Saharah,Large rug,living room,child's room,None,Pattern Rugs,For sale
green kilim-style carpet,https://acnhcdn.com/latest/FtrIcon/RugSquareKirimL02.png,No,2000,500,5x5 ,Saharah,Large rug,living room,None,None,Pattern Rugs,For sale
green kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectKitchenS03.png,No,1000,250,2x1 ,Saharah,Small rug,kitchen,None,None,Kitchen Rugs,For sale
green shaggy rug,https://acnhcdn.com/latest/FtrIcon/RugSquareShaggyL00.png,No,2000,500,5x5 ,Saharah,Large rug,living room,None,None,Pattern Rugs,For sale
green stripes rug,https://acnhcdn.com/latest/FtrIcon/RugRectBorderL03.png,No,2000,500,4x3 ,Saharah,Large rug,fancy,child's room,None,Slender Pattern Rugs,For sale
