id,Version,English,English (Europe),German,Spanish,Spanish (US),French,French (US),Italian,Dutch,Chinese,Chinese (Traditional),Japanese,Korean,Russian
533,1.0.0,school hat,school hat,Schülerhut,gorra de colegio,gorra de colegio,chapeau d'écolier,chapeau d'écolier,cappello da scolaro,Japanse schoolhoedje,上学帽,上學帽,つうがくぼう,유치원생 모자,школьная шапочка
550,1.0.0,New Year's hat,New Year's hat,Neujahrshut,gorro de Año Nuevo,gorro de Año Nuevo,chapeau de nouvel an,chapeau de Nouvel An,cappello di Capodanno,nieuwjaarshoedje,新年帽,新年帽,ニューイヤーハット,새해 모자,новогодняя шапочка
551,1.0.0,birthday hat,birthday hat,Geburtstagshut,sombrero de cumpleaños,sombrero de cumpleaños,chapeau anniversaire,chapeau de fête,cappello di compleanno,verjaardagshoed,生日帽,生日帽,バースデーハット,생일 모자,именинная шапка
552,1.0.0,hyacinth crown,hyacinth crown,Hyazinthenkrone,guirnalda jacinto,tiara jacintos,coiffe jacinthes,coiffe jacinthes,corona di giacinti,hyacintenkroon,风信子花冠,風信子花冠,ヒヤシンスのかんむり,히아신스 화관,венок из гиацинтов
553,1.0.0,cool hyacinth crown,cool hyacinth crown,Bunthyazinthenkrone,guirnalda jacinto refinada,tiara jacintos atrevida,coiffe jacinthes raffinée,coiffe jacinthes raffinée,corona di giacinti spavalda,toffe hyacintenkroon,清新风信子花冠,清新風信子花冠,ヒヤシンスのかんむり・クール,쿨 히아신스 화관,яркий венок из гиацинтов
554,1.0.0,purple hyacinth crown,purple hyacinth crown,Purpurhyazinthenkrone,guirnalda jacinto violeta,tiara jacintos morados,coiffe jacinthes mauves,coiffe jacinthes mauves,corona di giacinti viola,paarse-hyacintenkroon,紫色风信子花冠,紫色風信子花冠,ヒヤシンスのかんむり・パープル,퍼플 히아신스 화관,фиол. венок из гиацинтов
555,1.0.0,windflower crown,windflower crown,Anemonenkrone,guirnalda anémona,tiara anémonas,coiffe anémones,coiffe anémones,corona di anemoni,anemonenkroon,银莲花花冠,銀蓮花花冠,アネモネのかんむり,아네모네 화관,венок из ветрениц
556,1.0.0,cool windflower crown,cool windflower crown,Buntanemonenkrone,guirnalda anémona refinada,tiara anémonas atrevida,coiffe anémones raffinée,coiffe anémones raffinée,corona di anemoni spavalda,toffe anemonenkroon,清新银莲花花冠,清新銀蓮花花冠,アネモネのかんむり・クール,쿨 아네모네 화관,яркий венок из ветрениц
557,1.0.0,purple windflower crown,purple windflower crown,Purpuranemonenkrone,guirnalda anémona violeta,tiara anémonas moradas,coiffe anémones mauves,coiffe anémones mauves,corona di anemoni viola,paarse-anemonenkroon,紫色银莲花花冠,紫色銀蓮花花冠,アネモネのかんむり・パープル,퍼플 아네모네 화관,фиол. венок из ветрениц
558,1.0.0,tulip crown,tulip crown,Tulpenkrone,guirnalda tulipán,tiara tulipanes,coiffe tulipes,coiffe tulipes,corona di tulipani,tulpenkroon,郁金香花冠,鬱金香花冠,チューリップのかんむり,튤립 화관,венок из тюльпанов
559,1.0.0,chic tulip crown,chic tulip crown,Edeltulpenkrone,guirnalda tulipán chic,tiara tulipanes chic,coiffe tulipes chic,coiffe tulipes chic,corona di tulipani chic,chique tulpenkroon,典雅郁金香花冠,典雅鬱金香花冠,チューリップのかんむり・シック,시크 튤립 화관,диво-венок из тюльпанов
560,1.0.0,dark tulip crown,dark tulip crown,Römertulpenkrone,guirnalda tulipán negro,tiara tulipanes gótica,coiffe tulipes sombre,coiffe tulipes sombre,corona di tulipani cupa,donkere-tulpenkroon,深色郁金香花冠,深色鬱金香花冠,チューリップのかんむり・ダーク,다크 튤립 화관,темн. венок из тюльпанов
561,1.0.0,pansy crown,pansy crown,Veilchenkrone,guirnalda viola,tiara violas,coiffe pensées,coiffe pensées,corona di viole,viooltjeskroon,三色堇花冠,三色堇花冠,パンジーのかんむり,팬지 화관,венок из фиалок
