Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,Size,Source,Source Notes,Seasonal Availability,Version,Style,Label Themes,Type,Catalog
3D glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThreed0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThreed0.png,White,No,490,122,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Active,party,AccessoryEye,For sale
3D glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThreed1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThreed1.png,Black,No,490,122,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Active,party,AccessoryEye,For sale
bandage,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBandageSkin.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBandageSkin.png,Beige,No,140,35,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1.0.0,Active,outdoorsy; comfy; sporty,AccessoryMouth,For sale
beak,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBeakYellow.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBeakYellow.png,Yellow,No,490,122,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1.0.0,Cute,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,For sale
birthday shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBirthday0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBirthday0.png,Yellow,No,NFS,620,1x1,Birthday,,All Year,1.0.0,Gorgeous,party,AccessoryEye,Not for sale
birthday shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBirthday1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBirthday1.png,Pink,No,NFS,620,1x1,Birthday,,All Year,1.0.0,Gorgeous,party,AccessoryEye,Not for sale
birthday shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBirthday2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBirthday2.png,Red,No,NFS,620,1x1,Birthday,,All Year,1.0.0,Gorgeous,party,AccessoryEye,Not for sale
birthday shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBirthday3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBirthday3.png,Blue,No,NFS,620,1x1,Birthday,,All Year,1.0.0,Gorgeous,party,AccessoryEye,Not for sale
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose0.png,Red,No,1100,275,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Simple,everyday; comfy; work,AccessoryEye,For sale
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose1.png,Purple,No,1100,275,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Simple,everyday; comfy; work,AccessoryEye,For sale
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose2.png,Green,No,1100,275,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Simple,everyday; comfy; work,AccessoryEye,For sale
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose3.png,Blue,No,1100,275,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Simple,everyday; comfy; work,AccessoryEye,For sale
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose4.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose4.png,Yellow,No,1100,275,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Simple,everyday; comfy; work,AccessoryEye,For sale
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose5.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose5.png,Pink,No,1100,275,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Simple,everyday; comfy; work,AccessoryEye,For sale
