Internal ID,Name,Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size
10814,Admiral's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlBrd06.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Green,Blue,For sale,No,1x1
10425,Agent S's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlSqu05.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Blue,Gray,For sale,No,1x1
10401,Agnes's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlPig17.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Pink,Black,For sale,No,1x1
10590,Al's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlGor08.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Red,Light blue,For sale,No,1x1
10382,Alfonso's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlCrd00.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Orange,Red,For sale,No,1x1
10411,Alice's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlKal01.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Beige,White,For sale,No,1x1
10655,Alli's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlCrd01.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Light blue,Red,For sale,No,1x1
10687,Amelia's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlPbr01.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Red,White,For sale,No,1x1
10800,Anabelle's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlAnt03.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Yellow,Blue,For sale,No,1x1
10782,Anchovy's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlBrd02.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Brown,Light blue,For sale,No,1x1
10807,Angus's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlBul00.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Red,Orange,For sale,No,1x1
10413,Anicotti's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlMus10.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Green,Brown,For sale,No,1x1
10416,Ankha's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlCat19.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Yellow,Brown,For sale,No,1x1
10824,Annalisa's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlAnt08.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Beige,Pink,For sale,No,1x1
10573,Annalise's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlHrs09.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Brown,Purple,For sale,No,1x1
10795,Antonio's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlAnt01.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Blue,Yellow,For sale,No,1x1
10512,Apollo's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlPbr00.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Black,White,For sale,No,1x1
10565,Apple's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlHam01.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Red,Yellow,For sale,No,1x1
10493,Astrid's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlKgr05.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",White,Black,For sale,No,1x1
10859,Audie's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlWol12.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Red,Yellow,For sale,No,1x1
10563,Aurora's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlPgn00.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Black,Red,For sale,No,1x1
10467,Ava's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlChn05.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Beige,Pink,For sale,No,1x1
10370,Avery's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlPbr05.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Gray,Black,For sale,No,1x1
10319,Axel's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlElp06.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Blue,Red,For sale,No,1x1
10508,Baabara's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlShp01.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Brown,Light blue,For sale,No,1x1
10456,Bam's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlDer01.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Blue,Green,For sale,No,1x1
10672,Bangle's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlTig03.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Brown,Green,For sale,No,1x1
10583,Barold's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlCbr16.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Gray,Black,For sale,No,1x1
10632,Bea's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlDog10.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Light blue,Brown,For sale,No,1x1
10788,Beardo's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlBea13.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Light blue,Brown,For sale,No,1x1
10396,Beau's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlDer07.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Light blue,Brown,For sale,No,1x1
10580,Becky's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlChn09.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Purple,Red,For sale,No,1x1
10681,Bella's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlMus02.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Purple,White,For sale,No,1x1
10400,Benedict's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlChn01.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Red,Green,For sale,No,1x1
10695,Benjamin's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlDog16.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Yellow,Green,For sale,No,1x1
10322,Bertha's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlHip03.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Pink,Green,For sale,No,1x1
10403,Bettina's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlMus15.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Orange,Blue,For sale,No,1x1
10393,Bianca's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlTig06.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Light blue,Blue,For sale,No,1x1
10682,Biff's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlHip04.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Red,Black,For sale,No,1x1
10426,Big Top's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlElp02.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Green,Yellow,For sale,No,1x1
10653,Bill's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlDuk00.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Brown,Yellow,For sale,No,1x1
10620,Billy's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlGoa02.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Brown,Green,For sale,No,1x1
10496,Biskit's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlDog03.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Orange,Purple,For sale,No,1x1
10622,Bitty's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlHip05.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Pink,Red,For sale,No,1x1
10369,Blaire's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlSqu01.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Black,Brown,For sale,No,1x1
10343,Blanca's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcSpMka.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting to Photopia with an amiibo ",White,Light blue,For sale,No,1x1
10478,Blanche's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlOst08.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",White,Pink,For sale,No,1x1
10324,Blathers's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcSpOwl.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Brown,Beige,For sale,No,1x1
10652,Bluebear's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlCbr00.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Light blue,Purple,For sale,No,1x1
10797,Bob's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlCat00.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Purple,Light blue,For sale,No,1x1
10666,Bonbon's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlRbt17.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Brown,Red,For sale,No,1x1
10548,Bones's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlDog04.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Beige,Pink,For sale,No,1x1
10336,Booker's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcSpDgb.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting to Photopia with an amiibo ",Orange,Blue,For sale,No,1x1
10506,Boomer's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlPgn10.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Black,Blue,For sale,No,1x1
10534,Boone's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlGor02.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Brown,White,For sale,No,1x1
10634,Boots's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlCrd02.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Green,Blue,For sale,No,1x1
10613,Boris's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlPig09.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Blue,Red,For sale,No,1x1
10621,Boyd's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlGor05.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Red,Blue,For sale,No,1x1
10486,Bree's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlMus03.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Green,Pink,For sale,No,1x1
10516,Brewster's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcSpPge.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting to Photopia with an amiibo ",Green,Black,For sale,No,1x1
10378,Broccolo's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlMus12.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Light blue,Colorful,For sale,No,1x1
10535,Broffina's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlChn12.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Orange,Black,For sale,No,1x1
10594,Bruce's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlDer03.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Gray,Orange,For sale,No,1x1
10447,Bubbles's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlHip02.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Orange,Purple,For sale,No,1x1
10485,Buck's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlHrs00.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Green,Brown,For sale,No,1x1
10398,Bud's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlLon00.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Brown,Light blue,For sale,No,1x1
10316,Bunnie's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlRbt00.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Red,Beige,For sale,No,1x1
10385,Butch's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlDog01.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Brown,Green,For sale,No,1x1
10648,Buzz's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlPbr03.png,1000,250,Nook's Shopping - Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",Brown,Light blue,For sale,No,1x1
