nameKor,﻿Internal ID,Name,Storage Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Closet Image,Seasonal Availability,Style,Label Themes,Variation,Villager Equippable,Miles Price
앤티크 부츠,5523,antique boots,https://acnhcdn.com/latest/FtrIcon/ShoesKneeAntique0.png,2640,660,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,갈색,갈색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeAntique0.png,일 년 내내,심플한,데일리#메르헨,Brown,No,NA
앤티크 부츠,11689,antique boots,https://acnhcdn.com/latest/FtrIcon/ShoesKneeAntique1.png,2640,660,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,검정색,검정색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeAntique1.png,일 년 내내,심플한,데일리#메르헨,Black,No,NA
앤티크 부츠,11690,antique boots,https://acnhcdn.com/latest/FtrIcon/ShoesKneeAntique2.png,2640,660,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,베이지색,베이지색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeAntique2.png,일 년 내내,심플한,데일리#메르헨,Greige,No,NA
아이언 아머 슈즈,5472,armor shoes,https://acnhcdn.com/latest/FtrIcon/ShoesKneeKnightIron.png,NFS,3000,제작,,회색,회색,비매품,Yes,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeKnightIron.png,일 년 내내,쿨한,메르헨#호러,Gray,No,NA
바부슈,6043,babouches,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush0.png,560,140,패트릭,,하늘색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush0.png,일 년 내내,귀여운,릴렉스#바캉스,Blue,No,NA
바부슈,10109,babouches,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush1.png,560,140,패트릭,,주황색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush1.png,일 년 내내,귀여운,릴렉스#바캉스,Orange,No,NA
바부슈,10110,babouches,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush2.png,560,140,패트릭,,분홍색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush2.png,일 년 내내,귀여운,릴렉스#바캉스,Pink,No,NA
바부슈,10111,babouches,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush3.png,560,140,패트릭,,노란색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush3.png,일 년 내내,귀여운,릴렉스#바캉스,Yellow,No,NA
바부슈,10112,babouches,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush4.png,560,140,패트릭,,회색,노란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush4.png,일 년 내내,귀여운,릴렉스#바캉스,Gray,No,NA
바부슈,10113,babouches,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush5.png,560,140,패트릭,,보라색,노란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush5.png,일 년 내내,귀여운,릴렉스#바캉스,Purple,No,NA
바부슈,10114,babouches,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush6.png,560,140,패트릭,,초록색,노란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush6.png,일 년 내내,귀여운,릴렉스#바캉스,Mint,No,NA
바부슈,10115,babouches,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush7.png,560,140,패트릭,,빨간색,노란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush7.png,일 년 내내,귀여운,릴렉스#바캉스,Red,No,NA
발레 슈즈,5608,ballet slippers,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet0.png,2200,550,패트릭,,분홍색,분홍색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet0.png,일 년 내내,우아한,메르헨#스포츠#스테이지#비즈니스,Pink,No,NA
발레 슈즈,10155,ballet slippers,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet1.png,2200,550,패트릭,,하늘색,하늘색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet1.png,일 년 내내,우아한,메르헨#스포츠#스테이지#비즈니스,Mint,No,NA
발레 슈즈,10156,ballet slippers,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet2.png,2200,550,패트릭,,파란색,파란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet2.png,일 년 내내,우아한,메르헨#스포츠#스테이지#비즈니스,Blue,No,NA
발레 슈즈,10157,ballet slippers,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet3.png,2200,550,패트릭,,보라색,보라색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet3.png,일 년 내내,우아한,메르헨#스포츠#스테이지#비즈니스,Purple,No,NA
발레 슈즈,10158,ballet slippers,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet4.png,2200,550,패트릭,,검정색,검정색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet4.png,일 년 내내,우아한,메르헨#스포츠#스테이지#비즈니스,Black,No,NA
발레 슈즈,10159,ballet slippers,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet5.png,2200,550,패트릭,,베이지색,베이지색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet5.png,일 년 내내,우아한,메르헨#스포츠#스테이지#비즈니스,White,No,NA
발레 슈즈,10160,ballet slippers,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet6.png,2200,550,패트릭,,노란색,노란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet6.png,일 년 내내,우아한,메르헨#스포츠#스테이지#비즈니스,Yellow,No,NA
발레 슈즈,10161,ballet slippers,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet7.png,2200,550,패트릭,,주황색,주황색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet7.png,일 년 내내,우아한,메르헨#스포츠#스테이지#비즈니스,Red,No,NA
