nameKor	Internal ID	Name	Storage Image	Buy	Sell	Source	Source Notes	Color 1	Color 2	Catalog	DIY	Size	Closet Image	Seasonal Availability	Style	Label Themes	Variation	Villager Equippable	Miles Price
도토리 미니백	7492	acorn pochette	https://acnhcdn.com/latest/FtrIcon/BagShoulderAcorn0.png	NFS	2400	제작		갈색	초록색	비매품	Yes	1x1	https://acnhcdn.com/latest/ClosetIcon/BagShoulderAcorn0.png	일 년 내내	귀여운	메르헨	Brown	No	
바구니 가방	7506	basket pack	https://acnhcdn.com/latest/FtrIcon/BagBackpackBasket0.png	NFS	2400	제작		초록색	초록색	비매품	Yes	1x1	https://acnhcdn.com/latest/ClosetIcon/BagBackpackBasket0.png	일 년 내내	심플한	아웃도어;비즈니스	Green	No	
채집통	7479	bug cage	https://acnhcdn.com/latest/FtrIcon/BagShoulderCage0.png	NFS	122	곤충채집대회		초록색	하얀색	비매품	No	1x1	https://acnhcdn.com/latest/ClosetIcon/BagShoulderCage0.png	일 년 내내	활동적인	아웃도어;바캉스	Green	No	
이스터 가방	12447	Bunny Day bag	https://acnhcdn.com/latest/FtrIcon/BagBackpackEgg0.png	NFS	2400	제작		컬러풀	컬러풀	비매품	Yes	1x1	https://acnhcdn.com/latest/ClosetIcon/BagBackpackEgg0.png	일 년 내내	활동적인	메르헨;파티;스테이지	None	No	
나비 가방	7502	butterfly backpack	https://acnhcdn.com/latest/FtrIcon/BagBackpackButterfly0.png	NFS	210	곤충채집대회		분홍색	노란색	비매품	No	1x1	https://acnhcdn.com/latest/ClosetIcon/BagBackpackButterfly0.png	일 년 내내	귀여운	데일리;포멀;파티	Pink	No	
옥스퍼드 배낭	7509	canvas backpack	https://acnhcdn.com/latest/FtrIcon/BagBackpackTote0.png	1300	325	패트릭		하얀색	주황색	구매가능	No	1x1	https://acnhcdn.com/latest/ClosetIcon/BagBackpackTote0.png	일 년 내내	심플한	데일리	White	No	
벚꽃 미니백	7490	cherry-blossom pochette	https://acnhcdn.com/latest/FtrIcon/BagShoulderCherryblossoms0.png	NFS	2400	제작		분홍색	분홍색	비매품	Yes	1x1	https://acnhcdn.com/latest/ClosetIcon/BagShoulderCherryblossoms0.png	일 년 내내	귀여운	메르헨	Pink	No	
옥스퍼드 숄더백	7487	cloth shoulder bag	https://acnhcdn.com/latest/FtrIcon/BagShoulderCanvas0.png	1400	350	패트릭		하늘색	하늘색	구매가능	No	1x1	https://acnhcdn.com/latest/ClosetIcon/BagShoulderCanvas0.png	일 년 내내	심플한	데일리	Blue	No	
옥스퍼드 숄더백	12013	cloth shoulder bag	https://acnhcdn.com/latest/FtrIcon/BagShoulderCanvas1.png	1400	350	패트릭		주황색	주황색	구매가능	No	1x1	https://acnhcdn.com/latest/ClosetIcon/BagShoulderCanvas1.png	일 년 내내	심플한	데일리	Orange	No	
옥스퍼드 숄더백	12014	cloth shoulder bag	https://acnhcdn.com/latest/FtrIcon/BagShoulderCanvas2.png	1400	350	패트릭		하얀색	하얀색	구매가능	No	1x1	https://acnhcdn.com/latest/ClosetIcon/BagShoulderCanvas2.png	일 년 내내	심플한	데일리	Ivory	No	
슬링백	7483	crossbody bag	https://acnhcdn.com/latest/FtrIcon/BagBackpackBody0.png	700	175	패트릭		분홍색	검정색	구매가능	No	1x1	https://acnhcdn.com/latest/ClosetIcon/BagBackpackBody0.png	일 년 내내	활동적인	데일리;아웃도어;스포츠	Pink	No	
