nameKor	Internal ID	Name	Image	Buy	Sell	Source	Source Notes	Color 1	Color 2	Catalog	DIY	Size	Variant ID	Variation	Body Title	Pattern	Pattern Title	Kit Cost	Body Customize	Pattern Customize	Door Deco	Outdoor
에어컨	929	air conditioner	https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_0_0.png	63000	15750	너굴 상점	증축 후 너굴상점의 세 번째 가구 영역	하얀색	하얀색	구매가능	No	2x1 	0_0	White					No	No	No	No
에어컨	929	air conditioner	https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_1_0.png	63000	15750	너굴 상점	증축 후 너굴상점의 세 번째 가구 영역	회색	회색	구매가능	No	2x1 	1_0	Gray					No	No	No	No
에어컨	929	air conditioner	https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_2_0.png	63000	15750	너굴 상점	증축 후 너굴상점의 세 번째 가구 영역	검정색	검정색	구매가능	No	2x1 	2_0	Black					No	No	No	No
에어컨	929	air conditioner	https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_3_0.png	63000	15750	너굴 상점	증축 후 너굴상점의 세 번째 가구 영역	분홍색	분홍색	구매가능	No	2x1 	3_0	Pink					No	No	No	No
에어컨	929	air conditioner	https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_4_0.png	63000	15750	너굴 상점	증축 후 너굴상점의 세 번째 가구 영역	하늘색	하늘색	구매가능	No	2x1 	4_0	Blue					No	No	No	No
에어컨	929	air conditioner	https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_5_0.png	63000	15750	너굴 상점	증축 후 너굴상점의 세 번째 가구 영역	갈색	갈색	구매가능	No	2x1 	5_0	Brown					No	No	No	No
앤티크 전화기	3953	antique phone	https://acnhcdn.com/latest/FtrIcon/FtrAntiquePhoneW_Remake_0_0.png	16000	4000	너굴 상점	증축 후 너굴상점의 세 번째 가구 영역	갈색	노란색	구매가능	No	1x1 	0_0	Brown					No	No	No	No
앤티크 전화기	3953	antique phone	https://acnhcdn.com/latest/FtrIcon/FtrAntiquePhoneW_Remake_1_0.png	16000	4000	너굴 상점	증축 후 너굴상점의 세 번째 가구 영역	베이지색	노란색	구매가능	No	1x1 	1_0	Natural					No	No	No	No
앤티크 전화기	3953	antique phone	https://acnhcdn.com/latest/FtrIcon/FtrAntiquePhoneW_Remake_2_0.png	16000	4000	너굴 상점	증축 후 너굴상점의 세 번째 가구 영역	검정색	노란색	구매가능	No	1x1 	2_0	Black					No	No	No	No
두꺼운 종이	1899	autograph cards	https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_0_0.png	1400	350	너굴 상점	증축 후 너굴상점의 일반 가구 영역	하얀색	하얀색	구매가능	No	2x1 	0_0	Signature		Musician's signature	Signature	1	No	Yes	No	No
두꺼운 종이	1899	autograph cards	https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_0_1.png	1400	350	너굴 상점	증축 후 너굴상점의 일반 가구 영역	하얀색	하얀색	구매가능	No	2x1 	0_1	Signature		Comedian's signature	Signature	1	No	Yes	No	No
두꺼운 종이	1899	autograph cards	https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_1_0.png	1400	350	너굴 상점	증축 후 너굴상점의 일반 가구 영역	베이지색	하얀색	구매가능	No	2x1 	1_0	Handprints		Musician's signature	Signature	1	No	Yes	No	No
