nameKor	Internal ID	Name	Image	Buy	Sell	Source	Source Notes	Color 1	Color 2	Catalog	DIY	Size	Variant ID	Variation	Body Title	Pattern	Pattern Title	Kit Cost	Customize
일섭의 사진	6626	Admiral's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlBrd06_Remake_0_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	0_0	Natural wood	Frame			1	Yes
일섭의 사진	6626	Admiral's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlBrd06_Remake_1_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	1_0	Dark wood	Frame			1	Yes
일섭의 사진	6626	Admiral's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlBrd06_Remake_2_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	2_0	Pastel	Frame			1	Yes
일섭의 사진	6626	Admiral's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlBrd06_Remake_3_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	3_0	White	Frame			1	Yes
일섭의 사진	6626	Admiral's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlBrd06_Remake_4_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	4_0	Pop	Frame			1	Yes
일섭의 사진	6626	Admiral's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlBrd06_Remake_5_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	5_0	Colorful	Frame			1	Yes
일섭의 사진	6626	Admiral's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlBrd06_Remake_6_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	6_0	Silver	Frame			1	Yes
일섭의 사진	6626	Admiral's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlBrd06_Remake_7_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	7_0	Gold	Frame			1	Yes
2호의 사진	6709	Agent S's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlSqu05_Remake_0_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	0_0	Natural wood	Frame			1	Yes
2호의 사진	6709	Agent S's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlSqu05_Remake_1_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	1_0	Dark wood	Frame			1	Yes
2호의 사진	6709	Agent S's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlSqu05_Remake_2_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	2_0	Pastel	Frame			1	Yes
2호의 사진	6709	Agent S's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlSqu05_Remake_3_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	3_0	White	Frame			1	Yes
2호의 사진	6709	Agent S's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlSqu05_Remake_4_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	4_0	Pop	Frame			1	Yes
2호의 사진	6709	Agent S's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlSqu05_Remake_5_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	5_0	Colorful	Frame			1	Yes
2호의 사진	6709	Agent S's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlSqu05_Remake_6_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	6_0	Silver	Frame			1	Yes
2호의 사진	6709	Agent S's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlSqu05_Remake_7_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	7_0	Gold	Frame			1	Yes
아그네스의 사진	6661	Agnes's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlPig17_Remake_0_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	0_0	Natural wood	Frame			1	Yes
아그네스의 사진	6661	Agnes's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlPig17_Remake_1_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	1_0	Dark wood	Frame			1	Yes
아그네스의 사진	6661	Agnes's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlPig17_Remake_2_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	2_0	Pastel	Frame			1	Yes
아그네스의 사진	6661	Agnes's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlPig17_Remake_3_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	3_0	White	Frame			1	Yes
아그네스의 사진	6661	Agnes's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlPig17_Remake_4_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	4_0	Pop	Frame			1	Yes
아그네스의 사진	6661	Agnes's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlPig17_Remake_5_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	5_0	Colorful	Frame			1	Yes
아그네스의 사진	6661	Agnes's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlPig17_Remake_6_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	6_0	Silver	Frame			1	Yes
아그네스의 사진	6661	Agnes's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlPig17_Remake_7_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	7_0	Gold	Frame			1	Yes
우락의 사진	6518	Al's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlGor08_Remake_0_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	0_0	Natural wood	Frame			1	Yes
우락의 사진	6518	Al's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlGor08_Remake_1_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	1_0	Dark wood	Frame			1	Yes
우락의 사진	6518	Al's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlGor08_Remake_2_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	2_0	Pastel	Frame			1	Yes
우락의 사진	6518	Al's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlGor08_Remake_3_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	3_0	White	Frame			1	Yes
우락의 사진	6518	Al's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlGor08_Remake_4_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	4_0	Pop	Frame			1	Yes
우락의 사진	6518	Al's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlGor08_Remake_5_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	5_0	Colorful	Frame			1	Yes
우락의 사진	6518	Al's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlGor08_Remake_6_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	6_0	Silver	Frame			1	Yes
우락의 사진	6518	Al's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlGor08_Remake_7_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	7_0	Gold	Frame			1	Yes
알베르트의 사진	6800	Alfonso's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlCrd00_Remake_0_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	0_0	Natural wood	Frame			1	Yes
알베르트의 사진	6800	Alfonso's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlCrd00_Remake_1_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	1_0	Dark wood	Frame			1	Yes
알베르트의 사진	6800	Alfonso's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlCrd00_Remake_2_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	2_0	Pastel	Frame			1	Yes
알베르트의 사진	6800	Alfonso's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlCrd00_Remake_3_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	3_0	White	Frame			1	Yes
알베르트의 사진	6800	Alfonso's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlCrd00_Remake_4_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	4_0	Pop	Frame			1	Yes
알베르트의 사진	6800	Alfonso's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlCrd00_Remake_5_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	5_0	Colorful	Frame			1	Yes
알베르트의 사진	6800	Alfonso's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlCrd00_Remake_6_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	6_0	Silver	Frame			1	Yes
알베르트의 사진	6800	Alfonso's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlCrd00_Remake_7_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	7_0	Gold	Frame			1	Yes
멜버른의 사진	6555	Alice's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlKal01_Remake_0_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	0_0	Natural wood	Frame			1	Yes
멜버른의 사진	6555	Alice's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlKal01_Remake_1_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	1_0	Dark wood	Frame			1	Yes
멜버른의 사진	6555	Alice's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlKal01_Remake_2_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	2_0	Pastel	Frame			1	Yes
멜버른의 사진	6555	Alice's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlKal01_Remake_3_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	3_0	White	Frame			1	Yes
멜버른의 사진	6555	Alice's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlKal01_Remake_4_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	4_0	Pop	Frame			1	Yes
멜버른의 사진	6555	Alice's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlKal01_Remake_5_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	5_0	Colorful	Frame			1	Yes
멜버른의 사진	6555	Alice's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlKal01_Remake_6_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	6_0	Silver	Frame			1	Yes
멜버른의 사진	6555	Alice's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlKal01_Remake_7_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	7_0	Gold	Frame			1	Yes
크로크의 사진	6801	Alli's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlCrd01_Remake_0_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	0_0	Natural wood	Frame			1	Yes
크로크의 사진	6801	Alli's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlCrd01_Remake_1_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	1_0	Dark wood	Frame			1	Yes
크로크의 사진	6801	Alli's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlCrd01_Remake_2_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	2_0	Pastel	Frame			1	Yes
크로크의 사진	6801	Alli's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlCrd01_Remake_3_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	3_0	White	Frame			1	Yes
크로크의 사진	6801	Alli's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlCrd01_Remake_4_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	4_0	Pop	Frame			1	Yes
크로크의 사진	6801	Alli's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlCrd01_Remake_5_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	5_0	Colorful	Frame			1	Yes
크로크의 사진	6801	Alli's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlCrd01_Remake_6_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	6_0	Silver	Frame			1	Yes
크로크의 사진	6801	Alli's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlCrd01_Remake_7_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	7_0	Gold	Frame			1	Yes
안데스의 사진	6621	Amelia's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlPbr01_Remake_0_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	0_0	Natural wood	Frame			1	Yes
안데스의 사진	6621	Amelia's photo	https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlPbr01_Remake_1_0.png	null	10	주민 친밀도 최대일 때				카탈로그 내 없음	No	1x1	1_0	Dark wood	Frame			1	Yes
