index,nameKor,nameJpn,nameEng,gender,birth,personality,species,phraseKor,phraseEng,coffeeBean,milkAmount,sugarCount,hobby,likeMusic,likeStyles,likeColors,wallPaper,floor,funitures,amiiboCardUrl,detailUrl,exteriorUrl,interiorUrl,iconUrl,posterUrl
18,히죽,ニコバン,Bob,m,01월 01일,먹보,고양이,고양이,pthhhpth,킬리만자로,없음,0,Play,토마토 스파게티,Simple#Cute,Colorful#Red,파란 놀이방 벽지,컬러풀 퍼즐 바닥,3205;1557;2558;1565;1558;1559;1561;3206;3623;3208,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Famiibo_card%2Famiibo_card_018.png?alt=media&token=72171ba3-a325-49a4-8fdf-e25dc8821930,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fdetail%2Fvillager_detail_018_bob.png?alt=media&token=c5d23ce7-c0e9-482e-9311-f5e4176b4756,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fexterior%2Fvillager_exterior_018_Bob.png?alt=media&token=c08c4d09-cc15-496d-b9b3-91c7c71abbba,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Finterior%2Fvillager_interior_018_Bob.png?alt=media&token=488c916d-b193-4a19-8503-dc1b2d1cdf37,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Ficon%2Fic_villager_018.png?alt=media&token=4db41dde-4628-4041-8b32-41b5c4d40f9f,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fposter%2Fvillager_poster_018_Bob.png?alt=media&token=a00f0b29-29ad-47d6-bf3f-b281a1f56376
19,솔미,ドレミ,Fauna,f,03월 26일,친절함,사슴,파샵파샵,dearie,모카,듬뿍,3,Nature,산책,Simple#Cute,Beige#White,빨간 벽돌 벽,민트 도트 카펫 바닥,1557;1558;928;3251;2558;1561;4338;1565;9766;3618;915;4445;6078;5543;870,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Famiibo_card%2Famiibo_card_019.png?alt=media&token=b2696ca2-c4ac-48d5-b2df-ad2eda64a5d7,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fdetail%2Fvillager_detail_019_fauna.png?alt=media&token=9c128b6b-ba8a-40f0-aa93-287babc382a4,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fexterior%2Fvillager_exterior_019_Fauna.png?alt=media&token=b9950f8b-16c3-4744-9609-f58fc7c73f1d,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Finterior%2Fvillager_interior_019_Fauna.png?alt=media&token=e4f9c251-2f68-4266-b4b1-bdd824a195b2,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Ficon%2Fic_villager_019.png?alt=media&token=54954f6c-a296-4f77-9322-accbd5be0ee3,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fposter%2Fvillager_poster_019_Fauna.png?alt=media&token=70219fda-05b7-4990-8ad3-bd4051c4deda
20,뚝심,ガンテツ,Curt,m,07월 01일,무뚝뚝,곰,음,fuzzball,모카,없음,0,Nature,추억의 K.K.가요,Cool#Cool,Blue#White,공터 벽,공터 바닥,787;1433;1434;4393;4094;7163;3229;3819;1429;3672;889,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Famiibo_card%2Famiibo_card_020.png?alt=media&token=5c4b1ce0-6d0e-4cd5-a789-8c92731824dc,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fdetail%2Fvillager_detail_020_curt.png?alt=media&token=661f4ed9-3dc9-4488-a2de-73482eabf190,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fexterior%2Fvillager_exterior_020_Curt.png?alt=media&token=b16f0f84-61d0-4796-9506-cf5fa44b97cd,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Finterior%2Fvillager_interior_020_Curt.png?alt=media&token=9f0f8374-5592-4a66-9536-a1dad721d6f6,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Ficon%2Fic_villager_020.png?alt=media&token=d14f8c6b-b6f3-4d9b-9108-7e3a12bb444f,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fposter%2Fvillager_poster_020_Curt.png?alt=media&token=99ccd20b-a67e-4279-8646-7e92396ee8bc
21,블랜더,ブレンダ,Portia,f,10월 25일,성숙함,강아지,흥,ruffian,모카,적당히,2,Fashion,K.K.디스코,Elegant#Gorgeous,Purple#Black,블루 모로칸 타일 벽,로즈우드 바닥,1227;7235;4109;3955;4027;4030;3271;4019;3993;998;1050;928;3560;954;4338,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Famiibo_card%2Famiibo_card_021.png?alt=media&token=61fb75a7-c036-4f9c-970b-7e7829cd7060,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fdetail%2Fvillager_detail_021_portia.png?alt=media&token=7038db88-ffe6-461d-a791-411c77d0e303,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fexterior%2Fvillager_exterior_021_Portia.png?alt=media&token=38fd1092-44cc-4851-b4bf-b2fd64be4464,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Finterior%2Fvillager_interior_021_Portia.png?alt=media&token=4a63c735-2872-4e7f-ace8-33b395486b47,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Ficon%2Fic_villager_021.png?alt=media&token=58d842ba-2847-4762-8bc9-f532af1e8f86,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fposter%2Fvillager_poster_021_Portia.png?alt=media&token=45e75b9f-ec8e-4e61-9e37-3f4d176c7f01
22,범호,ヒョウタ,Leonardo,m,05월 15일,운동광,호랑이,어흥,flexin,모카,살짝,1,Fitness,K.K.메탈,Active#Gorgeous,Red#Blue,해골 벽지,표범 무늬 바닥,8096;4441;4138;3943;3200;7525;1644;950;7257;7528;3672;4687;1850;796,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Famiibo_card%2Famiibo_card_022.png?alt=media&token=13538b47-7e1b-4700-b465-d38195cf900a,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fdetail%2Fvillager_detail_022_leonardo.png?alt=media&token=d15795d2-c82f-4c01-8e5e-7dc32d7b5245,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fexterior%2Fvillager_exterior_022_Leonardo.png?alt=media&token=8e3f01c0-d60b-4ca9-ab8a-a5a15a4cc5b1,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Finterior%2Fvillager_interior_022_Leonardo.png?alt=media&token=5128ac45-f862-4430-9b61-28efc8446efa,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Ficon%2Fic_villager_022.png?alt=media&token=085b40e5-1883-4ca9-a50a-fd3887a35f87,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fposter%2Fvillager_poster_022_Leonardo.png?alt=media&token=f1c48f11-455b-4f90-bb90-9b73286f690f
23,아세로라,アセロラ,Cheri,f,03월 17일,아이돌,아기곰,어쩜이래,tralala,모카,듬뿍,3,Fashion,K.K.디스코,Simple#Cute,Yellow#Light blue,레드 도트 벽지,하얀 심플 카펫 바닥,4125;3251;4132;2554;1757;928;4017;4030;7380;3624;3560;2776;4000;7380;3993;3672;4003;9766;1125,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Famiibo_card%2Famiibo_card_023.png?alt=media&token=2379356d-4292-420f-ae20-98258048681f,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fdetail%2Fvillager_detail_023_cheri.png?alt=media&token=b72d4efb-723a-4fc9-a99f-6598e6ad2342,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fexterior%2Fvillager_exterior_023_Cheri.png?alt=media&token=3478e5fe-c259-4e7b-a9c8-bab2a706d375,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Finterior%2Fvillager_interior_023_Cheri.png?alt=media&token=a0a928f8-0818-4291-9a40-f10aed7d439a,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Ficon%2Fic_villager_023.png?alt=media&token=084ca57a-36b7-4d2b-881b-6b9bea011127,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fposter%2Fvillager_poster_023_Cheri.png?alt=media&token=4496d8a6-301f-44df-b1f8-0d9cd47e7a74
24,리카르도,リカルド,Kyle,m,12월 06일,느끼함,늑대,오우예,alpha,블루마운틴,적당히,2,Music,K.K.메탈,Gorgeous#Cool,Black#White,그레이 강판 벽,철판 바닥,1875;3681;1803;950;4338;9503;1645;1412;849;7161,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Famiibo_card%2Famiibo_card_024.png?alt=media&token=92b5c0f3-e4c4-4076-bf31-d6d49d847c42,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fdetail%2Fvillager_detail_024_kyle.png?alt=media&token=1210426d-1ebb-4233-891c-54e1e70ec7fc,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fexterior%2Fvillager_exterior_024_Kyle.png?alt=media&token=4335b482-7b24-42d4-ae70-bcfd0323af23,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Finterior%2Fvillager_interior_024_Kyle.png?alt=media&token=4c724fa3-1b20-4554-bcdc-431aa2e8242e,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Ficon%2Fic_villager_024.png?alt=media&token=a09b0fa5-4dc4-4b8e-83bd-2297d764bb82,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fposter%2Fvillager_poster_024_Kyle.png?alt=media&token=d88e35f5-3358-45a4-a22a-0c8d01e22f46
25,우락,たもつ,Al,m,10월 18일,먹보,고릴라,부락,Ayyeeee,모카,듬뿍,3,Fitness,가자! K.K.라이더,Active#Active,Red#White,콘크리트 벽,그린 고무 바닥,1452;4078;4013;833;4116;3697;7845;3307;3946;3960;7800,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Famiibo_card%2Famiibo_card_025.png?alt=media&token=ae029bc8-12f2-43c9-b805-a3447a12db19,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fdetail%2Fvillager_detail_025_al.png?alt=media&token=948fcdc4-8854-446a-8f7c-3b9e8082bc41,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fexterior%2Fvillager_exterior_025_Al.png?alt=media&token=8ab65369-f8b8-4544-9651-6a0e5c1a8235,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Finterior%2Fvillager_interior_025_Al.png?alt=media&token=d6f840be-b5db-4112-930e-945b47f5382b,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Ficon%2Fic_villager_025.png?alt=media&token=7b847866-cd8d-4d5f-a5a3-956edf17e418,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fposter%2Fvillager_poster_025_Al.png?alt=media&token=a2365109-6076-48ce-84cb-3ef61462cf79
26,뿔님이,おさい,Renée,f,05월 28일,단순활발,코뿔소,킁킁,yo yo yo,킬리만자로,적당히,2,Music,일렉트릭 뮤직,Cool#Active,Purple#Yellow,해골 벽지,호랑이 카펫 바닥,4141;941;4143;4142;3621;4144;1241,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Famiibo_card%2Famiibo_card_026.png?alt=media&token=a0d2ce3b-ad4e-47cd-88d6-673dbd70207b,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fdetail%2Fvillager_detail_026_ren%C3%A9e.png?alt=media&token=b03707e2-15e3-432e-8f84-678b09cdba1c,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fexterior%2Fvillager_exterior_026_Ren%C3%A9e.png?alt=media&token=8ae13c90-403d-4510-b709-da5650e6e051,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Finterior%2Fvillager_interior_026_Ren%C3%A9e.png?alt=media&token=9e79a17e-0407-4886-a71d-ef64a77dead9,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Ficon%2Fic_villager_026.png?alt=media&token=57f084e5-6e82-409d-ac96-8e071d3b1c70,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fposter%2Fvillager_poster_026_Ren%C3%A9e.png?alt=media&token=586d5a72-f9fc-48b0-8aa5-db44802054cf
27,톰슨,トムソン,Lopez,m,08월 20일,느끼함,사슴,엣헴,buckaroo,블렌드,살짝,1,Education,K.K.재즈,Gorgeous#Gorgeous,Gray#Gray,믹스우드 벽,믹스우드 바닥,4117;2713;3200;1103;3270;3951;4338;3275;3340;3195;954;3271;1043;3993;7334;704,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Famiibo_card%2Famiibo_card_027.png?alt=media&token=0535ae7c-36a2-446f-b765-b33318ab2833,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fdetail%2Fvillager_detail_027_lopez.png?alt=media&token=8af49904-0036-4b55-8743-52b8faba1278,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fexterior%2Fvillager_exterior_027_Lopez.png?alt=media&token=9304e0bb-5c6f-47fd-b9a2-bcb73e399712,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Finterior%2Fvillager_interior_027_Lopez.png?alt=media&token=c9abe7d8-4bf3-4208-8cdc-b07e38c16831,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Ficon%2Fic_villager_027.png?alt=media&token=bedfefcf-da63-407c-bb4c-e411d02bb725,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fposter%2Fvillager_poster_027_Lopez.png?alt=media&token=56bd4d9f-fd37-4609-a976-53a2e16c0ffd
28,에스메랄다,エスメラルダ,Jambette,f,10월 27일,친절함,개구리,쪼오옥,croak-kay,모카,살짝,1,Fashion,팝K.K.,Cool#Cool,Brown#Brown,보태니컬 타일 벽,로즈우드 바닥,4052;4049;4054;790;4051;4132;4046;7353;1797;4130,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Famiibo_card%2Famiibo_card_028.png?alt=media&token=1973a144-3dd1-40c9-b520-ed70644b59a4,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fdetail%2Fvillager_detail_028_jambette.png?alt=media&token=27b1704e-8e44-417a-969f-aba8b313d3c9,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fexterior%2Fvillager_exterior_028_Jambette.png?alt=media&token=cdc4565f-5c79-4e68-8791-0ee03a707b5e,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Finterior%2Fvillager_interior_028_Jambette.png?alt=media&token=9a376c56-890b-46a8-b4cd-01c6ce626443,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Ficon%2Fic_villager_028.png?alt=media&token=6b73dc4f-43f0-4082-96e4-108ebd1b225b,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fposter%2Fvillager_poster_028_Jambette.png?alt=media&token=54b7646a-3adb-46c2-bb8a-75d74094b670
29,글레이,グレオ,Rasher,m,04월 07일,무뚝뚝,돼지,꾸엑,swine,블루마운틴,살짝,1,Music,K.K.빌리,Cool#Simple,Blue#Black,공터 벽,주차장 바닥,144;4759;1708;2556;146;2553;2592;4113;1631;4687;1189;3819;1567,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Famiibo_card%2Famiibo_card_029.png?alt=media&token=cbf4a7a0-10a6-4c72-929b-b5c946e6fa10,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fdetail%2Fvillager_detail_029_rasher.png?alt=media&token=f1490492-4aa7-44fa-91a6-8f433301f81f,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fexterior%2Fvillager_exterior_029_Rasher.png?alt=media&token=66ab4e14-2e57-44de-8495-2bf974812cba,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Finterior%2Fvillager_interior_029_Rasher.png?alt=media&token=218bdddd-e23f-49f9-9740-e93ca97fa3c3,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Ficon%2Fic_villager_029.png?alt=media&token=2e2b7a3e-9912-4f41-96ec-6cb74a0f173e,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fposter%2Fvillager_poster_029_Rasher.png?alt=media&token=29670bbe-7a6b-452a-9cf4-39a9b6507baf
30,바슬레,バズレー,Tiffany,f,01월 09일,성숙함,토끼,라던데,bun bun,킬리만자로,살짝,1,Fashion,래그타임,Gorgeous#Cool,Black#Red,블랙 왕관 벽지,적흑 데코타일 바닥,863;937;937;1087;2554;791;4143;7348;4139;1087;3428;955;3428,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Famiibo_card%2Famiibo_card_030.png?alt=media&token=b5dc193b-0c6f-434f-8e7a-abd42e5ff7c3,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fdetail%2Fvillager_detail_030_tiffany.png?alt=media&token=450c72e4-72cf-4d20-9e10-43826465fffd,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fexterior%2Fvillager_exterior_030_Tiffany.png?alt=media&token=e1ae4dd3-06ff-4af2-9509-b40de64fef71,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Finterior%2Fvillager_interior_030_Tiffany.png?alt=media&token=2c919a49-bc42-401d-9fa8-8a78cb5c8579,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Ficon%2Fic_villager_030.png?alt=media&token=197468e9-6f5d-4e9d-b0f3-05db012d8b32,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/villager%2Fposter%2Fvillager_poster_030_Tiffany.png?alt=media&token=2c432e12-3109-40f2-affc-061772f58ffe
