nameKor,﻿Internal ID,Name,Storage Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Closet Image,Seasonal Availability,Style,Label Themes,Variation,Villager Equippable,Miles Price
도토리 털모자,5315,acorn knit cap,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn0.png,880,220,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,갈색,갈색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn0.png,일 년 내내,귀여운,데일리#릴랙스,Chestnut,Yes,NA
도토리 털모자,10933,acorn knit cap,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn1.png,880,220,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,노란색,노란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn1.png,일 년 내내,귀여운,데일리#릴랙스,Mustard,Yes,NA
도토리 털모자,10934,acorn knit cap,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn2.png,880,220,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,초록색,초록색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn2.png,일 년 내내,귀여운,데일리#릴랙스,Avocado,Yes,NA
도토리 털모자,10935,acorn knit cap,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn3.png,880,220,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,빨간색,빨간색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn3.png,일 년 내내,귀여운,데일리#릴랙스,Berry red,Yes,NA
도토리 털모자,10936,acorn knit cap,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn4.png,880,220,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,파란색,파란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn4.png,일 년 내내,귀여운,데일리#릴랙스,Navy blue,Yes,NA
도토리 털모자,10937,acorn knit cap,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn5.png,880,220,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,베이지색,베이지색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn5.png,일 년 내내,귀여운,데일리#릴랙스,Cream,Yes,NA
알프스풍 모자,5295,alpinist hat,https://acnhcdn.com/latest/FtrIcon/CapHatTyrolean0.png,NFS,500,죠니,,초록색,초록색,비매품,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatTyrolean0.png,일 년 내내,심플한,데일리#포멀,Green,Yes,NA
알프스풍 모자,11884,alpinist hat,https://acnhcdn.com/latest/FtrIcon/CapHatTyrolean1.png,NFS,500,죠니,,파란색,하늘색,비매품,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatTyrolean1.png,일 년 내내,심플한,데일리#포멀,Blue,Yes,NA
알프스풍 모자,11885,alpinist hat,https://acnhcdn.com/latest/FtrIcon/CapHatTyrolean2.png,NFS,500,죠니,,빨간색,분홍색,비매품,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatTyrolean2.png,일 년 내내,심플한,데일리#포멀,Red,Yes,NA
관모,6048,ancient administrator hat,https://acnhcdn.com/latest/FtrIcon/CapHatKanboBlack.png,NFS,800,죠니,,검정색,검정색,비매품,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatKanboBlack.png,일 년 내내,우아한,포멀#비즈니스,Black,Yes,NA
사과 모자,9871,apple hat,https://acnhcdn.com/latest/FtrIcon/CapHatApple0.png,NFS,1000,제작,,빨간색,노란색,비매품,Yes,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatApple0.png,일 년 내내,귀여운,메르헨#파티#스테이지,Red,Yes,NA
아란 니트 모자,9864,Aran-knit cap,https://acnhcdn.com/latest/FtrIcon/CapHatAlan0.png,880,220,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,하얀색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatAlan0.png,겨울,심플한,데일리#아웃도어#릴랙스,White,Yes,NA
아란 니트 모자,12045,Aran-knit cap,https://acnhcdn.com/latest/FtrIcon/CapHatAlan1.png,880,220,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,빨간색,빨간색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatAlan1.png,겨울,심플한,데일리#아웃도어#릴랙스,Red,Yes,NA
아란 니트 모자,12046,Aran-knit cap,https://acnhcdn.com/latest/FtrIcon/CapHatAlan2.png,880,220,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,파란색,파란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatAlan2.png,겨울,심플한,데일리#아웃도어#릴랙스,Blue,Yes,NA
아란 니트 모자,12047,Aran-knit cap,https://acnhcdn.com/latest/FtrIcon/CapHatAlan3.png,880,220,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,초록색,초록색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatAlan3.png,겨울,심플한,데일리#아웃도어#릴랙스,Green,Yes,NA
아기 모자,5363,baby's hat,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet0.png,560,140,에이블 시스터즈,에이블 시스터즈에만,하늘색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet0.png,일 년 내내,귀여운,릴랙스,Baby mint,No,NA
아기 모자,11853,baby's hat,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet1.png,560,140,에이블 시스터즈,에이블 시스터즈에만,분홍색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet1.png,일 년 내내,귀여운,릴랙스,Baby purple,No,NA
아기 모자,11854,baby's hat,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet2.png,560,140,에이블 시스터즈,에이블 시스터즈에만,노란색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet2.png,일 년 내내,귀여운,릴랙스,Baby yellow,No,NA
