nameKor,﻿Internal ID,Name,Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Miles Price
하늘색 모자이크 타일 바닥,5036,aqua tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTile01.png,900,225,너굴 상점,,하늘색,하늘색,구매가능,No,,NA
아라베스크 바닥,4953,arabesque flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorArabesque00.png,2120,530,너굴 상점,,검정색,회색,구매가능,No,,NA
아치 벽돌 바닥,4998,arched-brick flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorArchBrick00.png,1100,275,너굴 상점,,갈색,갈색,구매가능,No,,NA
아가일 타일 바닥,4994,argyle tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTileWood00.png,1750,437,너굴 상점,,하얀색,베이지색,구매가능,No,,NA
화려한 나무 바닥,5232,artsy parquet flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorParquetArt00.png,1800,450,너굴 상점,,베이지색,베이지색,구매가능,No,,NA
잔디밭 바닥,4979,backyard lawn,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorLawn00.png,NFS,600,제작,,초록색,초록색,비매품,Yes,,NA
대나무 바닥,4964,bamboo flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBamboo00.png,NFS,2400,제작,,초록색,베이지색,비매품,Yes,,NA
지하실 바닥,4797,basement flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBasement00.png,NFS,1500,제작,,회색,회색,비매품,Yes,,NA
베이지 모로칸 타일 바닥,4965,beige desert-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMorocco00.png,2100,525,너굴 상점,,베이지색,하얀색,구매가능,No,,NA
딸기 초콜릿 바닥,5053,berry-chocolates flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorChocolate02.png,3000,750,사하라,,분홍색,분홍색,비매품,No,,NA
가공한 나무 바닥,5032,birch flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBirch00.png,800,200,너굴 상점,,하얀색,하얀색,구매가능,No,,NA
검정 패턴 바닥,5066,black iron-parquet flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorParquetIron02.png,2350,587,너굴 상점,,검정색,하얀색,구매가능,No,,NA
검정 벽돌 바닥,4976,black-brick flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBrick02.png,1040,260,너굴 상점,,검정색,검정색,구매가능,No,,NA
블루 밀리터리 바닥,5016,blue camo flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCamouflage01.png,1320,330,너굴 상점,,파란색,파란색,구매가능,No,,NA
블루 모로칸 타일 바닥,4966,blue desert-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMorocco01.png,2100,525,너굴 상점,,파란색,하얀색,구매가능,No,,NA
블루 도트 카펫 바닥,5028,blue dot flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorDot04.png,800,200,너굴 상점,,파란색,하늘색,구매가능,No,,NA
파란 꽃무늬 마룻바닥,5074,blue floral flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorDecoWood01.png,1520,380,너굴 상점,,파란색,파란색,구매가능,No,,NA
파란 육각 타일 바닥,5040,blue honeycomb tile,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorHoneycomb01.png,1420,355,너굴 상점,,파란색,파란색,구매가능,No,,NA
블루 모자이크 타일 바닥,6846,blue mosaic-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTile03.png,900,225,너굴 상점,,파란색,파란색,구매가능,No,,NA
블루 고무 바닥,4954,blue rubber flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorRubber01.png,850,212,너굴 상점,,파란색,하늘색,구매가능,No,,NA
파란 페인트 마룻바닥,5057,blue-paint flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPaintWood00.png,1040,260,너굴 상점,,하늘색,하얀색,구매가능,No,,NA
레슬링 경기장 바닥,4982,boxing-ring mat,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorWrestling00.png,3000,750,사하라,,파란색,파란색,비매품,No,,NA
브라운 아가일 타일 바닥,5081,brown argyle-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorArgyleTile01.png,1440,360,너굴 상점,,갈색,갈색,구매가능,No,,NA
갈색 꽃무늬 마룻바닥,5075,brown floral flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorDecoWood02.png,1520,380,너굴 상점,,갈색,하얀색,구매가능,No,,NA
갈색 육각 타일 바닥,5038,brown honeycomb tile,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorHoneycomb00.png,1420,355,너굴 상점,,갈색,갈색,구매가능,No,,NA
은색 패턴 바닥,5065,brown iron-parquet flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorParquetIron01.png,2350,587,너굴 상점,,베이지색,베이지색,구매가능,No,,NA
갈색 웨딩 바닥,12433,brown wedding flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMarbleTile01.png,3000,750,웨딩 이벤트,,None,None,비매품,No,,NA
갈색 벽돌 바닥,6849,brown-brick flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBrick03.png,1040,260,너굴 상점,,갈색,갈색,구매가능,No,,NA
이스터 바닥,12423,Bunny Day flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorEaster00.png,NFS,4800,제작,,None,None,비매품,Yes,,NA
밀리터리 바닥,5015,camo flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCamouflage00.png,1320,330,너굴 상점,,검정색,초록색,구매가능,No,,NA
벚꽃 카펫 바닥,7204,cherry-blossom flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSakura00.png,NFS,4400,제작,,분홍색,분홍색,비매품,Yes,,NA
전자 회로 바닥,5082,circuit-board flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorGeek00.png,3000,750,사하라,,초록색,초록색,비매품,No,,NA
구름 위,5267,cloud flooring,https://acnhcdn.com/latest/FtrIcon/RoomSpFloorCloud00.png,3000,750,사하라,,하얀색,하얀색,비매품,No,,NA
단풍 바닥,4990,colored-leaves flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorAutumun00.png,NFS,4300,제작,,주황색,주황색,비매품,Yes,,NA
컬러풀 모자이크 타일 바닥,5037,colorful mosaic-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTile02.png,900,225,너굴 상점,,컬러풀,하얀색,구매가능,No,,NA
컬러풀 퍼즐 바닥,4957,colorful puzzle flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPuzzleMat01.png,1450,362,너굴 상점,,컬러풀,컬러풀,구매가능,No,,NA
컬러풀 패널 카펫 바닥,5068,colorful tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPanel01.png,1620,405,너굴 상점,,컬러풀,컬러풀,구매가능,No,,NA
평범한 바닥,5018,common flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCommon00.png,720,180,너굴 상점,,갈색,갈색,구매가능,No,,NA
콘크리트 바닥,4951,concrete flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorConcrete00.png,820,205,너굴 상점,,회색,회색,구매가능,No,,NA
공사 현장 바닥,5235,construction-site flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorConstruction00.png,3000,750,사하라,,갈색,하얀색,비매품,No,,NA
쿨 데코타일 바닥,6844,cool vinyl flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTileChecker03.png,1150,287,너굴 상점,,파란색,회색,구매가능,No,,NA
쿨 페인트 마룻바닥,5071,cool-paint flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorColorfulWood01.png,2200,550,너굴 상점,,컬러풀,컬러풀,구매가능,No,,NA
코르크 바닥,4969,cork flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCork00.png,1500,375,너굴 상점,,베이지색,베이지색,구매가능,No,,NA
미스터리 서클 바닥,5243,crop-circles flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCropCircles00.png,3000,750,사하라,,초록색,초록색,비매품,No,,NA
횡단보도 바닥,5007,crosswalk flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSidewalk00.png,3000,750,사하라,,베이지색,검정색,비매품,No,,NA
정육면체 나무 바닥,4987,cubic parquet flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorHoneycombWood00.png,1500,375,너굴 상점,,주황색,주황색,구매가능,No,,NA
