nameKor,﻿Internal ID,Name,Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Miles Price
추상적인 벽지,4873,abstract wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallAbstract00.png,1560,390,너굴 상점,,하얀색,컬러풀,구매가능,No,,NA
이집트풍 벽,4936,ancient wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallEgypt00.png,3000,750,사하라,,베이지색,갈색,비매품,No,,NA
사과 벽지,4916,apple wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallApple00.png,NFS,4000,제작,,빨간색,빨간색,비매품,Yes,,NA
하늘색 타일 벽,4930,aqua tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTile01.png,1420,355,너굴 상점,,하늘색,하늘색,구매가능,No,,NA
예쁜 창문 벽,5482,arched-window wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallGlass00.png,2150,537,너굴 상점,,갈색,하늘색,구매가능,No,,NA
단풍 벽,4905,autumn wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallAutumun00.png,NFS,4700,제작,,갈색,주황색,비매품,Yes,,NA
뒷마당 벽,5481,backyard-fence wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallBackyard00.png,3000,750,사하라,,하늘색,하얀색,비매품,No,,NA
대나무 벽,4833,bamboo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBamboo00.png,NFS,2400,제작,,초록색,베이지색,비매품,Yes,,NA
대나무 숲 벽,4853,bamboo-grove wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallChikurin00.png,NFS,4300,제작,,초록색,초록색,비매품,Yes,,NA
나무 발 벽,4836,bamboo-screen wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRattan00.png,1770,442,너굴 상점,,갈색,갈색,구매가능,No,,NA
금고 벽,4839,bank-vault wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSafeBox00.png,3000,750,사하라,,회색,회색,비매품,No,,NA
심플 패널 벽,5559,basic wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallSimplePanel00.png,600,150,너굴 상점,,하얀색,하얀색,구매가능,No,,NA
구슬 커튼 벽,4877,beaded-curtain wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBeadsCurtain00.png,1720,430,너굴 상점,,하얀색,주황색,구매가능,No,,NA
베이지 아르데코풍 벽,4817,beige art-deco wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallArtDeco00.png,2780,695,너굴 상점,,베이지색,베이지색,구매가능,No,,NA
베이지 풀꽃 벽,4831,beige blossoming wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCountry00.png,1760,440,너굴 상점,,베이지색,갈색,구매가능,No,,NA
베이지 모로칸 타일 벽,4834,beige desert-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMorocco00.png,2440,610,너굴 상점,,베이지색,베이지색,구매가능,No,,NA
블랙 보태니컬 타일 벽,6877,black botanical-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallWoodTile03.png,1240,310,너굴 상점,,검정색,검정색,구매가능,No,,NA
검정 홀 벽,6862,black hallway wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHall03.png,2000,500,너굴 상점,,검정색,검정색,구매가능,No,,NA
검정 펀칭 보드 벽,4922,black perforated-board wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPegboard02.png,1180,295,너굴 상점,,검정색,검정색,구매가능,No,,NA
흑백 투톤 타일 벽,6859,black two-toned tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTwoToneTile06.png,1850,462,너굴 상점,,검정색,검정색,구매가능,No,,NA
검정 벽돌 벽,4929,black-brick wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBrick02.png,1000,250,너굴 상점,,검정색,검정색,구매가능,No,,NA
블랙 왕관 벽지,4815,black-crown wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCrown01.png,2350,587,너굴 상점,,검정색,검정색,구매가능,No,,NA
칠판 벽,4882,blackboard wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBlackBoard00.png,3000,750,사하라,,검정색,컬러풀,비매품,No,,NA
파란 풀꽃 벽,4896,blue blossoming wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCountry02.png,1760,440,너굴 상점,,하늘색,파란색,구매가능,No,,NA
블루 밀리터리 벽지,4884,blue camo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCamouflage01.png,1150,287,너굴 상점,,파란색,파란색,구매가능,No,,NA
파란 잔꽃무늬 벽지,6852,blue delicate-blooms wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallManor03.png,1900,475,너굴 상점,,파란색,검정색,구매가능,No,,NA
블루 모로칸 타일 벽,4835,blue desert-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMorocco01.png,2440,610,너굴 상점,,파란색,하얀색,구매가능,No,,NA
파란 다이너 벽,7241,blue diner wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDiner00.png,2420,605,너굴 상점,,파란색,하늘색,구매가능,No,,NA
파란 꽃무늬 벽지,6873,blue flower-print wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlower03.png,1780,445,너굴 상점,,파란색,하늘색,구매가능,No,,NA
블루 하트 벽지,4874,blue heart-pattern wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHeart00.png,1280,320,너굴 상점,,파란색,하늘색,구매가능,No,,NA
파란 육각 타일 벽,4912,blue honeycomb-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHoneycomb01.png,1680,420,너굴 상점,,파란색,파란색,구매가능,No,,NA
파란 텍스타일 벽,4848,blue intricate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlowerPop00.png,1570,392,너굴 상점,,파란색,하얀색,구매가능,No,,NA
블루 패널 몰드 벽,4871,blue molded-panel wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPanelMold01.png,1980,495,너굴 상점,,파란색,갈색,구매가능,No,,NA
파란 페인트 우드 벽,4948,blue painted-wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPaintWood00.png,1650,412,너굴 상점,,파란색,하늘색,구매가능,No,,NA
파란 놀이방 벽지,4888,blue playroom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallToy00.png,2540,635,너굴 상점,,하늘색,파란색,구매가능,No,,NA
블루 퀼트 벽,7277,blue quilt wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDollhouse01.png,2150,537,너굴 상점,,파란색,하얀색,구매가능,No,,NA
블루 강판 벽,4925,blue shanty wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTin02.png,620,155,너굴 상점,,파란색,파란색,구매가능,No,,NA
파란 심플 벽지,4869,blue simple-cloth wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSimple03.png,750,187,너굴 상점,,파란색,하늘색,구매가능,No,,NA
파란 메트로 타일 벽,4940,blue subway-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMetro00.png,1340,335,너굴 상점,,파란색,하늘색,구매가능,No,,NA
파란 타일 벽,7127,blue tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTile03.png,1420,355,너굴 상점,,파란색,파란색,구매가능,No,,NA
파란 투톤 타일 벽,6858,blue two-toned tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTwoToneTile05.png,1850,462,너굴 상점,,파란색,파란색,구매가능,No,,NA
블루 왕관 벽지,4814,blue-crown wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCrown00.png,2350,587,너굴 상점,,파란색,검정색,구매가능,No,,NA
