nameKor,﻿Internal ID,Name,Storage Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Closet Image,Seasonal Availability,Style,Label Themes,Variation,Miles Price,Villager Equippable
에이스 티셔츠,8532,A tee,https://acnhcdn.com/latest/FtrIcon/TopsTexTopTshirtsHAce0.png,560,140,너굴 쇼핑 카탈로그,,파란색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsHAce0.png,일 년 내내,심플한,데일리#릴렉스,NA,NA,Yes
물빠진 데님 재킷,5289,acid-washed jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLChemical0.png,1680,420,에이블 시스터즈,에이블 시스터즈에만,파란색,파란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLChemical0.png,일 년 내내,심플한,데일리#아웃도어,Blue,NA,Yes
물빠진 데님 재킷,9538,acid-washed jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLChemical1.png,1680,420,에이블 시스터즈,에이블 시스터즈에만,검정색,검정색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLChemical1.png,일 년 내내,심플한,데일리#아웃도어,Black,NA,Yes
불량한 학생복,4366,after-school jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen0.png,1050,262,에이블 시스터즈,에이블 시스터즈에만,검정색,빨간색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen0.png,일 년 내내,쿨한,데일리#릴렉스,Black,NA,Yes
불량한 학생복,7554,after-school jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen1.png,1050,262,에이블 시스터즈,에이블 시스터즈에만,빨간색,초록색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen1.png,일 년 내내,쿨한,데일리#릴렉스,Berry red,NA,Yes
불량한 학생복,7555,after-school jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen2.png,1050,262,에이블 시스터즈,에이블 시스터즈에만,초록색,노란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen2.png,일 년 내내,쿨한,데일리#릴렉스,Green,NA,Yes
불량한 학생복,7556,after-school jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen3.png,1050,262,에이블 시스터즈,에이블 시스터즈에만,하얀색,검정색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen3.png,일 년 내내,쿨한,데일리#릴렉스,White,NA,Yes
불량한 학생복,7557,after-school jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen4.png,1050,262,에이블 시스터즈,에이블 시스터즈에만,보라색,파란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen4.png,일 년 내내,쿨한,데일리#릴렉스,Purple,NA,Yes
불량한 학생복,7558,after-school jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen5.png,1050,262,에이블 시스터즈,에이블 시스터즈에만,회색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen5.png,일 년 내내,쿨한,데일리#릴렉스,Gray,NA,Yes
불량한 학생복,7559,after-school jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen6.png,1050,262,에이블 시스터즈,에이블 시스터즈에만,파란색,보라색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen6.png,일 년 내내,쿨한,데일리#릴렉스,Blue,NA,Yes
