nameKor,﻿Internal ID,Name,Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Miles Price,Variant ID,Variation,Body Title,Pattern,Pattern Title,Kit Cost,Body Customize,Pattern Customize,Outdoor
액세서리 스탠드,3948,accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_0_0.png,1500,375,너굴 상점,너굴상점의 구매 제한 없는 상품,하얀색,컬러풀,구매가능,No,1x1,NA,0_0,White,NA,NA,NA,NA,No,No,No
액세서리 스탠드,3948,accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_1_0.png,1500,375,너굴 상점,너굴상점의 구매 제한 없는 상품,분홍색,컬러풀,구매가능,No,1x1,NA,1_0,Pink,NA,NA,NA,NA,No,No,No
액세서리 스탠드,3948,accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_2_0.png,1500,375,너굴 상점,너굴상점의 구매 제한 없는 상품,검정색,컬러풀,구매가능,No,1x1,NA,2_0,Black,NA,NA,NA,NA,No,No,No
액세서리 스탠드,3948,accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_3_0.png,1500,375,너굴 상점,너굴상점의 구매 제한 없는 상품,갈색,컬러풀,구매가능,No,1x1,NA,3_0,Brown,NA,NA,NA,NA,No,No,No
액세서리 스탠드,3948,accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_4_0.png,1500,375,너굴 상점,너굴상점의 구매 제한 없는 상품,하늘색,컬러풀,구매가능,No,1x1,NA,4_0,Light blue,NA,NA,NA,NA,No,No,No
동물의 숲 Nintendo Switch,12579,ACNH Nintendo Switch,https://acnhcdn.com/latest/FtrIcon/FtrSwitchAC.png,35960,8990,닌텐도# 너굴 쇼핑,,초록색,하늘색,구매가능,No,1x1,NA,NA,NA,NA,NA,NA,NA,No,No,No
아그리아스나비 모형,7080,agrias butterfly model,https://acnhcdn.com/latest/FtrIcon/FtrInsectMiirotatehaToy.png,NFS,9000,레온,같은 곤충 3개 주고 다음 날 우편으로 받기,분홍색,보라색,비매품,No,1x1,NA,NA,NA,NA,NA,NA,NA,No,No,No
듀랄루민 케이스,7453,aluminum briefcase,https://acnhcdn.com/latest/FtrIcon/FtrDuralumincase_Remake_0_0.png,100000,25000,너굴 상점,증축 후 너굴상점의 세 번째 가구 영역,회색,노란색,구매가능,No,1x1,NA,0_0,Stacks of cash,NA,NA,NA,NA,No,No,No
듀랄루민 케이스,7453,aluminum briefcase,https://acnhcdn.com/latest/FtrIcon/FtrDuralumincase_Remake_1_0.png,100000,25000,너굴 상점,증축 후 너굴상점의 세 번째 가구 영역,회색,노란색,구매가능,No,1x1,NA,1_0,Gold bars,NA,NA,NA,NA,No,No,No
앰프,849,amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_0_0.png,5100,1275,너굴 상점,너굴상점의 구매 제한 없는 상품,검정색,갈색,구매가능,No,1x1,NA,0_0,Black,NA,NA,NA,NA,No,No,No
