#,Name,Sell,Where/How,Weather,NH Jan,NH Feb,NH Mar,NH Apr,NH May,NH Jun,NH Jul,NH Aug,NH Sep,NH Oct,NH Nov,NH Dec
1,common butterfly,160,°øÁß,Any except rain,4 AM ~ 7 PM,4 AM ~ 7 PM,4 AM ~ 7 PM,4 AM ~ 7 PM,4 AM ~ 7 PM,4 AM ~ 7 PM,null,null,4 AM ~ 7 PM,4 AM ~ 7 PM,4 AM ~ 7 PM,4 AM ~ 7 PM
2,yellow butterfly,160,°øÁß,Any except rain,null,null,4 AM ~ 7 PM,4 AM ~ 7 PM,4 AM ~ 7 PM,4 AM ~ 7 PM,null,null,4 AM ~ 7 PM,4 AM ~ 7 PM,null,null
3,tiger butterfly,240,°øÁß,Any except rain,null,null,4 AM ~ 7 PM,4 AM ~ 7 PM,4 AM ~ 7 PM,4 AM ~ 7 PM,4 AM ~ 7 PM,4 AM ~ 7 PM,4 AM ~ 7 PM,null,null,null
4,peacock butterfly,2500,"ÆÄ¶û, º¸¶ó, °ËÁ¤»ö ²É ÁÖº¯",Any except rain,null,null,4 AM ~ 7 PM,4 AM ~ 7 PM,4 AM ~ 7 PM,4 AM ~ 7 PM,null,null,null,null,null,null
5,common bluebottle,300,°øÁß,Any except rain,null,null,null,4 AM ~ 7 PM,4 AM ~ 7 PM,4 AM ~ 7 PM,4 AM ~ 7 PM,4 AM ~ 7 PM,null,null,null,null
6,paper kite butterfly,1000,²É ÁÖº¯,Any except rain,8 AM ~ 7 PM,8 AM ~ 7 PM,8 AM ~ 7 PM,8 AM ~ 7 PM,8 AM ~ 7 PM,8 AM ~ 7 PM,8 AM ~ 7 PM,8 AM ~ 7 PM,8 AM ~ 7 PM,8 AM ~ 7 PM,8 AM ~ 7 PM,8 AM ~ 7 PM
7,great purple emperor,3000,²É ÁÖº¯,Any except rain,null,null,null,null,4 AM ~ 7 PM,4 AM ~ 7 PM,4 AM ~ 7 PM,4 AM ~ 7 PM,null,null,null,null
8,monarch butterfly,140,²É ÁÖº¯,Any except rain,null,null,null,null,null,null,null,null,4 AM ? 5 PM,4 AM ? 5 PM,4 AM ? 5 PM,null
9,emperor butterfly,4000,²É ÁÖº¯,Any except rain,5 PM ~ 8 AM,5 PM ~ 8 AM,5 PM ~ 8 AM,null,null,5 PM ~ 8 AM,5 PM ~ 8 AM,5 PM ~ 8 AM,5 PM ~ 8 AM,null,null,5 PM ~ 8 AM
10,agrias butterfly,3000,²É ÁÖº¯,Any except rain,null,null,null,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,null,null,null
11,Rajah Brooke's birdwing,2500,²É ÁÖº¯,Any except rain,8 AM ~ 5 PM,8 AM ~ 5 PM,null,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,null,null,8 AM ~ 5 PM
12,Queen Alexandra's birdwing,4000,²É ÁÖº¯,Any except rain,null,null,null,null,8 AM ~ 4 PM,8 AM ~ 4 PM,8 AM ~ 4 PM,8 AM ~ 4 PM,8 AM ~ 4 PM,null,null,null
13,moth,130,°øÁß(ºÒºû ±ÙÃ³),Any except rain,7 PM ~ 4 AM,7 PM ~ 4 AM,7 PM ~ 4 AM,7 PM ~ 4 AM,7 PM ~ 4 AM,7 PM ~ 4 AM,7 PM ~ 4 AM,7 PM ~ 4 AM,7 PM ~ 4 AM,7 PM ~ 4 AM,7 PM ~ 4 AM,7 PM ~ 4 AM
14,Atlas moth,3000,³ª¹«,Any weather,null,null,null,7 PM ~ 4 AM,7 PM ~ 4 AM,7 PM ~ 4 AM,7 PM ~ 4 AM,7 PM ~ 4 AM,7 PM ~ 4 AM,null,null,null
15,Madagascan sunset moth,2500,²É ÁÖº¯,Any except rain,null,null,null,8 AM ~ 4 PM,8 AM ~ 4 PM,8 AM ~ 4 PM,8 AM ~ 4 PM,8 AM ~ 4 PM,8 AM ~ 4 PM,null,null,null
16,long locust,200,¶¥ À§,Any weather,null,null,null,8 AM ~ 7 PM,8 AM ~ 7 PM,8 AM ~ 7 PM,8 AM ~ 7 PM,8 AM ~ 7 PM,8 AM ~ 7 PM,8 AM ~ 7 PM,8 AM ~ 7 PM,null
17,migratory locust,600,¶¥ À§,Any weather,null,null,null,null,null,null,null,8 AM ~ 7 PM,8 AM ~ 7 PM,8 AM ~ 7 PM,8 AM ~ 7 PM,null
18,rice grasshopper,400,¶¥ À§,Any weather,null,null,null,null,null,null,null,8 AM ~ 7 PM,8 AM ~ 7 PM,8 AM ~ 7 PM,8 AM ~ 7 PM,null
19,grasshopper,160,¶¥ À§,Any except rain,null,null,null,null,null,null,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,null,null,null
20,cricket,130,¶¥ À§,Any except rain,null,null,null,null,null,null,null,null,5 PM ~ 8 AM,5 PM ~ 8 AM,5 PM ~ 8 AM,null
21,bell cricket,430,¶¥ À§,Any except rain,null,null,null,null,null,null,null,null,5 PM ~ 8 AM,5 PM ~ 8 AM,null,null
22,mantis,430,²É À§,Any except rain,null,null,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,null
