#,Name,Icon Image,Critterpedia Image,Furniture Image,Sell,Where/How,Shadow,Total Catches to Unlock,Rain/Snow Catch Up,NH Jan,NH Feb,NH Mar,NH Apr,NH May,NH Jun,NH Jul,NH Aug,NH Sep,NH Oct,NH Nov,NH Dec,SH Jan,SH Feb,SH Mar,SH Apr,SH May,SH Jun,SH Jul,SH Aug,SH Sep,SH Oct,SH Nov,SH Dec,Color 1,Color 2,Size,Lighting Type,Icon Filename,Critterpedia Filename,Furniture Filename,Internal ID,Unique Entry ID
56,anchovy,https://acnhcdn.com/latest/MenuIcon/Fish81.png,https://acnhcdn.com/latest/BookFishIcon/FishAntyobiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishAntyobi.png,200,Sea,Small,0,No,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,Blue,Red,1x1,No lighting,Fish81,FishAntyobi,FtrFishAntyobi,4201,LzuWkSQP55uEpRCP5
36,angelfish,https://acnhcdn.com/latest/MenuIcon/Fish30.png,https://acnhcdn.com/latest/BookFishIcon/FishAngelfishCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishAngelfish.png,3000,River,Small,20,No,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,Yellow,Black,1x1,Fluorescent,Fish30,FishAngelfish,FtrFishAngelfish,2247,XTCFCk2SiuY5YXLZ7
44,arapaima,https://acnhcdn.com/latest/MenuIcon/Fish36.png,https://acnhcdn.com/latest/BookFishIcon/FishPirarukuCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishPiraruku.png,10000,River,XX-Large,50,Yes,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,Black,Blue,3x2,No lighting,Fish36,FishPiraruku,FtrFishPiraruku,2253,mZy4BES54bqwi97br
41,arowana,https://acnhcdn.com/latest/MenuIcon/Fish33.png,https://acnhcdn.com/latest/BookFishIcon/FishArowanaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishArowana.png,10000,River,Large,50,No,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,Yellow,Black,2x1,Fluorescent,Fish33,FishArowana,FtrFishArowana,2250,F68AvCaqddBJL7ZSN
58,barred knifejaw,https://acnhcdn.com/latest/MenuIcon/Fish47.png,https://acnhcdn.com/latest/BookFishIcon/FishIshidaiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishIshidai.png,5000,Sea,Medium,20,No,NA,NA,All day,All day,All day,All day,All day,All day,All day,All day,All day,NA,All day,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,All day,White,Black,1x1,Fluorescent,Fish47,FishIshidai,FtrFishIshidai,2265,X3R9SFSAaDzBF4fE3
79,barreleye,https://acnhcdn.com/latest/MenuIcon/Fish84.png,https://acnhcdn.com/latest/BookFishIcon/FishDemenigisuCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishDemenigisu.png,15000,Sea,Small,100,No,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,Black,Black,1x1,Fluorescent,Fish84,FishDemenigisu,FtrFishDemenigisu,4204,BpqTa4zmTjv3Nm4wE
37,betta,https://acnhcdn.com/latest/MenuIcon/Fish77.png,https://acnhcdn.com/latest/BookFishIcon/FishBetaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishBeta.png,2500,River,Small,20,No,NA,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,NA,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,NA,NA,NA,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,Light blue,Black,1x1,Fluorescent,Fish77,FishBeta,FtrFishBeta,4191,7QcQXzwZoNGiNA94k
1,bitterling,https://acnhcdn.com/latest/MenuIcon/Fish0.png,https://acnhcdn.com/latest/BookFishIcon/FishTanagoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishTanago.png,900,River,X-Small,0,No,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,All day,All day,All day,NA,NA,NA,Light blue,Blue,1x1,No lighting,Fish0,FishTanago,FtrFishTanago,2215,Drj6eLRBgg4T9KhNx
22,black bass,https://acnhcdn.com/latest/MenuIcon/Fish19.png,https://acnhcdn.com/latest/BookFishIcon/FishBlackbassCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishBlackbass.png,400,River,Large,0,No,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Green,Black,1x1,Fluorescent,Fish19,FishBlackbass,FtrFishBlackbass,2234,wAZvfTca7GyaTtLcQ
54,blowfish,https://acnhcdn.com/latest/MenuIcon/Fish73.png,https://acnhcdn.com/latest/BookFishIcon/FishFuguCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishFugu.png,5000,Sea,Medium,20,No,9 PM – 4 AM,9 PM – 4 AM,NA,NA,NA,NA,NA,NA,NA,NA,9 PM – 4 AM,9 PM – 4 AM,NA,NA,NA,NA,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,NA,NA,NA,NA,Beige,Black,1x1,Fluorescent,Fish73,FishFugu,FtrFishFugu,2262,aDsmTcByApycafxTa
67,blue marlin,https://acnhcdn.com/latest/MenuIcon/Fish58.png,https://acnhcdn.com/latest/BookFishIcon/FishKajikiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishKajiki.png,10000,Pier,XX-Large,50,Yes,All day,All day,All day,All day,NA,NA,All day,All day,All day,NA,All day,All day,All day,All day,All day,NA,All day,All day,All day,All day,All day,All day,NA,NA,Blue,Black,2x1,Fluorescent,Fish58,FishKajiki,FtrFishKajiki,2275,jhtsYRHydAcZnd6bJ
20,bluegill,https://acnhcdn.com/latest/MenuIcon/Fish17.png,https://acnhcdn.com/latest/BookFishIcon/FishBlueguillCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishBlueguill.png,180,River,Small,0,No,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,Blue,Black,1x1,No lighting,Fish17,FishBlueguill,FtrFishBlueguill,2232,8ygccYFCrWf4hwYGR
51,butterfly fish,https://acnhcdn.com/latest/MenuIcon/Fish42.png,https://acnhcdn.com/latest/BookFishIcon/FishChouchouuoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishChouchouuo.png,1000,Sea,Small,0,No,NA,NA,NA,All day,All day,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,All day,All day,All day,Yellow,Black,1x1,Fluorescent,Fish42,FishChouchouuo,FtrFishChouchouuo,2259,S4rkio2M3WB5cyy8Y
5,carp,https://acnhcdn.com/latest/MenuIcon/Fish5.png,https://acnhcdn.com/latest/BookFishIcon/FishKoiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishKoi.png,300,Pond,Large,0,No,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Gray,Black,1x1,Fluorescent,Fish5,FishKoi,FtrFishKoi,2219,4DwwvGDwPQvZTn9Fb
