Daydreaming,상상
Surprise,아하!
Apologetic,꾸벅
Confident,맡겨줘!
Bashfulness,부끄럼
Heartbreak,실연
Encouraging,힘내!
Delight,박수
ColdChill,씁쓸
Sorrow,울기
Flourish,댄스
Distress,당황
Greetings,안녕!
Smirking,씨익
Glee,신바람
Joy,해피
Pleased,까딱
Shyness,머뭇
Inspiration,번뜩
Laughter,웃기
Love,러브
Disagreement,절레절레
Agreement,끄덕끄덕
Resignation,나참…
Mistaken,아차!
Aggravation,버럭
Bewilderment,뭐?
Curiosity,응?
Sadness,실망
Mischief,꿍꿍이
Showmanship,짜잔!
Fearful,덜덜덜
Amazed,깜짝!
Sighing,한숨
Intense,조용
Dozing,쿨쿨
Sleepy,하품
Happiness,싱글벙글
Pride,잘난체
Sneezing,재채기
Shocked,뜨악!
Thought,고민
Worry,곤란
Sheepishness,쓴웃음
