Name,Image,Source
Aggravation,https://acnhcdn.com/latest/ManpuIcon/Outraged.png,Peppy
Agreement,https://acnhcdn.com/latest/ManpuIcon/Nodding.png,Cranky
Amazed,https://acnhcdn.com/latest/ManpuIcon/Shocked.png,Snooty
Apologetic,https://acnhcdn.com/latest/ManpuIcon/Apologize.png,Big Sister
Bashfulness,https://acnhcdn.com/latest/ManpuIcon/Blushing.png,Lazy
Bewilderment,https://acnhcdn.com/latest/ManpuIcon/Pardon.png,Cranky
Cold Chill,https://acnhcdn.com/latest/ManpuIcon/ColdChill.png,Big Sister
Confident,https://acnhcdn.com/latest/ManpuIcon/Assent.png,Big Sister
Curiosity,https://acnhcdn.com/latest/ManpuIcon/QuestionMark.png,Peppy
Daydreaming,https://acnhcdn.com/latest/ManpuIcon/AbsentMindedness.png,Normal
Delight,https://acnhcdn.com/latest/ManpuIcon/Clapping.png,All
Disagreement,https://acnhcdn.com/latest/ManpuIcon/Negative.png,Big Sister
Distress,https://acnhcdn.com/latest/ManpuIcon/Frantic.png,Jock
Dozing,https://acnhcdn.com/latest/ManpuIcon/Sleep.png,Smug
Encouraging,https://acnhcdn.com/latest/ManpuIcon/Cheering.png,Jock
Fearful,https://acnhcdn.com/latest/ManpuIcon/Shaking.png,Normal
Flourish,https://acnhcdn.com/latest/ManpuIcon/Dance.png,Jock
Glee,https://acnhcdn.com/latest/ManpuIcon/HappyDance.png,Normal
Greetings,https://acnhcdn.com/latest/ManpuIcon/Greeting.png,All
Happiness,https://acnhcdn.com/latest/ManpuIcon/Smiling.png,Peppy
Heartbreak,https://acnhcdn.com/latest/ManpuIcon/BrokenHeart.png,Smug
Inspiration,https://acnhcdn.com/latest/ManpuIcon/IdeaBulb.png,Cranky
Intense,https://acnhcdn.com/latest/ManpuIcon/Silent.png,Snooty
Joy,https://acnhcdn.com/latest/ManpuIcon/HappyFlower.png,All
Laughter,https://acnhcdn.com/latest/ManpuIcon/Laughing.png,Big Sister
Love,https://acnhcdn.com/latest/ManpuIcon/Love.png,Snooty
Mischief,https://acnhcdn.com/latest/ManpuIcon/Scheming.png,Peppy
Mistaken,https://acnhcdn.com/latest/ManpuIcon/Oops.png,Lazy
Pleased,https://acnhcdn.com/latest/ManpuIcon/Hello.png,Normal
Pride,https://acnhcdn.com/latest/ManpuIcon/SmugFace.png,Lazy
Resignation,https://acnhcdn.com/latest/ManpuIcon/OhGeez.png,Smug
Sadness,https://acnhcdn.com/latest/ManpuIcon/SadSpiral.png,Normal
Sheepishness,https://acnhcdn.com/latest/ManpuIcon/WrySmile.png,Cranky
Shocked,https://acnhcdn.com/latest/ManpuIcon/Surprised.png,Jock
Showmanship,https://acnhcdn.com/latest/ManpuIcon/Shaki.png,Smug
Shyness,https://acnhcdn.com/latest/ManpuIcon/Hesitate.png,Lazy
Sighing,https://acnhcdn.com/latest/ManpuIcon/Sighing.png,Snooty
Sleepy,https://acnhcdn.com/latest/ManpuIcon/Sleepy.png,Peppy
Smirking,https://acnhcdn.com/latest/ManpuIcon/Grin.png,Smug
Sneezing,https://acnhcdn.com/latest/ManpuIcon/Sneezing.png,Jock
Sorrow,https://acnhcdn.com/latest/ManpuIcon/Crying.png,Lazy
Surprise,https://acnhcdn.com/latest/ManpuIcon/Aha.png,All
Thought,https://acnhcdn.com/latest/ManpuIcon/Thinking.png,Snooty
Worry,https://acnhcdn.com/latest/ManpuIcon/Worried.png,Cranky
