index,nameKor,partsKor,indexEngName,price,size,museumLocation,interact,imgUrl
1,아칸토스테가,단일,acanthostega,2000,1x1,Room 1,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_001_acanthostega.png?alt=media&token=a4e89c1d-0e33-451c-a6b0-1d44843afa30
2,호박,단일,amber,1200,1x1,Room 1,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_002_amber.png?alt=media&token=3aa77f17-86e7-4b14-a319-acd02e6ef5ee
3,암모나이트,단일,ammonite,1100,1x1,Room 1,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_003_ammonite.png?alt=media&token=eaac792d-70e8-42f3-8dd5-1764504ff00b
4,아노말로카리스,단일,anomalocaris,2000,1x1,Room 1,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_004_anomalocaris.png?alt=media&token=05850676-8c03-49c9-971d-597f519b66bf
5,시조새,단일,archaeopteryx,1300,1x1,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_005_archaeopteryx.png?alt=media&token=eb03f842-8438-49ed-acc9-ae3f53d715b3
6,오스트랄로피테쿠스,단일,australopith,1100,1x1,Room 3,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_006_australopith.png?alt=media&token=e1d102c0-dfc8-4e2f-947c-34a1b2d0be73
7,대변 화석,단일,coprolite,1100,1x1,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_007_coprolite.png?alt=media&token=17bc8328-ab39-4684-adff-9ef956859822
8,발자국 화석,단일,dinosaurtrack,1000,1x1,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_008_dinosaurtrack.png?alt=media&token=706d7fea-0c6c-4adf-b513-6e299f9904cf
9,둔클레오스테우스,단일,dunkleosteus,3500,2x2,Room 1,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_009_dunkleosteus.png?alt=media&token=cf724c8a-366e-40b1-ab18-792bda63f756
10,에우스테놉테론,단일,eusthenopteron,2000,1x1,Room 1,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_010_eusthenopteron.png?alt=media&token=e28af313-bbf1-48d4-adf7-036fc5b934fb
11,쥐라마이아,단일,juramaia,1500,1x1,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_011_juramaia.png?alt=media&token=9b91e379-eff6-4f44-8169-49e35a9cb032
12,밀로쿤밍기아,단일,myllokunmingia,1500,1x1,Room 1,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_012_myllokunmingia.png?alt=media&token=cee3dd32-8ba1-4331-90ee-96b41e5f946b
13,상어 이빨 화석,단일,sharktoothpattern,1000,1x1,Room 1,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_013_sharktoothpattern.png?alt=media&token=8e51293b-3900-4c94-859d-71d0cedbde8e
14,삼엽충,단일,trilobite,1300,1x1,Room 1,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_014_trilobite.png?alt=media&token=a6d52962-b87a-4500-a35b-cc89b4c74607
15,안킬로사우루스,머리,ankyloskull,3500,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_015_ankyloskull.png?alt=media&token=5fb3f7b0-2728-4e43-b2fa-271687c2fa63
16,안킬로사우루스,몸통,ankylotorso,3000,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_016_ankylotorso.png?alt=media&token=71071947-8213-473c-90bc-88d3c295021e
17,안킬로사우루스,꼬리,ankylotail,2500,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_017_ankylotail.png?alt=media&token=b74acfcb-37a5-4be0-86bd-14153c42d888
18,아르켈론,머리,archelonskull,4000,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_018_archelonskull.png?alt=media&token=31b00bb8-accb-413b-912a-547c11214470
19,아르켈론,몸통,archelontail,3500,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_019_archelontail.png?alt=media&token=7799706a-dd91-4ca0-906a-9f7e65513d21
20,브라키오사우루스,머리,brachioskull,6000,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_020_brachioskull.png?alt=media&token=4dac4c38-e51d-4243-8650-3a959359d2e1
21,브라키오사우루스,가슴,brachiochest,5500,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_021_brachiochest.png?alt=media&token=77ee03e0-98d3-40c4-a3ab-45671f0c610e
22,브라키오사우루스,허리,brachiopelvis,5000,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_022_brachiopelvis.png?alt=media&token=28e2f23e-cf8f-4331-980c-056df796db06
