Internal ID,Name,Storage Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Closet Image,Seasonal Availability,Style,Label Themes,Variation,Type,Villager Equippable,Miles Price
5315,acorn knit cap,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn0.png,880,220,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,Brown,Brown,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn0.png,일 년 내내,귀여운,데일리#릴랙스,Chestnut,HeadCap,Yes,NA
10933,acorn knit cap,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn1.png,880,220,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,Yellow,Yellow,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn1.png,일 년 내내,귀여운,데일리#릴랙스,Mustard,HeadCap,Yes,NA
10934,acorn knit cap,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn2.png,880,220,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,Green,Green,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn2.png,일 년 내내,귀여운,데일리#릴랙스,Avocado,HeadCap,Yes,NA
10935,acorn knit cap,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn3.png,880,220,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,Red,Red,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn3.png,일 년 내내,귀여운,데일리#릴랙스,Berry red,HeadCap,Yes,NA
10936,acorn knit cap,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn4.png,880,220,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,Blue,Blue,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn4.png,일 년 내내,귀여운,데일리#릴랙스,Navy blue,HeadCap,Yes,NA
10937,acorn knit cap,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn5.png,880,220,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,Beige,Beige,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn5.png,일 년 내내,귀여운,데일리#릴랙스,Cream,HeadCap,Yes,NA
5295,alpinist hat,https://acnhcdn.com/latest/FtrIcon/CapHatTyrolean0.png,NFS,500,죠니,,Green,Green,비매품,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatTyrolean0.png,일 년 내내,심플한,데일리#포멀,Green,HeadCap,Yes,NA
11884,alpinist hat,https://acnhcdn.com/latest/FtrIcon/CapHatTyrolean1.png,NFS,500,죠니,,Blue,Light blue,비매품,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatTyrolean1.png,일 년 내내,심플한,데일리#포멀,Blue,HeadCap,Yes,NA
11885,alpinist hat,https://acnhcdn.com/latest/FtrIcon/CapHatTyrolean2.png,NFS,500,죠니,,Red,Pink,비매품,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatTyrolean2.png,일 년 내내,심플한,데일리#포멀,Red,HeadCap,Yes,NA
6048,ancient administrator hat,https://acnhcdn.com/latest/FtrIcon/CapHatKanboBlack.png,NFS,800,죠니,,Black,Black,비매품,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatKanboBlack.png,일 년 내내,우아한,포멀#비즈니스,Black,HeadCap,Yes,NA
9871,apple hat,https://acnhcdn.com/latest/FtrIcon/CapHatApple0.png,NFS,1000,제작,,Red,Yellow,비매품,Yes,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatApple0.png,일 년 내내,귀여운,메르헨#파티#스테이지,Red,HeadCap,Yes,NA
9864,Aran-knit cap,https://acnhcdn.com/latest/FtrIcon/CapHatAlan0.png,880,220,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,White,White,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatAlan0.png,겨울,심플한,데일리#아웃도어#릴랙스,White,HeadCap,Yes,NA
12045,Aran-knit cap,https://acnhcdn.com/latest/FtrIcon/CapHatAlan1.png,880,220,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,Red,Red,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatAlan1.png,겨울,심플한,데일리#아웃도어#릴랙스,Red,HeadCap,Yes,NA
12046,Aran-knit cap,https://acnhcdn.com/latest/FtrIcon/CapHatAlan2.png,880,220,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,Blue,Blue,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatAlan2.png,겨울,심플한,데일리#아웃도어#릴랙스,Blue,HeadCap,Yes,NA
12047,Aran-knit cap,https://acnhcdn.com/latest/FtrIcon/CapHatAlan3.png,880,220,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,Green,Green,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatAlan3.png,겨울,심플한,데일리#아웃도어#릴랙스,Green,HeadCap,Yes,NA
5363,baby's hat,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet0.png,560,140,에이블 시스터즈,에이블 시스터즈에만,Light blue,White,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet0.png,일 년 내내,귀여운,릴랙스,Baby mint,Headgear_HasBang,No,NA
