Internal ID,Name,Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,HHA Concept 1,HHA Concept 2,HHA Series,VFX,Miles Price
4873,abstract wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallAbstract00.png,1560,390,너굴 상점,,White,Colorful,구매가능,No,,shop,facility,None,No,NA
4936,ancient wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallEgypt00.png,3000,750,사하라,,Beige,Brown,비매품,No,,folk art,horror,None,No,NA
4916,apple wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallApple00.png,NFS,4000,제작,,Red,Red,비매품,Yes,,fancy,child's room,fruits,No,NA
4930,aqua tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTile01.png,1420,355,너굴 상점,,Light blue,Light blue,구매가능,No,,bathroom,facility,None,No,NA
5482,arched-window wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallGlass00.png,2150,537,너굴 상점,,Brown,Light blue,구매가능,No,,shop,expensive,None,Yes,NA
4905,autumn wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallAutumun00.png,NFS,4700,제작,,Brown,Orange,비매품,Yes,,garden,None,tree's bounty or leaves ,Yes,NA
5481,backyard-fence wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallBackyard00.png,3000,750,사하라,,Light blue,White,비매품,No,,garden,None,None,Yes,NA
4833,bamboo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBamboo00.png,NFS,2400,제작,,Green,Beige,비매품,Yes,,zen-style,None,bamboo,No,NA
4853,bamboo-grove wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallChikurin00.png,NFS,4300,제작,,Green,Green,비매품,Yes,,zen-style,None,bamboo,No,NA
4836,bamboo-screen wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRattan00.png,1770,442,너굴 상점,,Brown,Brown,구매가능,No,,zen-style,None,None,No,NA
4839,bank-vault wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSafeBox00.png,3000,750,사하라,,Gray,Gray,비매품,No,,facility,expensive,None,No,NA
5559,basic wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallSimplePanel00.png,600,150,너굴 상점,,White,White,구매가능,No,,office,facility,None,Yes,NA
4877,beaded-curtain wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBeadsCurtain00.png,1720,430,너굴 상점,,White,Orange,구매가능,No,,shop,kitchen,None,No,NA
4817,beige art-deco wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallArtDeco00.png,2780,695,너굴 상점,,Beige,Beige,구매가능,No,,child's room,living room,None,No,NA
4831,beige blossoming wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCountry00.png,1760,440,너굴 상점,,Beige,Brown,구매가능,No,,fancy,living room,None,No,NA
4834,beige desert-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMorocco00.png,2440,610,너굴 상점,,Beige,Beige,구매가능,No,,bathroom,facility,None,No,NA
6877,black botanical-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallWoodTile03.png,1240,310,너굴 상점,,Black,Black,구매가능,No,,facility,expensive,None,No,NA
6862,black hallway wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHall03.png,2000,500,너굴 상점,,Black,Black,구매가능,No,,facility,music,None,No,NA
4922,black perforated-board wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPegboard02.png,1180,295,너굴 상점,,Black,Black,구매가능,No,,music,facility,None,No,NA
6859,black two-toned tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTwoToneTile06.png,1850,462,너굴 상점,,Black,Black,구매가능,No,,bathroom,facility,None,No,NA
4929,black-brick wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBrick02.png,1000,250,너굴 상점,,Black,Black,구매가능,No,,facility,shop,None,No,NA
4815,black-crown wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCrown01.png,2350,587,너굴 상점,,Black,Black,구매가능,No,,expensive,None,None,No,NA
4882,blackboard wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBlackBoard00.png,3000,750,사하라,,Black,Colorful,비매품,No,,shop,school,None,No,NA
4896,blue blossoming wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCountry02.png,1760,440,너굴 상점,,Light blue,Blue,구매가능,No,,fancy,living room,None,No,NA
4884,blue camo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCamouflage01.png,1150,287,너굴 상점,,Blue,Blue,구매가능,No,,party,child's room,None,No,NA
6852,blue delicate-blooms wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallManor03.png,1900,475,너굴 상점,,Blue,Black,구매가능,No,,expensive,living room,None,No,NA
4835,blue desert-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMorocco01.png,2440,610,너굴 상점,,Blue,White,구매가능,No,,bathroom,facility,None,No,NA
7241,blue diner wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDiner00.png,2420,605,너굴 상점,,Blue,Light blue,구매가능,No,,fancy,shop,None,No,NA
6873,blue flower-print wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlower03.png,1780,445,너굴 상점,,Blue,Light blue,구매가능,No,,fancy,living room,None,No,NA
4874,blue heart-pattern wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHeart00.png,1280,320,너굴 상점,,Blue,Light blue,구매가능,No,,fancy,child's room,None,No,NA
4912,blue honeycomb-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHoneycomb01.png,1680,420,너굴 상점,,Blue,Blue,구매가능,No,,bathroom,facility,None,No,NA
4848,blue intricate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlowerPop00.png,1570,392,너굴 상점,,Blue,White,구매가능,No,,living room,shop,None,No,NA
4871,blue molded-panel wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPanelMold01.png,1980,495,너굴 상점,,Blue,Brown,구매가능,No,,expensive,shop,None,No,NA
4948,blue painted-wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPaintWood00.png,1650,412,너굴 상점,,Blue,Light blue,구매가능,No,,fancy,living room,None,No,NA
4888,blue playroom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallToy00.png,2540,635,너굴 상점,,Light blue,Blue,구매가능,No,,child's room,fancy,None,No,NA
7277,blue quilt wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDollhouse01.png,2150,537,너굴 상점,,Blue,White,구매가능,No,,fancy,child's room,None,No,NA
4925,blue shanty wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTin02.png,620,155,너굴 상점,,Blue,Blue,구매가능,No,,garage,None,None,No,NA
4869,blue simple-cloth wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSimple03.png,750,187,너굴 상점,,Blue,Light blue,구매가능,No,,child's room,living room,None,No,NA
4940,blue subway-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMetro00.png,1340,335,너굴 상점,,Blue,Light blue,구매가능,No,,facility,shop,None,No,NA
7127,blue tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTile03.png,1420,355,너굴 상점,,Blue,Blue,구매가능,No,,bathroom,facility,None,No,NA
6858,blue two-toned tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTwoToneTile05.png,1850,462,너굴 상점,,Blue,Blue,구매가능,No,,bathroom,facility,None,No,NA
4814,blue-crown wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCrown00.png,2350,587,너굴 상점,,Blue,Black,구매가능,No,,expensive,None,None,No,NA
4811,blue-paint wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStucco03.png,1600,400,너굴 상점,,Blue,Blue,구매가능,No,,fancy,living room,None,No,NA
6869,blue-rose wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRose03.png,1720,430,너굴 상점,,Blue,Light blue,구매가능,No,,fancy,living room,None,No,NA
4945,blue-striped wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStripe03.png,1520,380,너굴 상점,,Blue,White,구매가능,No,,fancy,child's room,None,No,NA
6876,botanical-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallWoodTile02.png,1240,310,너굴 상점,,Beige,Yellow,구매가능,No,,facility,expensive,None,No,NA
4827,brown botanical-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallWoodTile01.png,1240,310,너굴 상점,,Brown,Brown,구매가능,No,,facility,expensive,None,No,NA
7244,brown diner wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDiner03.png,2420,605,너굴 상점,,Brown,Colorful,구매가능,No,,fancy,shop,None,No,NA
