Internal ID,Name,Storage Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Closet Image,Seasonal Availability,Style,Label Themes,Variation,Villager Equippable
2699,academy uniform,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxLYosoiki0.png,2080,520,에이블 시스터즈,에이블 시스터즈에만,Blue,White,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLYosoiki0.png,일 년 내내,우아한,포멀#파티,Navy blue,Yes
9016,academy uniform,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxLYosoiki1.png,2080,520,에이블 시스터즈,에이블 시스터즈에만,Gray,White,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLYosoiki1.png,일 년 내내,우아한,포멀#파티,Gray,Yes
9017,academy uniform,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxLYosoiki2.png,2080,520,에이블 시스터즈,에이블 시스터즈에만,Red,White,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLYosoiki2.png,일 년 내내,우아한,포멀#파티,Red,Yes
3686,adventure dress,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonHStrangeBlue.png,2800,700,에이블 시스터즈,에이블 시스터즈에만,Light blue,White,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHStrangeBlue.png,일 년 내내,귀여운,메르헨,Blue,Yes
3168,alpinist dress,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonHTyrolean0.png,2520,630,에이블 시스터즈,에이블 시스터즈에만,Green,White,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHTyrolean0.png,일 년 내내,귀여운,데일리#포멀,Green,Yes
8615,alpinist dress,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonHTyrolean1.png,2520,630,에이블 시스터즈,에이블 시스터즈에만,Blue,White,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHTyrolean1.png,일 년 내내,귀여운,데일리#포멀,Blue,Yes
8616,alpinist dress,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonHTyrolean2.png,2520,630,에이블 시스터즈,에이블 시스터즈에만,Red,White,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonHTyrolean2.png,일 년 내내,귀여운,데일리#포멀,Red,Yes
4443,alpinist overalls,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallHTyrolean0.png,2520,630,에이블 시스터즈,에이블 시스터즈에만,Green,White,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallHTyrolean0.png,일 년 내내,우아한,데일리#포멀,Green,Yes
8631,alpinist overalls,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallHTyrolean1.png,2520,630,에이블 시스터즈,에이블 시스터즈에만,Blue,Light blue,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallHTyrolean1.png,일 년 내내,우아한,데일리#포멀,Blue,Yes
8632,alpinist overalls,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallHTyrolean2.png,2520,630,에이블 시스터즈,에이블 시스터즈에만,Red,Pink,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallHTyrolean2.png,일 년 내내,우아한,데일리#포멀,Red,Yes
5518,ancient belted robe,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen0.png,3640,910,에이블 시스터즈,에이블 시스터즈에만,Light blue,Blue,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen0.png,일 년 내내,우아한,포멀,Blue,Yes
9158,ancient belted robe,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen1.png,3640,910,에이블 시스터즈,에이블 시스터즈에만,Green,Green,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen1.png,일 년 내내,우아한,포멀,Green,Yes
9159,ancient belted robe,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen2.png,3640,910,에이블 시스터즈,에이블 시스터즈에만,Beige,Brown,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen2.png,일 년 내내,우아한,포멀,Beige,Yes
9160,ancient belted robe,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen3.png,3640,910,에이블 시스터즈,에이블 시스터즈에만,White,Black,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen3.png,일 년 내내,우아한,포멀,White,Yes
9161,ancient belted robe,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukumen4.png,3640,910,에이블 시스터즈,에이블 시스터즈에만,Purple,Black,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukumen4.png,일 년 내내,우아한,포멀,Purple,Yes
5519,ancient sashed robe,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukuwomen0.png,2520,630,에이블 시스터즈,에이블 시스터즈에만,Green,Red,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen0.png,일 년 내내,우아한,포멀,Green,Yes
9162,ancient sashed robe,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukuwomen1.png,2520,630,에이블 시스터즈,에이블 시스터즈에만,Pink,Purple,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen1.png,일 년 내내,우아한,포멀,Pink,Yes
9163,ancient sashed robe,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukuwomen2.png,2520,630,에이블 시스터즈,에이블 시스터즈에만,Pink,Red,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen2.png,일 년 내내,우아한,포멀,Red,Yes
9164,ancient sashed robe,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukuwomen3.png,2520,630,에이블 시스터즈,에이블 시스터즈에만,Light blue,Blue,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen3.png,일 년 내내,우아한,포멀,Blue,Yes
9165,ancient sashed robe,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKanpukuwomen4.png,2520,630,에이블 시스터즈,에이블 시스터즈에만,Purple,Purple,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKanpukuwomen4.png,일 년 내내,우아한,포멀,Purple,Yes
3493,áo dài,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAodai0.png,2520,630,에이블 시스터즈,에이블 시스터즈에만,White,White,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAodai0.png,일 년 내내,우아한,데일리#포멀,White,Yes
9141,áo dài,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAodai1.png,2520,630,에이블 시스터즈,에이블 시스터즈에만,Blue,White,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAodai1.png,일 년 내내,우아한,데일리#포멀,Navy blue,Yes
