Internal ID	Name	Storage Image	Buy	Sell	Source	Source Notes	Color 1	Color 2	Catalog	DIY	Size	Closet Image	Seasonal Availability	Style	Label Themes	Variation	Villager Equippable	Miles Price
5523	앤티크 부츠	https://acnhcdn.com/latest/FtrIcon/ShoesKneeAntique0.png	2640	660	에이블 시스터즈	고순이 임시 상점 또는 에이블 시스터즈	갈색	갈색	구매가능	No	1x1	https://acnhcdn.com/latest/ClosetIcon/ShoesKneeAntique0.png	일 년 내내	심플한	everyday; fairy tale	Brown	No	NA
11689	앤티크 부츠	https://acnhcdn.com/latest/FtrIcon/ShoesKneeAntique1.png	2640	660	에이블 시스터즈	고순이 임시 상점 또는 에이블 시스터즈	검정색	검정색	구매가능	No	1x1	https://acnhcdn.com/latest/ClosetIcon/ShoesKneeAntique1.png	일 년 내내	심플한	everyday; fairy tale	Black	No	NA
11690	앤티크 부츠	https://acnhcdn.com/latest/FtrIcon/ShoesKneeAntique2.png	2640	660	에이블 시스터즈	고순이 임시 상점 또는 에이블 시스터즈	베이지색	베이지색	구매가능	No	1x1	https://acnhcdn.com/latest/ClosetIcon/ShoesKneeAntique2.png	일 년 내내	심플한	everyday; fairy tale	Greige	No	NA
5472	아이언 아머 슈즈	https://acnhcdn.com/latest/FtrIcon/ShoesKneeKnightIron.png	NFS	3000	제작		회색	회색	비매품	Yes	1x1	https://acnhcdn.com/latest/ClosetIcon/ShoesKneeKnightIron.png	일 년 내내	쿨한	fairy tale; goth	Gray	No	NA
6043	바부슈	https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush0.png	560	140	패트릭		하늘색	하얀색	구매가능	No	1x1	https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush0.png	일 년 내내	귀여운	comfy; vacation	Blue	No	NA
10109	바부슈	https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush1.png	560	140	패트릭		주황색	하얀색	구매가능	No	1x1	https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush1.png	일 년 내내	귀여운	comfy; vacation	Orange	No	NA
10110	바부슈	https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush2.png	560	140	패트릭		분홍색	하얀색	구매가능	No	1x1	https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush2.png	일 년 내내	귀여운	comfy; vacation	Pink	No	NA
10111	바부슈	https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush3.png	560	140	패트릭		노란색	하얀색	구매가능	No	1x1	https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush3.png	일 년 내내	귀여운	comfy; vacation	Yellow	No	NA
10112	바부슈	https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush4.png	560	140	패트릭		회색	노란색	구매가능	No	1x1	https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush4.png	일 년 내내	귀여운	comfy; vacation	Gray	No	NA
10113	바부슈	https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush5.png	560	140	패트릭		보라색	노란색	구매가능	No	1x1	https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush5.png	일 년 내내	귀여운	comfy; vacation	Purple	No	NA
10114	바부슈	https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush6.png	560	140	패트릭		초록색	노란색	구매가능	No	1x1	https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush6.png	일 년 내내	귀여운	comfy; vacation	Mint	No	NA
10115	바부슈	https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush7.png	560	140	패트릭		빨간색	노란색	구매가능	No	1x1	https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush7.png	일 년 내내	귀여운	comfy; vacation	Red	No	NA
