Name,Image,Variation,Body Title,DIY,Customize,Kit Cost,Uses,Stack Size,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Variant ID,Internal ID
axe,https://acnhcdn.com/latest/FtrIcon/ToolAxe.png,NA,NA,Yes,No,NA,100,1,2500,625,None,None,1x1,Nook's Cranny; Crafting,,NA,2100
bamboo wand,https://acnhcdn.com/latest/FtrIcon/ToolStickBamboo.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,3900,None,None,1x1,Crafting,,NA,7590
bug wand,https://acnhcdn.com/latest/FtrIcon/ToolStcikInsect.png,NA,NA,No,No,NA,Unlimited,1,NFS,1500,None,None,1x1,Bug-Off,,NA,8769
Bunny Day wand,https://acnhcdn.com/latest/FtrIcon/ToolStickEgg.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,11100,None,None,1x1,Crafting,,NA,12578
cherry-blossom wand,https://acnhcdn.com/latest/FtrIcon/ToolStickCherryblossom.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,2700,None,None,1x1,Crafting,,NA,7589
colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_0_0.png,Yellow,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),0_0,8472
colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_1_0.png,Orange,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),1_0,8472
colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_2_0.png,Light blue,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),2_0,8472
colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_3_0.png,Pink,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),3_0,8472
colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_4_0.png,Green,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),4_0,8472
colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_5_0.png,Purple,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),5_0,8472
colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_6_0.png,White,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),6_0,8472
colorful fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodDuck_Remake_7_0.png,Gray,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),7_0,8472
colorful net,https://acnhcdn.com/latest/FtrIcon/ToolNetPattern_Remake_0_0.png,Yellow & orange,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),0_0,8177
colorful net,https://acnhcdn.com/latest/FtrIcon/ToolNetPattern_Remake_1_0.png,Red & yellow,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),1_0,8177
colorful net,https://acnhcdn.com/latest/FtrIcon/ToolNetPattern_Remake_2_0.png,Orange & blue,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),2_0,8177
colorful net,https://acnhcdn.com/latest/FtrIcon/ToolNetPattern_Remake_3_0.png,Pink & yellow,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),3_0,8177
colorful net,https://acnhcdn.com/latest/FtrIcon/ToolNetPattern_Remake_4_0.png,Green & blue,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),4_0,8177
colorful net,https://acnhcdn.com/latest/FtrIcon/ToolNetPattern_Remake_5_0.png,Purple & pink,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),5_0,8177
colorful net,https://acnhcdn.com/latest/FtrIcon/ToolNetPattern_Remake_6_0.png,White & blue,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),6_0,8177
colorful net,https://acnhcdn.com/latest/FtrIcon/ToolNetPattern_Remake_7_0.png,Gray & green,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),7_0,8177
colorful shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopColorful_Remake_0_0.png,Yellow,Color,No,Yes,1,100,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),0_0,8577
colorful shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopColorful_Remake_1_0.png,Red,Color,No,Yes,1,100,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),1_0,8577
colorful shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopColorful_Remake_2_0.png,Blue,Color,No,Yes,1,100,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),2_0,8577
