Internal ID,Name,Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,HHA Concept 1,HHA Concept 2,HHA Series,Miles Price
7356,aluminum rug,https://acnhcdn.com/latest/FtrIcon/RugRectAluminumM00.png,1500,375,사하라,Medium rug,Gray,Gray,For sale,No,3x2 ,garden,outdoors,None,NA
7327,apple rug,https://acnhcdn.com/latest/FtrIcon/RugOtherAppleM00.png,NFS,1200,Crafting,Medium rug,Red,Red,Not for sale,Yes,3x3 ,fancy,child's room,fruits,NA
12214,Bell-bag rug,https://acnhcdn.com/latest/FtrIcon/RugOtherBellM00.png,NFS,6000,너굴 마일 교환,Medium rug,None,None,Not for sale,No,3x3,expensive,None,None,1200
11104,black blocks rug,https://acnhcdn.com/latest/FtrIcon/RugSquareBlockM03.png,1500,375,사하라,Medium rug,Black,Gray,For sale,No,3x3 ,living room,None,None,NA
7382,black wooden-deck rug,https://acnhcdn.com/latest/FtrIcon/RugRectDeckM03.png,1500,375,사하라,Medium rug,Black,Black,For sale,No,3x2 ,outdoors,None,None,NA
7594,black-design kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectNativeKitchenS03.png,1000,250,사하라,Small rug,Black,Orange,For sale,No,2x1 ,kitchen,None,None,NA
8467,blue argyle rug,https://acnhcdn.com/latest/FtrIcon/RugRectArgyleL02.png,2000,500,사하라,Large rug,Blue,Green,For sale,No,4x3 ,living room,expensive,None,NA
11102,blue blocks rug,https://acnhcdn.com/latest/FtrIcon/RugSquareBlockM01.png,1500,375,사하라,Medium rug,Blue,Blue,For sale,No,3x3 ,living room,None,None,NA
7467,blue dotted rug,https://acnhcdn.com/latest/FtrIcon/RugRectDotL03.png,2000,500,사하라,Large rug,Blue,Blue,For sale,No,4x3 ,fancy,child's room,None,NA
9316,blue kilim-style carpet,https://acnhcdn.com/latest/FtrIcon/RugSquareKirimL01.png,2000,500,사하라,Large rug,Blue,Black,For sale,No,5x5 ,living room,None,None,NA
8394,blue kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectKitchenS02.png,1000,250,사하라,Small rug,Blue,Blue,For sale,No,2x1 ,kitchen,None,None,NA
9546,blue medium round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleM02.png,1500,375,사하라,Medium rug,Blue,Blue,For sale,No,3x3 ,living room,child's room,None,NA
9310,blue message mat,https://acnhcdn.com/latest/FtrIcon/RugOtherMessageS01.png,1000,250,사하라,Small rug,Blue,Blue,For sale,No,2x1 ,child's room,None,None,NA
8035,blue Persian rug,https://acnhcdn.com/latest/FtrIcon/RugSquarePersianL01.png,2000,500,사하라,Large rug,Blue,Beige,For sale,No,5x5 ,expensive,living room,None,NA
9564,blue shaggy rug,https://acnhcdn.com/latest/FtrIcon/RugSquareShaggyL02.png,2000,500,사하라,Large rug,Blue,Blue,For sale,No,5x5 ,living room,None,None,NA
9549,blue small round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleS02.png,1000,250,사하라,Small rug,Blue,Blue,For sale,No,2x2 ,living room,child's room,None,NA
7533,blue stripes rug,https://acnhcdn.com/latest/FtrIcon/RugRectBorderL02.png,2000,500,사하라,Large rug,Blue,White,For sale,No,4x3 ,fancy,child's room,None,NA
7404,blue vinyl sheet,https://acnhcdn.com/latest/FtrIcon/RugRectVinylM01.png,1500,375,사하라,Medium rug,Blue,Colorful,For sale,No,3x2 ,garden,None,None,NA
7458,blue wavy rug,https://acnhcdn.com/latest/FtrIcon/RugRectWaveL02.png,2000,500,사하라,Large rug,Blue,Light blue,For sale,No,4x3 ,living room,child's room,None,NA
12462,blue wedding rug,https://acnhcdn.com/latest/FtrIcon/RugRectJuneBrideM00.png,1500,375,,Medium rug,None,None,Not for sale,No,3x2,party,expensive,wedding,NA
7595,blue-design kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectNativeKitchenS01.png,1000,250,사하라,Small rug,Blue,Black,For sale,No,2x1 ,kitchen,None,None,NA
7353,botanical rug,https://acnhcdn.com/latest/FtrIcon/RugRectBotanicalL00.png,2000,500,사하라,Large rug,Green,Green,For sale,No,4x3 ,living room,None,None,NA
8468,brown argyle rug,https://acnhcdn.com/latest/FtrIcon/RugRectArgyleL03.png,2000,500,사하라,Large rug,Brown,Yellow,For sale,No,4x3 ,living room,expensive,None,NA
7341,brown kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectKitchenS00.png,1000,250,사하라,Small rug,Brown,Brown,For sale,No,2x1 ,kitchen,None,None,NA
9563,brown shaggy rug,https://acnhcdn.com/latest/FtrIcon/RugSquareShaggyL01.png,2000,500,사하라,Large rug,Brown,Brown,For sale,No,5x5 ,living room,None,None,NA
7323,brown wooden-deck rug,https://acnhcdn.com/latest/FtrIcon/RugRectDeckM00.png,1500,375,사하라,Medium rug,Brown,Brown,For sale,No,3x2 ,outdoors,None,None,NA
7546,Bunny Day rug,https://acnhcdn.com/latest/FtrIcon/RugOtherEasterM00.png,NFS,2400,Crafting,,None,None,Not for sale,Yes,3x3,fancy,child's room,Bunny Day,NA
7328,cherry rug,https://acnhcdn.com/latest/FtrIcon/RugOtherCherryM00.png,NFS,1200,Crafting,,Red,Red,Not for sale,Yes,3x3 ,fancy,child's room,fruits,NA
7359,colorful vinyl sheet,https://acnhcdn.com/latest/FtrIcon/RugRectVinylM00.png,1500,375,사하라,Medium rug,Colorful,Colorful,For sale,No,3x2 ,garden,None,None,NA
11114,dark bamboo rug,https://acnhcdn.com/latest/FtrIcon/RugRectBambooM01.png,NFS,960,Crafting,,Brown,Brown,Not for sale,Yes,3x2 ,zen-style,None,None,NA
7357,Earth rug,https://acnhcdn.com/latest/FtrIcon/RugRoundEarthM00.png,1500,375,사하라,Medium rug,Blue,White,For sale,No,3x3 ,space,child's room,None,NA
7361,fish rug,https://acnhcdn.com/latest/FtrIcon/RugOtherFishM00.png,NFS,375,낚시대회,,Light blue,Light blue,Not for sale,No,3x3 ,ocean,child's room,None,NA
7329,fluffy rug,https://acnhcdn.com/latest/FtrIcon/RugOtherCloudM00.png,1500,375,사하라,Medium rug,White,White,For sale,No,3x3 ,fancy,child's room,None,NA
7366,fossil rug,https://acnhcdn.com/latest/FtrIcon/RugOtherFossilM00.png,1500,375,사하라,Medium rug,Purple,White,For sale,No,3x3 ,fancy,child's room,None,NA
7464,green checked rug,https://acnhcdn.com/latest/FtrIcon/RugSquareCheckQuiltL03.png,2000,500,사하라,Large rug,Green,Purple,For sale,No,4x4 ,living room,child's room,None,NA
9314,green kilim-style carpet,https://acnhcdn.com/latest/FtrIcon/RugSquareKirimL02.png,2000,500,사하라,Large rug,Green,Green,For sale,No,5x5 ,living room,None,None,NA
8393,green kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectKitchenS03.png,1000,250,사하라,Small rug,Green,Green,For sale,No,2x1 ,kitchen,None,None,NA
7354,green shaggy rug,https://acnhcdn.com/latest/FtrIcon/RugSquareShaggyL00.png,2000,500,사하라,Large rug,Green,Green,For sale,No,5x5 ,living room,None,None,NA
7534,green stripes rug,https://acnhcdn.com/latest/FtrIcon/RugRectBorderL03.png,2000,500,사하라,Large rug,Green,White,For sale,No,4x3 ,fancy,child's room,None,NA
7337,iron entrance mat,https://acnhcdn.com/latest/FtrIcon/RugRectIronmatS00.png,1000,250,사하라,Small rug,Black,Black,For sale,No,2x1 ,shop,expensive,iron,NA
7325,ivory medium round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleM00.png,1500,375,사하라,Medium rug,Beige,White,For sale,No,3x3 ,living room,child's room,None,NA
7333,ivory simple bath mat,https://acnhcdn.com/latest/FtrIcon/RugRectBathmatS00.png,1000,250,사하라,Small rug,Beige,Beige,For sale,No,2x1 ,bathroom,None,None,NA
7334,ivory small round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleS00.png,1000,250,사하라,Small rug,Beige,White,For sale,No,2x2 ,living room,child's room,None,NA
7368,lacy rug,https://acnhcdn.com/latest/FtrIcon/RugRoundLaceM00.png,1500,375,사하라,Medium rug,Beige,White,For sale,No,3x3 ,fancy,expensive,None,NA
7360,ladybug rug,https://acnhcdn.com/latest/FtrIcon/RugRoundLadybirdM00.png,NFS,375,곤충채집대회,,Red,Black,Not for sale,No,3x3 ,fancy,child's room,None,NA
11113,light bamboo rug,https://acnhcdn.com/latest/FtrIcon/RugRectBambooM00.png,NFS,2400,Crafting,,Beige,Brown,Not for sale,Yes,3x2 ,zen-style,None,None,NA
7367,magic-circle rug,https://acnhcdn.com/latest/FtrIcon/RugRoundMagicM00.png,1500,375,사하라,Medium rug,Purple,Purple,For sale,No,3x3 ,horror,child's room,None,NA
7350,modern wavy rug,https://acnhcdn.com/latest/FtrIcon/RugRectWaveL00.png,2000,500,사하라,Large rug,Colorful,Colorful,For sale,No,4x3 ,living room,child's room,None,NA
7402,Mom's cool kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectMomS00.png,NFS,88,엄마,,Light blue,Light blue,Not for sale,No,2x1 ,fancy,kitchen,motherly,NA
9543,Mom's lively kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectMomS02.png,NFS,88,엄마,,Yellow,Yellow,Not for sale,No,2x1 ,fancy,kitchen,motherly,NA
9542,Mom's playful kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectMomS01.png,NFS,88,엄마,,Pink,Pink,Not for sale,No,2x1 ,fancy,kitchen,motherly,NA
9541,Mom's reliable kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectMomS03.png,NFS,88,엄마,,Purple,Purple,Not for sale,No,2x1 ,fancy,kitchen,motherly,NA
7349,monochromatic dotted rug,https://acnhcdn.com/latest/FtrIcon/RugRectDotL00.png,2000,500,사하라,Large rug,Black,White,For sale,No,4x3 ,fancy,child's room,None,NA
7456,monochromatic wavy rug,https://acnhcdn.com/latest/FtrIcon/RugRectWaveL01.png,2000,500,사하라,Large rug,Black,White,For sale,No,4x3 ,living room,child's room,None,NA
7363,mush rug,https://acnhcdn.com/latest/FtrIcon/RugOtherMushM00.png,1500,375,사하라,Medium rug,Red,Red,For sale,No,3x3 ,fancy,child's room,mush,NA
7380,natural wooden-deck rug,https://acnhcdn.com/latest/FtrIcon/RugRectDeckM01.png,1500,375,사하라,Medium rug,Brown,Brown,For sale,No,3x2 ,outdoors,None,None,NA
12325,Nook Inc. botanical rug,https://acnhcdn.com/latest/FtrIcon/RugOtherTanukiM00.png,NFS,5000,너굴 마일 교환,Medium rug,None,None,Not for sale,No,3x3,fancy,living room,None,1000
7364,Nook Inc. rug,https://acnhcdn.com/latest/FtrIcon/RugOtherLeafM00.png,NFS,5000,너굴 마일 교환,Medium rug,Green,Green,Not for sale,No,3x3 ,fancy,child's room,None,1000
12396,Nook Inc. silk rug,https://acnhcdn.com/latest/FtrIcon/RugRectTanukiL00.png,NFS,3000,너굴 마일 교환,Large rug,None,None,Not for sale,No,4x3,facility,shop,None,600
7330,orange rug,https://acnhcdn.com/latest/FtrIcon/RugOtherOrangeM00.png,NFS,1200,Crafting,Medium rug,Orange,Orange,Not for sale,Yes,3x3 ,fancy,child's room,fruits,NA
7370,oval entrance mat,https://acnhcdn.com/latest/FtrIcon/RugOtherCountryS00.png,1000,250,사하라,Small rug,Blue,Blue,For sale,No,2x1 ,living room,None,None,NA
7463,peach checked rug,https://acnhcdn.com/latest/FtrIcon/RugSquareCheckQuiltL02.png,2000,500,사하라,Large rug,Pink,Light blue,For sale,No,4x4 ,living room,child's room,None,NA
