Internal ID,Name,Storage Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Closet Image,Seasonal Availability,Style,Label Themes,Variation,Type,Villager Equippable,Miles Price
5315,acorn knit cap,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn0.png,880,220,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Brown,Brown,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn0.png,All Year,Cute,everyday; comfy,Chestnut,HeadCap,Yes,NA
10933,acorn knit cap,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn1.png,880,220,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Yellow,Yellow,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn1.png,All Year,Cute,everyday; comfy,Mustard,HeadCap,Yes,NA
10934,acorn knit cap,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn2.png,880,220,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Green,Green,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn2.png,All Year,Cute,everyday; comfy,Avocado,HeadCap,Yes,NA
10935,acorn knit cap,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn3.png,880,220,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Red,Red,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn3.png,All Year,Cute,everyday; comfy,Berry red,HeadCap,Yes,NA
10936,acorn knit cap,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn4.png,880,220,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Blue,Blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn4.png,All Year,Cute,everyday; comfy,Navy blue,HeadCap,Yes,NA
10937,acorn knit cap,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn5.png,880,220,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Beige,Beige,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn5.png,All Year,Cute,everyday; comfy,Cream,HeadCap,Yes,NA
5295,alpinist hat,https://acnhcdn.com/latest/FtrIcon/CapHatTyrolean0.png,NFS,500,Gulliver,,Green,Green,Not for sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatTyrolean0.png,All Year,Simple,everyday; formal,Green,HeadCap,Yes,NA
11884,alpinist hat,https://acnhcdn.com/latest/FtrIcon/CapHatTyrolean1.png,NFS,500,Gulliver,,Blue,Light blue,Not for sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatTyrolean1.png,All Year,Simple,everyday; formal,Blue,HeadCap,Yes,NA
11885,alpinist hat,https://acnhcdn.com/latest/FtrIcon/CapHatTyrolean2.png,NFS,500,Gulliver,,Red,Pink,Not for sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatTyrolean2.png,All Year,Simple,everyday; formal,Red,HeadCap,Yes,NA
6048,ancient administrator hat,https://acnhcdn.com/latest/FtrIcon/CapHatKanboBlack.png,NFS,800,Gulliver,,Black,Black,Not for sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatKanboBlack.png,All Year,Elegant,formal; work,Black,HeadCap,Yes,NA
9871,apple hat,https://acnhcdn.com/latest/FtrIcon/CapHatApple0.png,NFS,1000,Crafting,,Red,Yellow,Not for sale,Yes,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatApple0.png,All Year,Cute,fairy tale; party; theatrical,Red,HeadCap,Yes,NA
9864,Aran-knit cap,https://acnhcdn.com/latest/FtrIcon/CapHatAlan0.png,880,220,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,White,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatAlan0.png,Winter,Simple,everyday; outdoorsy; comfy,White,HeadCap,Yes,NA
12045,Aran-knit cap,https://acnhcdn.com/latest/FtrIcon/CapHatAlan1.png,880,220,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Red,Red,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatAlan1.png,Winter,Simple,everyday; outdoorsy; comfy,Red,HeadCap,Yes,NA
