Fence,Music,Posters,Photos,Rugs,Floors,Wallpapers,Wall-mounted,Miscellaneous,Housewares,,Tool,,Tops,Bottoms,Dress-Up,Headwear,Accessories,Socks,Shoes,Bags,Umbrellas
Internal ID,Internal ID,Internal ID,Internal ID,Internal ID,Internal ID,Internal ID,Internal ID,Internal ID,Internal ID,,Internal ID,,Internal ID,Internal ID,Internal ID,Internal ID,Internal ID,Internal ID,Internal ID,Internal ID,Internal ID
Name,Name,Name,Name,Name,Name,Name,Name,Name,Name,,Name,,Name,Name,Name,Name,Name,Name,Name,Name,Name
Image,Framed Image,Image,Image,Image,Image,Image,Image,Image,Image,,Image,,Storage Image,Storage Image,Storage Image,Storage Image,Storage Image,Storage Image,Storage Image,Storage Image,Storage Image
Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,,Buy,,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy
Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,,Sell,,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell,Sell
Source,Source,Source,Source,Source,Source,Source,Source,Source,Source,,Source,,Source,Source,Source,Source,Source,Source,Source,Source,Source
Source Notes,Source Notes,Source Notes,Source Notes,Source Notes,Source Notes,Source Notes,Source Notes,Source Notes,Source Notes,,Source Notes,,Source Notes,Source Notes,Source Notes,Source Notes,Source Notes,Source Notes,Source Notes,Source Notes,Source Notes
,,,,,,,,,,,,,,,,,,,,,
,Color 1,Color 1,Color 1,Color 1,Color 1,Color 1,Color 1,Color 1,Color 1,,Color 1,,Color 1,Color 1,Color 1,Color 1,Color 1,Color 1,Color 1,Color 1,Color 1
,Color 2,Color 2,Color 2,Color 2,Color 2,Color 2,Color 2,Color 2,Color 2,,Color 2,,Color 2,Color 2,Color 2,Color 2,Color 2,Color 2,Color 2,Color 2,Color 2
,Catalog,Catalog,Catalog,Catalog,Catalog,Catalog,Catalog,Catalog,Catalog,,,,Catalog,Catalog,Catalog,Catalog,Catalog,Catalog,Catalog,Catalog,Catalog
DIY,,,DIY,DIY,DIY,DIY,DIY,DIY,DIY,,DIY,,DIY,DIY,DIY,DIY,DIY,DIY,DIY,DIY,DIY
,Size,Size,Size,Size,,,Size,Size,Size,,Size,,Size,Size,Size,Size,Size,Size,Size,Size,Size
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Tag,Tag,Tag,Tag,Tag,Tag,,,,,,,,,,,,
,Album Image,,,,,,,,,,,,Closet Image,Closet Image,Closet Image,Closet Image,Closet Image,Closet Image,Closet Image,Closet Image,Closet Image
,,,Variant ID,,,,Variant ID,Variant ID,Variant ID,,Variant ID,,Seasonal Availability,Seasonal Availability,Seasonal Availability,Seasonal Availability,Seasonal Availability,Seasonal Availability,Seasonal Availability,Seasonal Availability,
,,,Variation,,,,Variation,Variation,Variation,,Variation,,Style,Style,Style,Style,Style,Style,Style,Style,
,,,Body Title,,,,Body Title,Body Title,Body Title,,,,Label Themes,Label Themes,Label Themes,Label Themes,Label Themes,Label Themes,Label Themes,Label Themes,
,,,Pattern,,,,Pattern,Pattern,Pattern,,,,Variation,Variation,Variation,Variation,Variation,Variation,Variation,Variation,
,,,Pattern Title,,,,Pattern Title,Pattern Title,Pattern Title,,,,,,,,,,,,
,,,Kit Cost,,,,Kit Cost,Kit Cost,Kit Cost,,Kit Cost,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,HHA Concept 1,HHA Concept 1,HHA Concept 1,HHA Concept 1,HHA Concept 1,HHA Concept 1,,Body Title,,,,,,,,,,
,,,,HHA Concept 2,HHA Concept 2,HHA Concept 2,HHA Concept 2,HHA Concept 2,HHA Concept 2,,,,,,Primary Shape,Type,Type,,,,
,,,,HHA Series,HHA Series,HHA Series,HHA Series,HHA Series,HHA Series,,Customize,,,,Secondary Shape,,,,,,
,,,,,,,HHA Set,HHA Set,HHA Set,,,,,,,,,,,,
,,,,,,,,,,,Uses,,,,,,,,,,
,,,,,,,,,,,Stack Size,,,,,,,,,,
,,,Customize,,,Window Type,Body Customize,Body Customize,Body Customize,,,,,,,,,,,,
,,,,,,Window Color,Pattern Customize,Pattern Customize,Pattern Customize,,,,,,,,,,,,
,,,,,,Pane Type,,,,,,,,,,,,,,,
,,,,,,Curtain Type,,,,,,,,,,,,,,,
,,,,,,Curtain Color,,,,,,,,,,,,,,,
,,,,,,Ceiling Type,,,,,,,,,,,,,,,
,,,,,VFX,VFX,Door Deco,Door Deco,,,,,,,,,,,,,
