Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Seasonal Availability,Style,Label Themes,Catalog,Internal ID
acid-washed jeans,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalChemical0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalChemical0.png,Blue,No,1320,330,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Simple,everyday; outdoorsy,For sale,5286
acid-washed jeans,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalChemical1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalChemical1.png,Black,No,1320,330,Black,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Simple,everyday; outdoorsy,For sale,11385
animal-stripes skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxStripe0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxStripe0.png,Tiger,No,1100,275,Yellow,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Cool,everyday,For sale,9842
animal-stripes skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxStripe1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxStripe1.png,Zebra,No,1100,275,Gray,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Cool,everyday,For sale,12067
apron skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxApron0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxApron0.png,Purple,No,700,175,White,Purple,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Simple,work,For sale,5710
apron skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxApron1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxApron1.png,Blue,No,700,175,White,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Simple,work,For sale,8921
apron skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxApron2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxApron2.png,Beige,No,700,175,White,Beige,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Simple,work,For sale,8922
athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey0.png,Red,No,880,220,Red,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,outdoorsy; comfy; sporty,For sale,3311
athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey1.png,Green,No,880,220,Green,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,outdoorsy; comfy; sporty,For sale,11295
athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey2.png,Black,No,880,220,Black,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,outdoorsy; comfy; sporty,For sale,11296
athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey3.png,Blue,No,880,220,Blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,outdoorsy; comfy; sporty,For sale,11297
