Internal ID,Name,Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Variant ID,Variation,Body Title,Pattern,Pattern Title,Kit Cost,Body Customize,Pattern Customize,Outdoor
3948,accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_0_0.png,1500,375,너굴 상점,너굴상점의 구매 제한 없는 상품,하얀색,컬러풀,구매가능,No,1x1,0_0,White,NA,NA,NA,NA,No,No,No
3948,accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_1_0.png,1500,375,너굴 상점,너굴상점의 구매 제한 없는 상품,분홍색,컬러풀,구매가능,No,1x1,1_0,Pink,NA,NA,NA,NA,No,No,No
3948,accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_2_0.png,1500,375,너굴 상점,너굴상점의 구매 제한 없는 상품,검정색,컬러풀,구매가능,No,1x1,2_0,Black,NA,NA,NA,NA,No,No,No
3948,accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_3_0.png,1500,375,너굴 상점,너굴상점의 구매 제한 없는 상품,갈색,컬러풀,구매가능,No,1x1,3_0,Brown,NA,NA,NA,NA,No,No,No
3948,accessories stand,https://acnhcdn.com/latest/FtrIcon/FtrJewelrystand_Remake_4_0.png,1500,375,너굴 상점,너굴상점의 구매 제한 없는 상품,하늘색,컬러풀,구매가능,No,1x1,4_0,Light blue,NA,NA,NA,NA,No,No,No
12579,ACNH Nintendo Switch,https://acnhcdn.com/latest/FtrIcon/FtrSwitchAC.png,35960,8990,닌텐도# 너굴 쇼핑,,초록색,하늘색,구매가능,No,1x1,NA,NA,NA,NA,NA,NA,No,No,No
7080,agrias butterfly model,https://acnhcdn.com/latest/FtrIcon/FtrInsectMiirotatehaToy.png,NFS,9000,레온,같은 곤충 3개 주고 다음 날 우편으로 받기,분홍색,보라색,비매품,No,1x1,NA,NA,NA,NA,NA,NA,No,No,No
7453,aluminum briefcase,https://acnhcdn.com/latest/FtrIcon/FtrDuralumincase_Remake_0_0.png,100000,25000,너굴 상점,증축 후 너굴상점의 세 번째 가구 영역,회색,노란색,구매가능,No,1x1,0_0,Stacks of cash,NA,NA,NA,NA,No,No,No
7453,aluminum briefcase,https://acnhcdn.com/latest/FtrIcon/FtrDuralumincase_Remake_1_0.png,100000,25000,너굴 상점,증축 후 너굴상점의 세 번째 가구 영역,회색,노란색,구매가능,No,1x1,1_0,Gold bars,NA,NA,NA,NA,No,No,No
849,amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_0_0.png,5100,1275,너굴 상점,너굴상점의 구매 제한 없는 상품,검정색,갈색,구매가능,No,1x1,0_0,Black,NA,NA,NA,NA,No,No,No
849,amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_1_0.png,5100,1275,너굴 상점,너굴상점의 구매 제한 없는 상품,하얀색,회색,구매가능,No,1x1,1_0,White,NA,NA,NA,NA,No,No,No
849,amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_2_0.png,5100,1275,너굴 상점,너굴상점의 구매 제한 없는 상품,주황색,검정색,구매가능,No,1x1,2_0,Orange,NA,NA,NA,NA,No,No,No
849,amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_3_0.png,5100,1275,너굴 상점,너굴상점의 구매 제한 없는 상품,갈색,베이지색,구매가능,No,1x1,3_0,Brown,NA,NA,NA,NA,No,No,No
849,amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_4_0.png,5100,1275,너굴 상점,너굴상점의 구매 제한 없는 상품,파란색,검정색,구매가능,No,1x1,4_0,Blue,NA,NA,NA,NA,No,No,No
849,amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_5_0.png,5100,1275,너굴 상점,너굴상점의 구매 제한 없는 상품,빨간색,검정색,구매가능,No,1x1,5_0,Red,NA,NA,NA,NA,No,No,No
849,amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_6_0.png,5100,1275,너굴 상점,너굴상점의 구매 제한 없는 상품,분홍색,회색,구매가능,No,1x1,6_0,Pink,NA,NA,NA,NA,No,No,No
3993,analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_0_0.png,1100,275,너굴 상점,너굴상점의 구매 제한 없는 상품,빨간색,하얀색,구매가능,No,1x1,0_0,Red,NA,NA,NA,NA,No,No,No
3993,analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_1_0.png,1100,275,너굴 상점,너굴상점의 구매 제한 없는 상품,노란색,하얀색,구매가능,No,1x1,1_0,Yellow,NA,NA,NA,NA,No,No,No
3993,analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_2_0.png,1100,275,너굴 상점,너굴상점의 구매 제한 없는 상품,초록색,하얀색,구매가능,No,1x1,2_0,Green,NA,NA,NA,NA,No,No,No
3993,analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_3_0.png,1100,275,너굴 상점,너굴상점의 구매 제한 없는 상품,파란색,하얀색,구매가능,No,1x1,3_0,Blue,NA,NA,NA,NA,No,No,No
3993,analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_4_0.png,1100,275,너굴 상점,너굴상점의 구매 제한 없는 상품,분홍색,하얀색,구매가능,No,1x1,4_0,Pink,NA,NA,NA,NA,No,No,No
3993,analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_5_0.png,1100,275,너굴 상점,너굴상점의 구매 제한 없는 상품,노란색,하얀색,구매가능,No,1x1,5_0,Ivory,NA,NA,NA,NA,No,No,No
3993,analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_6_0.png,1100,275,너굴 상점,너굴상점의 구매 제한 없는 상품,하늘색,하얀색,구매가능,No,1x1,6_0,Light blue,NA,NA,NA,NA,No,No,No
3993,analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_7_0.png,1100,275,너굴 상점,너굴상점의 구매 제한 없는 상품,검정색,하얀색,구매가능,No,1x1,7_0,Black,NA,NA,NA,NA,No,No,No
6999,anchovy model,https://acnhcdn.com/latest/FtrIcon/FtrFishAntyobiToy.png,NFS,600,저스틴,같은 물고기 3개 주고 다음 날 우편으로 받기,파란색,검정색,비매품,No,1x1,NA,NA,NA,NA,NA,NA,No,No,No
6933,angelfish model,https://acnhcdn.com/latest/FtrIcon/FtrFishAngelfishToy.png,NFS,9000,저스틴,같은 물고기 3개 주고 다음 날 우편으로 받기,노란색,검정색,비매품,No,1x1,NA,NA,NA,NA,NA,NA,No,No,No
11866,ant farm,https://acnhcdn.com/latest/FtrIcon/FtrInsectAriFarm.png,1400,350,너굴 상점,증축 후 너굴상점의 일반 가구 영역,초록색,갈색,구매가능,No,1x1,NA,NA,NA,NA,NA,NA,No,No,No
7053,ant model,https://acnhcdn.com/latest/FtrIcon/FtrInsectAriToy.png,NFS,240,레온,같은 곤충 3개 주고 다음 날 우편으로 받기,검정색,검정색,비매품,No,1x1,NA,NA,NA,NA,NA,NA,No,No,No
3949,anthurium plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantAnthurium_Remake_0_0.png,990,247,너굴 상점,너굴상점의 구매 제한 없는 상품,빨간색,초록색,구매가능,No,1x1,0_0,White,NA,NA,NA,NA,No,No,No
3949,anthurium plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantAnthurium_Remake_1_0.png,990,247,너굴 상점,너굴상점의 구매 제한 없는 상품,빨간색,초록색,구매가능,No,1x1,1_0,Brown,NA,NA,NA,NA,No,No,No
3949,anthurium plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantAnthurium_Remake_2_0.png,990,247,너굴 상점,너굴상점의 구매 제한 없는 상품,빨간색,초록색,구매가능,No,1x1,2_0,Light blue,NA,NA,NA,NA,No,No,No
3949,anthurium plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantAnthurium_Remake_3_0.png,990,247,너굴 상점,너굴상점의 구매 제한 없는 상품,분홍색,초록색,구매가능,No,1x1,3_0,Pink,NA,NA,NA,NA,No,No,No
3949,anthurium plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantAnthurium_Remake_4_0.png,990,247,너굴 상점,너굴상점의 구매 제한 없는 상품,하얀색,초록색,구매가능,No,1x1,4_0,Black,NA,NA,NA,NA,No,No,No
7006,arapaima model,https://acnhcdn.com/latest/FtrIcon/FtrFishPirarukuToy.png,NFS,30000,저스틴,같은 물고기 3개 주고 다음 날 우편으로 받기,검정색,검정색,비매품,No,2x1,NA,NA,NA,NA,NA,NA,No,No,No
1753,aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_0_0.png,NFS,600,제작,,하얀색,하늘색,비매품,Yes,1x1,0_0,White,Variation,NA,NA,1,Yes,No,No
1753,aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_1_0.png,NFS,600,제작,,갈색,주황색,비매품,Yes,1x1,1_0,Brown,Variation,NA,NA,1,Yes,No,No
1753,aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_2_0.png,NFS,600,제작,,초록색,초록색,비매품,Yes,1x1,2_0,Green,Variation,NA,NA,1,Yes,No,No
1753,aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_3_0.png,NFS,600,제작,,분홍색,분홍색,비매품,Yes,1x1,3_0,Pink,Variation,NA,NA,1,Yes,No,No
1753,aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_4_0.png,NFS,600,제작,,베이지색,초록색,비매품,Yes,1x1,4_0,Cream,Variation,NA,NA,1,Yes,No,No
1753,aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_5_0.png,NFS,600,제작,,검정색,파란색,비매품,Yes,1x1,5_0,Black,Variation,NA,NA,1,Yes,No,No
6935,arowana model,https://acnhcdn.com/latest/FtrIcon/FtrFishArowanaToy.png,NFS,30000,저스틴,같은 물고기 3개 주고 다음 날 우편으로 받기,노란색,검정색,비매품,No,1x1,NA,NA,NA,NA,NA,NA,No,No,No
1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_0_0.png,1800,450,너굴 상점,너굴상점의 구매 제한 없는 상품,베이지색,하얀색,구매가능,No,1x1,0_0,Cream,NA,None,Shirt,1,No,Yes,No
1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_0_1.png,1800,450,너굴 상점,너굴상점의 구매 제한 없는 상품,베이지색,빨간색,구매가능,No,1x1,0_1,Cream,NA,Heart,Shirt,1,No,Yes,No
1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_0_2.png,1800,450,너굴 상점,너굴상점의 구매 제한 없는 상품,베이지색,파란색,구매가능,No,1x1,0_2,Cream,NA,Fish,Shirt,1,No,Yes,No
1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_0_3.png,1800,450,너굴 상점,너굴상점의 구매 제한 없는 상품,베이지색,노란색,구매가능,No,1x1,0_3,Cream,NA,Star,Shirt,1,No,Yes,No
1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_1_0.png,1800,450,너굴 상점,너굴상점의 구매 제한 없는 상품,베이지색,베이지색,구매가능,No,1x1,1_0,Caramel mocha,NA,None,Shirt,1,No,Yes,No
1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_1_1.png,1800,450,너굴 상점,너굴상점의 구매 제한 없는 상품,베이지색,빨간색,구매가능,No,1x1,1_1,Caramel mocha,NA,Heart,Shirt,1,No,Yes,No
1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_1_2.png,1800,450,너굴 상점,너굴상점의 구매 제한 없는 상품,베이지색,파란색,구매가능,No,1x1,1_2,Caramel mocha,NA,Fish,Shirt,1,No,Yes,No
1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_1_3.png,1800,450,너굴 상점,너굴상점의 구매 제한 없는 상품,베이지색,노란색,구매가능,No,1x1,1_3,Caramel mocha,NA,Star,Shirt,1,No,Yes,No
1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_2_0.png,1800,450,너굴 상점,너굴상점의 구매 제한 없는 상품,갈색,갈색,구매가능,No,1x1,2_0,Choco,NA,None,Shirt,1,No,Yes,No
1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_2_1.png,1800,450,너굴 상점,너굴상점의 구매 제한 없는 상품,갈색,빨간색,구매가능,No,1x1,2_1,Choco,NA,Heart,Shirt,1,No,Yes,No
1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_2_2.png,1800,450,너굴 상점,너굴상점의 구매 제한 없는 상품,갈색,파란색,구매가능,No,1x1,2_2,Choco,NA,Fish,Shirt,1,No,Yes,No
1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_2_3.png,1800,450,너굴 상점,너굴상점의 구매 제한 없는 상품,갈색,노란색,구매가능,No,1x1,2_3,Choco,NA,Star,Shirt,1,No,Yes,No
1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_3_0.png,1800,450,너굴 상점,너굴상점의 구매 제한 없는 상품,파란색,분홍색,구매가능,No,1x1,3_0,Floral,NA,None,Shirt,1,No,Yes,No
1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_3_1.png,1800,450,너굴 상점,너굴상점의 구매 제한 없는 상품,파란색,빨간색,구매가능,No,1x1,3_1,Floral,NA,Heart,Shirt,1,No,Yes,No
1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_3_2.png,1800,450,너굴 상점,너굴상점의 구매 제한 없는 상품,파란색,파란색,구매가능,No,1x1,3_2,Floral,NA,Fish,Shirt,1,No,Yes,No
1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_3_3.png,1800,450,너굴 상점,너굴상점의 구매 제한 없는 상품,파란색,노란색,구매가능,No,1x1,3_3,Floral,NA,Star,Shirt,1,No,Yes,No
1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_4_0.png,1800,450,너굴 상점,너굴상점의 구매 제한 없는 상품,노란색,하얀색,구매가능,No,1x1,4_0,Checkered,NA,None,Shirt,1,No,Yes,No
1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_4_1.png,1800,450,너굴 상점,너굴상점의 구매 제한 없는 상품,노란색,빨간색,구매가능,No,1x1,4_1,Checkered,NA,Heart,Shirt,1,No,Yes,No
1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_4_2.png,1800,450,너굴 상점,너굴상점의 구매 제한 없는 상품,노란색,노란색,구매가능,No,1x1,4_2,Checkered,NA,Fish,Shirt,1,No,Yes,No
1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_4_3.png,1800,450,너굴 상점,너굴상점의 구매 제한 없는 상품,노란색,하얀색,구매가능,No,1x1,4_3,Checkered,NA,Star,Shirt,1,No,Yes,No
1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_5_0.png,1800,450,너굴 상점,너굴상점의 구매 제한 없는 상품,컬러풀,컬러풀,구매가능,No,1x1,5_0,Tweed,NA,None,Shirt,1,No,Yes,No
1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_5_1.png,1800,450,너굴 상점,너굴상점의 구매 제한 없는 상품,컬러풀,빨간색,구매가능,No,1x1,5_1,Tweed,NA,Heart,Shirt,1,No,Yes,No
1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_5_2.png,1800,450,너굴 상점,너굴상점의 구매 제한 없는 상품,컬러풀,파란색,구매가능,No,1x1,5_2,Tweed,NA,Fish,Shirt,1,No,Yes,No
1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_5_3.png,1800,450,너굴 상점,너굴상점의 구매 제한 없는 상품,컬러풀,노란색,구매가능,No,1x1,5_3,Tweed,NA,Star,Shirt,1,No,Yes,No
9698,Baby panda,https://acnhcdn.com/latest/FtrIcon/FtrPandaS.png,1800,450,너굴 상점,너굴상점의 구매 제한 없는 상품,초록색,하얀색,구매가능,No,1x1,NA,NA,NA,NA,NA,NA,No,No,No
7082,bagworm model,https://acnhcdn.com/latest/FtrIcon/FtrInsectMinomushiToy.png,NFS,1800,레온,같은 곤충 3개 주고 다음 날 우편으로 받기,갈색,갈색,비매품,No,1x1,NA,NA,NA,NA,NA,NA,No,No,No
2010,ball,https://acnhcdn.com/latest/FtrIcon/FtrBall_Remake_0_0.png,520,130,너굴 상점,너굴상점의 구매 제한 없는 상품,주황색,검정색,구매가능,No,1x1,0_0,Basketball,NA,NA,NA,NA,No,No,Yes
2010,ball,https://acnhcdn.com/latest/FtrIcon/FtrBall_Remake_1_0.png,520,130,너굴 상점,너굴상점의 구매 제한 없는 상품,하얀색,검정색,구매가능,No,1x1,1_0,Soccer ball,NA,NA,NA,NA,No,No,Yes
2010,ball,https://acnhcdn.com/latest/FtrIcon/FtrBall_Remake_2_0.png,520,130,너굴 상점,너굴상점의 구매 제한 없는 상품,하얀색,하얀색,구매가능,No,1x1,2_0,Volleyball,NA,NA,NA,NA,No,No,Yes
2010,ball,https://acnhcdn.com/latest/FtrIcon/FtrBall_Remake_3_0.png,520,130,너굴 상점,너굴상점의 구매 제한 없는 상품,노란색,검정색,구매가능,No,1x1,3_0,Dodgeball,NA,NA,NA,NA,No,No,Yes
3554,bamboo candleholder,https://acnhcdn.com/latest/FtrIcon/FtrBambooCandle_Remake_0_0.png,NFS,880,제작,,초록색,베이지색,비매품,Yes,1x1,0_0,Green bamboo,Bamboo,NA,NA,2,Yes,No,No
3554,bamboo candleholder,https://acnhcdn.com/latest/FtrIcon/FtrBambooCandle_Remake_1_0.png,NFS,880,제작,,노란색,베이지색,비매품,Yes,1x1,1_0,Dried bamboo,Bamboo,NA,NA,2,Yes,No,No
3554,bamboo candleholder,https://acnhcdn.com/latest/FtrIcon/FtrBambooCandle_Remake_2_0.png,NFS,880,제작,,갈색,베이지색,비매품,Yes,1x1,2_0,Smoke-cured bamboo,Bamboo,NA,NA,2,Yes,No,No
4093,bamboo drum,https://acnhcdn.com/latest/FtrIcon/FtrBamboodrum_Remake_0_0.png,NFS,720,제작,,초록색,분홍색,비매품,Yes,1x1,0_0,Green bamboo,Bamboo,NA,NA,1,Yes,No,No
4093,bamboo drum,https://acnhcdn.com/latest/FtrIcon/FtrBamboodrum_Remake_1_0.png,NFS,720,제작,,노란색,주황색,비매품,Yes,1x1,1_0,Dried bamboo,Bamboo,NA,NA,1,Yes,No,No
4093,bamboo drum,https://acnhcdn.com/latest/FtrIcon/FtrBamboodrum_Remake_2_0.png,NFS,720,제작,,갈색,하늘색,비매품,Yes,1x1,2_0,Smoke-cured bamboo,Bamboo,NA,NA,1,Yes,No,No
5978,bamboo lunch box,https://acnhcdn.com/latest/FtrIcon/FtrBambooLunch_Remake_0_0.png,NFS,640,제작,,초록색,컬러풀,비매품,Yes,1x1,0_0,Green bamboo,Bamboo,NA,NA,1,Yes,No,No
5978,bamboo lunch box,https://acnhcdn.com/latest/FtrIcon/FtrBambooLunch_Remake_1_0.png,NFS,640,제작,,노란색,컬러풀,비매품,Yes,1x1,1_0,Dried bamboo,Bamboo,NA,NA,1,Yes,No,No
5978,bamboo lunch box,https://acnhcdn.com/latest/FtrIcon/FtrBambooLunch_Remake_2_0.png,NFS,640,제작,,갈색,컬러풀,비매품,Yes,1x1,2_0,Smoke-cured bamboo,Bamboo,NA,NA,1,Yes,No,No
5976,bamboo sphere,https://acnhcdn.com/latest/FtrIcon/FtrBambooBall_Remake_0_0.png,NFS,480,제작,,초록색,파란색,비매품,Yes,1x1,0_0,Green bamboo,Bamboo,NA,NA,1,Yes,No,No
5976,bamboo sphere,https://acnhcdn.com/latest/FtrIcon/FtrBambooBall_Remake_1_0.png,NFS,480,제작,,노란색,보라색,비매품,Yes,1x1,1_0,Dried bamboo,Bamboo,NA,NA,1,Yes,No,No
5976,bamboo sphere,https://acnhcdn.com/latest/FtrIcon/FtrBambooBall_Remake_2_0.png,NFS,480,제작,,갈색,하얀색,비매품,Yes,1x1,2_0,Smoke-cured bamboo,Bamboo,NA,NA,1,Yes,No,No
5977,bamboo-shoot lamp,https://acnhcdn.com/latest/FtrIcon/FtrBambooshootLamp.png,NFS,4900,제작,,갈색,베이지색,비매품,Yes,1x1,NA,NA,NA,NA,NA,NA,No,No,No
6959,barred knifejaw model,https://acnhcdn.com/latest/FtrIcon/FtrFishIshidaiToy.png,NFS,15000,저스틴,같은 물고기 3개 주고 다음 날 우편으로 받기,하얀색,검정색,비매품,No,1x1,NA,NA,NA,NA,NA,NA,No,No,No
6943,barreleye model,https://acnhcdn.com/latest/FtrIcon/FtrFishDemenigisuToy.png,NFS,45000,저스틴,같은 물고기 3개 주고 다음 날 우편으로 받기,검정색,검정색,비매품,No,1x1,NA,NA,NA,NA,NA,NA,No,No,No
9584,beach ball,https://acnhcdn.com/latest/FtrIcon/FtrBeachball_Remake_0_0.png,430,107,너굴 상점,"증축 전,후 너굴상점이나 너굴상점 오픈 이전 콩돌이&밤돌이",컬러풀,컬러풀,구매가능,No,1x1,0_0,Colorful,NA,NA,NA,NA,No,No,Yes
9584,beach ball,https://acnhcdn.com/latest/FtrIcon/FtrBeachball_Remake_1_0.png,430,107,너굴 상점,"증축 전,후 너굴상점이나 너굴상점 오픈 이전 콩돌이&밤돌이",파란색,하얀색,구매가능,No,1x1,1_0,Blue,NA,NA,NA,NA,No,No,Yes
9584,beach ball,https://acnhcdn.com/latest/FtrIcon/FtrBeachball_Remake_2_0.png,430,107,너굴 상점,"증축 전,후 너굴상점이나 너굴상점 오픈 이전 콩돌이&밤돌이",빨간색,하얀색,구매가능,No,1x1,2_0,Red,NA,NA,NA,NA,No,No,Yes
9584,beach ball,https://acnhcdn.com/latest/FtrIcon/FtrBeachball_Remake_3_0.png,430,107,너굴 상점,"증축 전,후 너굴상점이나 너굴상점 오픈 이전 콩돌이&밤돌이",초록색,검정색,구매가능,No,1x1,3_0,Watermelon,NA,NA,NA,NA,No,No,Yes
7096,bell cricket model,https://acnhcdn.com/latest/FtrIcon/FtrInsectSuzumushiToy.png,NFS,1290,레온,같은 곤충 3개 주고 다음 날 우편으로 받기,검정색,검정색,비매품,No,1x1,NA,NA,NA,NA,NA,NA,No,No,No
6937,betta model,https://acnhcdn.com/latest/FtrIcon/FtrFishBetaToy.png,NFS,7500,저스틴,같은 물고기 3개 주고 다음 날 우편으로 받기,하늘색,검정색,비매품,No,1x1,NA,NA,NA,NA,NA,NA,No,No,No
864,bingo wheel,https://acnhcdn.com/latest/FtrIcon/FtrBingo.png,1000,250,너굴 상점,너굴상점의 구매 제한 없는 상품,노란색,검정색,구매가능,No,1x1,NA,NA,NA,NA,NA,NA,No,No,No
3592,생일 cake,https://acnhcdn.com/latest/FtrIcon/Ftr생일Cake_Remake_0_0.png,NFS,100,생일,,하얀색,컬러풀,비매품,No,1x1,0_0,Whipped-cream topping,Variation,NA,NA,1,Yes,No,No
3592,생일 cake,https://acnhcdn.com/latest/FtrIcon/Ftr생일Cake_Remake_1_0.png,NFS,100,생일,,갈색,컬러풀,비매품,No,1x1,1_0,Chocolate buttercream,Variation,NA,NA,1,Yes,No,No
