Internal ID,Name,Storage Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Closet Image,Seasonal Availability,Style,Label Themes,Variation,Villager Equippable
5286,acid-washed jeans,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalChemical0.png,1320,330,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,파란색,파란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalChemical0.png,일 년 내내,심플한,데일리#아웃도어,Blue,No
11385,acid-washed jeans,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalChemical1.png,1320,330,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,검정색,검정색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalChemical1.png,일 년 내내,심플한,데일리#아웃도어,Black,No
9842,animal-stripes skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxStripe0.png,1100,275,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,노란색,검정색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxStripe0.png,일 년 내내,쿨한,데일리,Tiger,No
12067,animal-stripes skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxStripe1.png,1100,275,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,회색,검정색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxStripe1.png,일 년 내내,쿨한,데일리,Zebra,No
5710,apron skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxApron0.png,700,175,에이블 시스터즈,에이블 시스터즈에만,하얀색,보라색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxApron0.png,일 년 내내,심플한,비즈니스,Purple,No
8921,apron skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxApron1.png,700,175,에이블 시스터즈,에이블 시스터즈에만,하얀색,하늘색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxApron1.png,일 년 내내,심플한,비즈니스,Blue,No
8922,apron skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxApron2.png,700,175,에이블 시스터즈,에이블 시스터즈에만,하얀색,베이지색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxApron2.png,일 년 내내,심플한,비즈니스,Beige,No
3311,athletic pants,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey0.png,880,220,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,빨간색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey0.png,일 년 내내,활동적인,아웃도어#릴렉스#스포츠,Red,No
11295,athletic pants,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey1.png,880,220,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,초록색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey1.png,일 년 내내,활동적인,아웃도어#릴렉스#스포츠,Green,No
11296,athletic pants,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey2.png,880,220,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,검정색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey2.png,일 년 내내,활동적인,아웃도어#릴렉스#스포츠,Black,No
11297,athletic pants,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey3.png,880,220,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,파란색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey3.png,일 년 내내,활동적인,아웃도어#릴렉스#스포츠,Blue,No
11298,athletic pants,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey4.png,880,220,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,빨간색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey4.png,일 년 내내,활동적인,아웃도어#릴렉스#스포츠,Berry red,No
11299,athletic pants,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey5.png,880,220,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,파란색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey5.png,일 년 내내,활동적인,아웃도어#릴렉스#스포츠,Navy blue,No
4518,athletic shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey0.png,560,140,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,빨간색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey0.png,일 년 내내,활동적인,아웃도어#릴렉스#스포츠,Red,No
11905,athletic shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey1.png,560,140,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,초록색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey1.png,일 년 내내,활동적인,아웃도어#릴렉스#스포츠,Green,No
11906,athletic shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey2.png,560,140,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,검정색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey2.png,일 년 내내,활동적인,아웃도어#릴렉스#스포츠,Black,No
11907,athletic shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey3.png,560,140,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,파란색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey3.png,일 년 내내,활동적인,아웃도어#릴렉스#스포츠,Blue,No
11908,athletic shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey4.png,560,140,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,빨간색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey4.png,일 년 내내,활동적인,아웃도어#릴렉스#스포츠,Berry red,No
11909,athletic shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey5.png,560,140,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,파란색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey5.png,일 년 내내,활동적인,아웃도어#릴렉스#스포츠,Navy blue,No
5720,basketball shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball0.png,980,245,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,보라색,노란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball0.png,일 년 내내,활동적인,스포츠#비즈니스,Purple,No
11307,basketball shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball1.png,980,245,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,빨간색,검정색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball1.png,일 년 내내,활동적인,스포츠#비즈니스,Red,No
11308,basketball shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball2.png,980,245,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,초록색,주황색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball2.png,일 년 내내,활동적인,스포츠#비즈니스,Green,No
11309,basketball shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball3.png,980,245,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,주황색,파란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball3.png,일 년 내내,활동적인,스포츠#비즈니스,Orange,No
11310,basketball shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball4.png,980,245,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,파란색,빨간색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball4.png,일 년 내내,활동적인,스포츠#비즈니스,Blue,No
11311,basketball shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball5.png,980,245,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,노란색,초록색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball5.png,일 년 내내,활동적인,스포츠#비즈니스,Yellow,No
11312,basketball shorts,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball6.png,980,245,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,하늘색,파란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball6.png,일 년 내내,활동적인,스포츠#비즈니스,Light blue,No
