Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Tag,Door Deco,Catalog,Variant ID,Internal ID
air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_0_0.png,White,NA,NA,NA,No,No,No,NA,63000,15750,White,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",office,facility,None,None,Air Conditioning,No,For sale,0_0,929
air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_1_0.png,Gray,NA,NA,NA,No,No,No,NA,63000,15750,Gray,Gray,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",office,facility,None,None,Air Conditioning,No,For sale,1_0,929
air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,63000,15750,Black,Black,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",office,facility,None,None,Air Conditioning,No,For sale,2_0,929
air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_3_0.png,Pink,NA,NA,NA,No,No,No,NA,63000,15750,Pink,Pink,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",office,facility,None,None,Air Conditioning,No,For sale,3_0,929
air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_4_0.png,Blue,NA,NA,NA,No,No,No,NA,63000,15750,Light blue,Light blue,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",office,facility,None,None,Air Conditioning,No,For sale,4_0,929
air conditioner,https://acnhcdn.com/latest/FtrIcon/FtrAirconditioner_Remake_5_0.png,Brown,NA,NA,NA,No,No,No,NA,63000,15750,Brown,Brown,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",office,facility,None,None,Air Conditioning,No,For sale,5_0,929
antique phone,https://acnhcdn.com/latest/FtrIcon/FtrAntiquePhoneW_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,16000,4000,Brown,Yellow,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Home Appliances,No,For sale,0_0,3953
antique phone,https://acnhcdn.com/latest/FtrIcon/FtrAntiquePhoneW_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,16000,4000,Beige,Yellow,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Home Appliances,No,For sale,1_0,3953
antique phone,https://acnhcdn.com/latest/FtrIcon/FtrAntiquePhoneW_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,16000,4000,Black,Yellow,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Home Appliances,No,For sale,2_0,3953
autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_0_0.png,Signature,NA,Musician's signature,Signature,No,No,Yes,1,1400,350,White,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",school,den,None,None,Study,No,For sale,0_0,1899
autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_0_1.png,Signature,NA,Comedian's signature,Signature,No,No,Yes,1,1400,350,White,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",school,den,None,None,Study,No,For sale,0_1,1899
autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_1_0.png,Handprints,NA,Musician's signature,Signature,No,No,Yes,1,1400,350,Beige,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",school,den,None,None,Study,No,For sale,1_0,1899
autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_1_1.png,Handprints,NA,Comedian's signature,Signature,No,No,Yes,1,1400,350,Beige,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",school,den,None,None,Study,No,For sale,1_1,1899
autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_2_0.png,Illustration,NA,Musician's signature,Signature,No,No,Yes,1,1400,350,Beige,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",school,den,None,None,Study,No,For sale,2_0,1899
autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_2_1.png,Illustration,NA,Comedian's signature,Signature,No,No,Yes,1,1400,350,Beige,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",school,den,None,None,Study,No,For sale,2_1,1899
autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_3_0.png,Words of wisdom,NA,Musician's signature,Signature,No,No,Yes,1,1400,350,Beige,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",school,den,None,None,Study,No,For sale,3_0,1899
autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_3_1.png,Words of wisdom,NA,Comedian's signature,Signature,No,No,Yes,1,1400,350,Beige,White,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",school,den,None,None,Study,No,For sale,3_1,1899
bamboo wall decoration,https://acnhcdn.com/latest/FtrIcon/FtrBambooFlowerwall_Remake_0_0.png,Green bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,160,Green,Red,0.5x1 ,Crafting,,zen-style,None,bamboo,None,Plants,No,Not for sale,0_0,3558
bamboo wall decoration,https://acnhcdn.com/latest/FtrIcon/FtrBambooFlowerwall_Remake_1_0.png,Dried bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,160,Yellow,Red,0.5x1 ,Crafting,,zen-style,None,bamboo,None,Plants,No,Not for sale,1_0,3558
bamboo wall decoration,https://acnhcdn.com/latest/FtrIcon/FtrBambooFlowerwall_Remake_2_0.png,Smoke-cured bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,160,Brown,Green,0.5x1 ,Crafting,,zen-style,None,bamboo,None,Plants,No,Not for sale,2_0,3558
