Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Catalog,Variant ID,Internal ID
Admiral's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlBrd06_Remake_0_0.png,Natural wood,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,0_0,6626
Admiral's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlBrd06_Remake_1_0.png,Dark wood,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,1_0,6626
Admiral's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlBrd06_Remake_2_0.png,Pastel,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,2_0,6626
Admiral's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlBrd06_Remake_3_0.png,White,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,3_0,6626
Admiral's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlBrd06_Remake_4_0.png,Pop,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,4_0,6626
Admiral's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlBrd06_Remake_5_0.png,Colorful,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,5_0,6626
Admiral's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlBrd06_Remake_6_0.png,Silver,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,6_0,6626
Admiral's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlBrd06_Remake_7_0.png,Gold,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,7_0,6626
Agent S's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlSqu05_Remake_0_0.png,Natural wood,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,0_0,6709
Agent S's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlSqu05_Remake_1_0.png,Dark wood,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,1_0,6709
Agent S's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlSqu05_Remake_2_0.png,Pastel,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,2_0,6709
Agent S's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlSqu05_Remake_3_0.png,White,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,3_0,6709
Agent S's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlSqu05_Remake_4_0.png,Pop,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,4_0,6709
Agent S's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlSqu05_Remake_5_0.png,Colorful,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,5_0,6709
Agent S's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlSqu05_Remake_6_0.png,Silver,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,6_0,6709
Agent S's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlSqu05_Remake_7_0.png,Gold,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,7_0,6709
Agnes's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlPig17_Remake_0_0.png,Natural wood,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,0_0,6661
Agnes's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlPig17_Remake_1_0.png,Dark wood,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,1_0,6661
Agnes's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlPig17_Remake_2_0.png,Pastel,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,2_0,6661
Agnes's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlPig17_Remake_3_0.png,White,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,3_0,6661
Agnes's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlPig17_Remake_4_0.png,Pop,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,4_0,6661
Agnes's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlPig17_Remake_5_0.png,Colorful,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,5_0,6661
Agnes's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlPig17_Remake_6_0.png,Silver,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,6_0,6661
Agnes's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlPig17_Remake_7_0.png,Gold,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,7_0,6661
Al's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlGor08_Remake_0_0.png,Natural wood,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,0_0,6518
Al's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlGor08_Remake_1_0.png,Dark wood,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,1_0,6518
Al's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlGor08_Remake_2_0.png,Pastel,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,2_0,6518
Al's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlGor08_Remake_3_0.png,White,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,3_0,6518
Al's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlGor08_Remake_4_0.png,Pop,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,4_0,6518
Al's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlGor08_Remake_5_0.png,Colorful,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,5_0,6518
Al's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlGor08_Remake_6_0.png,Silver,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,6_0,6518
Al's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlGor08_Remake_7_0.png,Gold,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,7_0,6518
Alfonso's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlCrd00_Remake_0_0.png,Natural wood,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,0_0,6800
Alfonso's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlCrd00_Remake_1_0.png,Dark wood,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,1_0,6800
Alfonso's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlCrd00_Remake_2_0.png,Pastel,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,2_0,6800
Alfonso's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlCrd00_Remake_3_0.png,White,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,3_0,6800
Alfonso's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlCrd00_Remake_4_0.png,Pop,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,4_0,6800
Alfonso's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlCrd00_Remake_5_0.png,Colorful,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,5_0,6800
Alfonso's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlCrd00_Remake_6_0.png,Silver,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,6_0,6800
Alfonso's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlCrd00_Remake_7_0.png,Gold,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,7_0,6800
Alice's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlKal01_Remake_0_0.png,Natural wood,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,0_0,6555
Alice's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlKal01_Remake_1_0.png,Dark wood,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,1_0,6555
Alice's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlKal01_Remake_2_0.png,Pastel,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,2_0,6555
Alice's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlKal01_Remake_3_0.png,White,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,3_0,6555
Alice's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlKal01_Remake_4_0.png,Pop,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,4_0,6555
Alice's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlKal01_Remake_5_0.png,Colorful,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,Not in catalog,5_0,6555
