Internal ID,Name,Storage Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Closet Image,Seasonal Availability,Style,Label Themes,Variation,Miles Price,Villager Equippable
8532,A tee,https://acnhcdn.com/latest/FtrIcon/TopsTexTopTshirtsHAce0.png,560,140,Nook Shopping Catalog,,Blue,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsHAce0.png,All Year,Simple,everyday; comfy,NA,NA,Yes
5289,acid-washed jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLChemical0.png,1680,420,Able Sisters,Available from Able Sisters shop only,Blue,Blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLChemical0.png,All Year,Simple,everyday; outdoorsy,Blue,NA,Yes
9538,acid-washed jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLChemical1.png,1680,420,Able Sisters,Available from Able Sisters shop only,Black,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLChemical1.png,All Year,Simple,everyday; outdoorsy,Black,NA,Yes
4366,after-school jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen0.png,1050,262,Able Sisters,Available from Able Sisters shop only,Black,Red,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen0.png,All Year,Cool,everyday; comfy,Black,NA,Yes
7554,after-school jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen1.png,1050,262,Able Sisters,Available from Able Sisters shop only,Red,Green,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen1.png,All Year,Cool,everyday; comfy,Berry red,NA,Yes
7555,after-school jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen2.png,1050,262,Able Sisters,Available from Able Sisters shop only,Green,Yellow,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen2.png,All Year,Cool,everyday; comfy,Green,NA,Yes
7556,after-school jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen3.png,1050,262,Able Sisters,Available from Able Sisters shop only,White,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen3.png,All Year,Cool,everyday; comfy,White,NA,Yes
7557,after-school jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen4.png,1050,262,Able Sisters,Available from Able Sisters shop only,Purple,Blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen4.png,All Year,Cool,everyday; comfy,Purple,NA,Yes
7558,after-school jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen5.png,1050,262,Able Sisters,Available from Able Sisters shop only,Gray,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen5.png,All Year,Cool,everyday; comfy,Gray,NA,Yes
7559,after-school jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLGakuranopen6.png,1050,262,Able Sisters,Available from Able Sisters shop only,Blue,Purple,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLGakuranopen6.png,All Year,Cool,everyday; comfy,Blue,NA,Yes
4465,animal-print coat,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatLAnimal0.png,2320,580,Able Sisters,Available from Able Sisters shop only,Blue,Light blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatLAnimal0.png,Winter,Cute,everyday,Blue,NA,Yes
8449,animal-print coat,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatLAnimal1.png,2320,580,Able Sisters,Available from Able Sisters shop only,Green,Green,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatLAnimal1.png,Winter,Cute,everyday,Green,NA,Yes
8450,animal-print coat,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatLAnimal2.png,2320,580,Able Sisters,Available from Able Sisters shop only,Purple,Purple,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatLAnimal2.png,Winter,Cute,everyday,Purple,NA,Yes
8451,animal-print coat,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatLAnimal3.png,2320,580,Able Sisters,Available from Able Sisters shop only,Pink,Pink,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatLAnimal3.png,Winter,Cute,everyday,Pink,NA,Yes
8198,animal-stripes tee,https://acnhcdn.com/latest/FtrIcon/TopsTexTopTshirtsHStripe0.png,960,240,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Yellow,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsHStripe0.png,Summer,Cool,everyday; comfy,Tiger,NA,Yes
12066,animal-stripes tee,https://acnhcdn.com/latest/FtrIcon/TopsTexTopTshirtsHStripe1.png,960,240,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Gray,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsHStripe1.png,Summer,Cool,everyday; comfy,Zebra,NA,Yes
12117,annyeong tee,https://acnhcdn.com/latest/FtrIcon/TopsTexTopTshirtsHHellokr0.png,640,160,Nook Shopping Catalog,,Light blue,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsHHellokr0.png,All Year,Simple,everyday; comfy,NA,NA,Yes
4793,anorak jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatLAnorak0.png,1400,350,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Beige,Beige,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatLAnorak0.png,All Year,Simple,everyday; outdoorsy,Camel,NA,Yes
9308,anorak jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatLAnorak1.png,1400,350,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Red,Red,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatLAnorak1.png,All Year,Simple,everyday; outdoorsy,Red,NA,Yes
9309,anorak jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatLAnorak2.png,1400,350,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Blue,Blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatLAnorak2.png,All Year,Simple,everyday; outdoorsy,Blue,NA,Yes
3228,apron,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatHApron0.png,840,210,Able Sisters,Available from Able Sisters shop only,Orange,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatHApron0.png,All Year,Simple,everyday; work,Orange,NA,Yes
9595,apron,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatHApron1.png,840,210,Able Sisters,Available from Able Sisters shop only,Green,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatHApron1.png,All Year,Simple,everyday; work,Green,NA,Yes
9596,apron,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatHApron2.png,840,210,Able Sisters,Available from Able Sisters shop only,Blue,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatHApron2.png,All Year,Simple,everyday; work,Blue,NA,Yes
9597,apron,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatHApron3.png,840,210,Able Sisters,Available from Able Sisters shop only,Pink,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatHApron3.png,All Year,Simple,everyday; work,Pink,NA,Yes
9598,apron,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatHApron4.png,840,210,Able Sisters,Available from Able Sisters shop only,Light blue,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatHApron4.png,All Year,Simple,everyday; work,Light blue,NA,Yes
