Internal ID,Name,Storage Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Closet Image,Seasonal Availability,Style,Label Themes,Variation,Villager Equippable,Miles Price
5523,antique boots,https://acnhcdn.com/latest/FtrIcon/ShoesKneeAntique0.png,2640,660,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Brown,Brown,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeAntique0.png,All Year,Simple,everyday; fairy tale,Brown,No,NA
11689,antique boots,https://acnhcdn.com/latest/FtrIcon/ShoesKneeAntique1.png,2640,660,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Black,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeAntique1.png,All Year,Simple,everyday; fairy tale,Black,No,NA
11690,antique boots,https://acnhcdn.com/latest/FtrIcon/ShoesKneeAntique2.png,2640,660,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Beige,Beige,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeAntique2.png,All Year,Simple,everyday; fairy tale,Greige,No,NA
5472,armor shoes,https://acnhcdn.com/latest/FtrIcon/ShoesKneeKnightIron.png,NFS,3000,Crafting,,Gray,Gray,Not for sale,Yes,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeKnightIron.png,All Year,Cool,fairy tale; goth,Gray,No,NA
6043,babouches,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush0.png,560,140,Kicks,,Light blue,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush0.png,All Year,Cute,comfy; vacation,Blue,No,NA
10109,babouches,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush1.png,560,140,Kicks,,Orange,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush1.png,All Year,Cute,comfy; vacation,Orange,No,NA
10110,babouches,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush2.png,560,140,Kicks,,Pink,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush2.png,All Year,Cute,comfy; vacation,Pink,No,NA
10111,babouches,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush3.png,560,140,Kicks,,Yellow,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush3.png,All Year,Cute,comfy; vacation,Yellow,No,NA
10112,babouches,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush4.png,560,140,Kicks,,Gray,Yellow,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush4.png,All Year,Cute,comfy; vacation,Gray,No,NA
10113,babouches,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush5.png,560,140,Kicks,,Purple,Yellow,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush5.png,All Year,Cute,comfy; vacation,Purple,No,NA
10114,babouches,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush6.png,560,140,Kicks,,Green,Yellow,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush6.png,All Year,Cute,comfy; vacation,Mint,No,NA
10115,babouches,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBaboush7.png,560,140,Kicks,,Red,Yellow,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBaboush7.png,All Year,Cute,comfy; vacation,Red,No,NA
5608,ballet slippers,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet0.png,2200,550,Kicks,,Pink,Pink,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet0.png,All Year,Elegant,fairy tale; sporty; theatrical; work,Pink,No,NA
10155,ballet slippers,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet1.png,2200,550,Kicks,,Light blue,Light blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet1.png,All Year,Elegant,fairy tale; sporty; theatrical; work,Mint,No,NA
10156,ballet slippers,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet2.png,2200,550,Kicks,,Blue,Blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet2.png,All Year,Elegant,fairy tale; sporty; theatrical; work,Blue,No,NA
10157,ballet slippers,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet3.png,2200,550,Kicks,,Purple,Purple,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet3.png,All Year,Elegant,fairy tale; sporty; theatrical; work,Purple,No,NA
10158,ballet slippers,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet4.png,2200,550,Kicks,,Black,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet4.png,All Year,Elegant,fairy tale; sporty; theatrical; work,Black,No,NA
10159,ballet slippers,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet5.png,2200,550,Kicks,,Beige,Beige,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet5.png,All Year,Elegant,fairy tale; sporty; theatrical; work,White,No,NA
10160,ballet slippers,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet6.png,2200,550,Kicks,,Yellow,Yellow,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet6.png,All Year,Elegant,fairy tale; sporty; theatrical; work,Yellow,No,NA
10161,ballet slippers,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBallet7.png,2200,550,Kicks,,Orange,Orange,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBallet7.png,All Year,Elegant,fairy tale; sporty; theatrical; work,Red,No,NA
5638,basketball shoes,https://acnhcdn.com/latest/FtrIcon/ShoesHighcutBasket0.png,1500,375,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Red,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesHighcutBasket0.png,All Year,Active,sporty; work,Red,No,NA
10060,basketball shoes,https://acnhcdn.com/latest/FtrIcon/ShoesHighcutBasket1.png,1500,375,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Green,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesHighcutBasket1.png,All Year,Active,sporty; work,Green,No,NA
10061,basketball shoes,https://acnhcdn.com/latest/FtrIcon/ShoesHighcutBasket2.png,1500,375,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Beige,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesHighcutBasket2.png,All Year,Active,sporty; work,Beige,No,NA
10062,basketball shoes,https://acnhcdn.com/latest/FtrIcon/ShoesHighcutBasket3.png,1500,375,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Yellow,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesHighcutBasket3.png,All Year,Active,sporty; work,Orange,No,NA
10063,basketball shoes,https://acnhcdn.com/latest/FtrIcon/ShoesHighcutBasket4.png,1500,375,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Blue,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesHighcutBasket4.png,All Year,Active,sporty; work,Blue,No,NA
10064,basketball shoes,https://acnhcdn.com/latest/FtrIcon/ShoesHighcutBasket5.png,1500,375,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Purple,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesHighcutBasket5.png,All Year,Active,sporty; work,Purple,No,NA
10065,basketball shoes,https://acnhcdn.com/latest/FtrIcon/ShoesHighcutBasket6.png,1500,375,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Light blue,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesHighcutBasket6.png,All Year,Active,sporty; work,Light blue,No,NA
10066,basketball shoes,https://acnhcdn.com/latest/FtrIcon/ShoesHighcutBasket7.png,1500,375,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Pink,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesHighcutBasket7.png,All Year,Active,sporty; work,Pink,No,NA
5478,beaded sandals,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBeads0.png,1800,450,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Orange,Colorful,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBeads0.png,Summer,Gorgeous,everyday; comfy; vacation,Orange,No,NA
10137,beaded sandals,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBeads1.png,1800,450,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Purple,Colorful,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBeads1.png,Summer,Gorgeous,everyday; comfy; vacation,Purple,No,NA
10138,beaded sandals,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBeads2.png,1800,450,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Yellow,Colorful,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBeads2.png,Summer,Gorgeous,everyday; comfy; vacation,Yellow,No,NA
10139,beaded sandals,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBeads3.png,1800,450,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Red,Colorful,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBeads3.png,Summer,Gorgeous,everyday; comfy; vacation,Red,No,NA
10140,beaded sandals,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBeads4.png,1800,450,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Green,Colorful,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBeads4.png,Summer,Gorgeous,everyday; comfy; vacation,Green,No,NA
10141,beaded sandals,https://acnhcdn.com/latest/FtrIcon/ShoesSandalBeads5.png,1800,450,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Beige,Colorful,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalBeads5.png,Summer,Gorgeous,everyday; comfy; vacation,Beige,No,NA
5479,boots,https://acnhcdn.com/latest/FtrIcon/ShoesKneeRubberboots0.png,560,140,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Green,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeRubberboots0.png,All Year,Simple,outdoorsy; work,Green,No,NA
11685,boots,https://acnhcdn.com/latest/FtrIcon/ShoesKneeRubberboots1.png,560,140,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Black,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeRubberboots1.png,All Year,Simple,outdoorsy; work,Black,No,NA
11686,boots,https://acnhcdn.com/latest/FtrIcon/ShoesKneeRubberboots2.png,560,140,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Blue,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeRubberboots2.png,All Year,Simple,outdoorsy; work,Blue,No,NA
11687,boots,https://acnhcdn.com/latest/FtrIcon/ShoesKneeRubberboots3.png,560,140,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Red,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeRubberboots3.png,All Year,Simple,outdoorsy; work,Red,No,NA
11688,boots,https://acnhcdn.com/latest/FtrIcon/ShoesKneeRubberboots4.png,560,140,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Yellow,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeRubberboots4.png,All Year,Simple,outdoorsy; work,Olive,No,NA
4730,business shoes,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBusiness0.png,1300,325,Able Sisters,Available from Able Sisters shop only,Black,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBusiness0.png,All Year,Simple,formal; work,Black,No,NA
11455,business shoes,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutBusiness1.png,1300,325,Able Sisters,Available from Able Sisters shop only,Brown,Brown,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutBusiness1.png,All Year,Simple,formal; work,Brown,No,NA
5654,cleats,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutSpike0.png,1200,300,Kicks,,Blue,Gray,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutSpike0.png,All Year,Active,sporty; work,Blue,No,NA
10245,cleats,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutSpike1.png,1200,300,Kicks,,Light blue,Gray,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutSpike1.png,All Year,Active,sporty; work,Light blue,No,NA
10246,cleats,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutSpike2.png,1200,300,Kicks,,Red,Gray,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutSpike2.png,All Year,Active,sporty; work,Red,No,NA
10247,cleats,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutSpike3.png,1200,300,Kicks,,Yellow,Gray,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutSpike3.png,All Year,Active,sporty; work,Yellow,No,NA
10248,cleats,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutSpike4.png,1200,300,Kicks,,Black,Gray,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutSpike4.png,All Year,Active,sporty; work,Black,No,NA
10249,cleats,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutSpike5.png,1200,300,Kicks,,Orange,Gray,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutSpike5.png,All Year,Active,sporty; work,Orange,No,NA
10250,cleats,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutSpike6.png,1200,300,Kicks,,Green,Gray,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutSpike6.png,All Year,Active,sporty; work,Green,No,NA
10251,cleats,https://acnhcdn.com/latest/FtrIcon/ShoesLowcutSpike7.png,1200,300,Kicks,,Purple,Gray,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesLowcutSpike7.png,All Year,Active,sporty; work,Purple,No,NA
5619,comfy sandals,https://acnhcdn.com/latest/FtrIcon/ShoesSandalComfort0.png,1040,260,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Brown,Beige,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalComfort0.png,Summer,Simple,everyday; comfy; vacation,Brown,No,NA
10700,comfy sandals,https://acnhcdn.com/latest/FtrIcon/ShoesSandalComfort1.png,1040,260,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,White,Beige,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalComfort1.png,Summer,Simple,everyday; comfy; vacation,White,No,NA
10701,comfy sandals,https://acnhcdn.com/latest/FtrIcon/ShoesSandalComfort2.png,1040,260,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Green,Beige,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalComfort2.png,Summer,Simple,everyday; comfy; vacation,Green,No,NA
10702,comfy sandals,https://acnhcdn.com/latest/FtrIcon/ShoesSandalComfort3.png,1040,260,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Blue,Beige,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalComfort3.png,Summer,Simple,everyday; comfy; vacation,Blue,No,NA
10703,comfy sandals,https://acnhcdn.com/latest/FtrIcon/ShoesSandalComfort4.png,1040,260,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Red,Beige,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalComfort4.png,Summer,Simple,everyday; comfy; vacation,Red,No,NA
10704,comfy sandals,https://acnhcdn.com/latest/FtrIcon/ShoesSandalComfort5.png,1040,260,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Orange,Beige,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalComfort5.png,Summer,Simple,everyday; comfy; vacation,Orange,No,NA
10705,comfy sandals,https://acnhcdn.com/latest/FtrIcon/ShoesSandalComfort6.png,1040,260,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Yellow,Beige,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalComfort6.png,Summer,Simple,everyday; comfy; vacation,Yellow,No,NA
10706,comfy sandals,https://acnhcdn.com/latest/FtrIcon/ShoesSandalComfort7.png,1040,260,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Purple,Beige,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalComfort7.png,Summer,Simple,everyday; comfy; vacation,Purple,No,NA
5643,cowboy boots,https://acnhcdn.com/latest/FtrIcon/ShoesKneeWestern0.png,2380,595,Able Sisters,Available from Able Sisters shop only,Brown,Brown,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeWestern0.png,All Year,Elegant,outdoorsy; theatrical; work,Brown,No,NA
11253,cowboy boots,https://acnhcdn.com/latest/FtrIcon/ShoesKneeWestern1.png,2380,595,Able Sisters,Available from Able Sisters shop only,Black,Brown,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeWestern1.png,All Year,Elegant,outdoorsy; theatrical; work,Black,No,NA
11254,cowboy boots,https://acnhcdn.com/latest/FtrIcon/ShoesKneeWestern2.png,2380,595,Able Sisters,Available from Able Sisters shop only,White,Brown,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeWestern2.png,All Year,Elegant,outdoorsy; theatrical; work,Ivory,No,NA
11255,cowboy boots,https://acnhcdn.com/latest/FtrIcon/ShoesKneeWestern3.png,2380,595,Able Sisters,Available from Able Sisters shop only,Pink,Brown,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeWestern3.png,All Year,Elegant,outdoorsy; theatrical; work,Pink,No,NA
11256,cowboy boots,https://acnhcdn.com/latest/FtrIcon/ShoesKneeWestern4.png,2380,595,Able Sisters,Available from Able Sisters shop only,Light blue,Brown,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesKneeWestern4.png,All Year,Elegant,outdoorsy; theatrical; work,Blue,No,NA
4725,cross-belt sandals,https://acnhcdn.com/latest/FtrIcon/ShoesSandalCrossbelt0.png,1040,260,Able Sisters,Available from Able Sisters shop only,Green,Green,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalCrossbelt0.png,Summer,Elegant,everyday; vacation,Green,No,NA
10121,cross-belt sandals,https://acnhcdn.com/latest/FtrIcon/ShoesSandalCrossbelt1.png,1040,260,Able Sisters,Available from Able Sisters shop only,Pink,Pink,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalCrossbelt1.png,Summer,Elegant,everyday; vacation,Pink,No,NA
10122,cross-belt sandals,https://acnhcdn.com/latest/FtrIcon/ShoesSandalCrossbelt2.png,1040,260,Able Sisters,Available from Able Sisters shop only,Gray,Gray,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/ShoesSandalCrossbelt2.png,Summer,Elegant,everyday; vacation,Gray,No,NA
