Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Seasonal Availability,Style,Label Themes,Catalog,Internal ID
aerobics leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics0.png,Red & pink,No,700,175,Pink,Red,1x1,Kicks,,All Year,Active,sporty,For sale,5197
aerobics leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics1.png,Emerald & lime,No,700,175,Green,Light blue,1x1,Kicks,,All Year,Active,sporty,For sale,9794
aerobics leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics2.png,Purple & orange,No,700,175,Orange,Purple,1x1,Kicks,,All Year,Active,sporty,For sale,9795
aerobics leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics3.png,Light blue & salmon pink,No,700,175,Pink,Light blue,1x1,Kicks,,All Year,Active,sporty,For sale,9796
aerobics leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics4.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics4.png,Yellow & blue,No,700,175,Blue,Yellow,1x1,Kicks,,All Year,Active,sporty,For sale,9797
Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan0.png,Beige,No,720,180,Beige,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,Simple,everyday; comfy,For sale,4742
Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan1.png,White,No,720,180,White,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,Simple,everyday; comfy,For sale,9058
Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan2.png,Red,No,720,180,Red,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,Simple,everyday; comfy,For sale,9059
Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan3.png,Green,No,720,180,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,Simple,everyday; comfy,For sale,9060
Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan4.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan4.png,Blue,No,720,180,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,Simple,everyday; comfy,For sale,9061
Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan5.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan5.png,Black,No,720,180,Black,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,Simple,everyday; comfy,For sale,9062
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle0.png,Blue,No,720,180,Blue,Light blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal; work,For sale,5806
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle1.png,Red,No,720,180,Red,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal; work,For sale,9921
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle2.png,Green,No,720,180,Green,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal; work,For sale,9922
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle3.png,Beige,No,720,180,Beige,Brown,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal; work,For sale,9923
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle4.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle4.png,Gray,No,720,180,Gray,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal; work,For sale,9924
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle5.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle5.png,White,No,720,180,White,Red,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal; work,For sale,9925
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle6.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle6.png,Orange,No,720,180,Orange,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal; work,For sale,9926
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle7.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle7.png,Pink,No,720,180,Pink,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal; work,For sale,9927
back-bow socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexRibbon0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexRibbon0.png,Pink,No,600,150,Pink,Black,1x1,Kicks,,All Year,Cute,everyday; fairy tale; party; vacation,For sale,4718
back-bow socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexRibbon1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexRibbon1.png,Yellow,No,600,150,Yellow,Green,1x1,Kicks,,All Year,Cute,everyday; fairy tale; party; vacation,For sale,9053
back-bow socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexRibbon2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexRibbon2.png,Black,No,600,150,Black,White,1x1,Kicks,,All Year,Cute,everyday; fairy tale; party; vacation,For sale,9054
back-bow socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexRibbon3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexRibbon3.png,White,No,600,150,White,Pink,1x1,Kicks,,All Year,Cute,everyday; fairy tale; party; vacation,For sale,9055
back-bow socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexRibbon4.png,https://acnhcdn.com/latest/FtrIcon/SocksTexRibbon4.png,Blue,No,600,150,Light blue,Yellow,1x1,Kicks,,All Year,Cute,everyday; fairy tale; party; vacation,For sale,9056
back-bow socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexRibbon5.png,https://acnhcdn.com/latest/FtrIcon/SocksTexRibbon5.png,Peacock blue,No,600,150,Green,Pink,1x1,Kicks,,All Year,Cute,everyday; fairy tale; party; vacation,For sale,9057
bobby socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexFolded0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexFolded0.png,White,No,480,120,White,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Elegant,formal; work,For sale,5171
bobby socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexFolded1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexFolded1.png,Gray,No,480,120,Gray,Gray,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Elegant,formal; work,For sale,10017
bobby socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexFolded2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexFolded2.png,Black,No,480,120,Black,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Elegant,formal; work,For sale,10018
bobby socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexFolded3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexFolded3.png,Brown,No,480,120,Brown,Brown,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Elegant,formal; work,For sale,10019
color-blocked socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexMultiblock0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexMultiblock0.png,Purple,No,840,210,Purple,Colorful,1x1,Kicks,,All Year,Cute,everyday,For sale,5180
color-blocked socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexMultiblock1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexMultiblock1.png,Green,No,840,210,Green,Colorful,1x1,Kicks,,All Year,Cute,everyday,For sale,9895
color-blocked socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexMultiblock2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexMultiblock2.png,Brown,No,840,210,Brown,Colorful,1x1,Kicks,,All Year,Cute,everyday,For sale,9896
color-blocked socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexMultiblock3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexMultiblock3.png,Blue,No,840,210,Blue,Colorful,1x1,Kicks,,All Year,Cute,everyday,For sale,9897
color-blocked socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexMultiblock4.png,https://acnhcdn.com/latest/FtrIcon/SocksTexMultiblock4.png,Beige,No,840,210,Beige,Colorful,1x1,Kicks,,All Year,Cute,everyday,For sale,9898
color-blocked socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexMultiblock5.png,https://acnhcdn.com/latest/FtrIcon/SocksTexMultiblock5.png,White,No,840,210,White,Colorful,1x1,Kicks,,All Year,Cute,everyday,For sale,9899
color-blocked socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexMultiblock6.png,https://acnhcdn.com/latest/FtrIcon/SocksTexMultiblock6.png,Lime,No,840,210,Green,Colorful,1x1,Kicks,,All Year,Cute,everyday,For sale,9900
color-blocked socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexMultiblock7.png,https://acnhcdn.com/latest/FtrIcon/SocksTexMultiblock7.png,Pink,No,840,210,Pink,Colorful,1x1,Kicks,,All Year,Cute,everyday,For sale,9901
compression tights,https://acnhcdn.com/latest/ClosetIcon/SocksTexCompression0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexCompression0.png,Blue,No,600,150,Black,Blue,1x1,Kicks,,All Year,Active,outdoorsy; sporty; work,For sale,5170
compression tights,https://acnhcdn.com/latest/ClosetIcon/SocksTexCompression1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexCompression1.png,Yellow,No,600,150,Black,Yellow,1x1,Kicks,,All Year,Active,outdoorsy; sporty; work,For sale,9790
compression tights,https://acnhcdn.com/latest/ClosetIcon/SocksTexCompression2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexCompression2.png,Pink,No,600,150,Black,Pink,1x1,Kicks,,All Year,Active,outdoorsy; sporty; work,For sale,9791
compression tights,https://acnhcdn.com/latest/ClosetIcon/SocksTexCompression3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexCompression3.png,Mint,No,600,150,Black,Green,1x1,Kicks,,All Year,Active,outdoorsy; sporty; work,For sale,9792
compression tights,https://acnhcdn.com/latest/ClosetIcon/SocksTexCompression4.png,https://acnhcdn.com/latest/FtrIcon/SocksTexCompression4.png,Red,No,600,150,Black,Red,1x1,Kicks,,All Year,Active,outdoorsy; sporty; work,For sale,9793
country socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexCountry0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexCountry0.png,Red ribbons,No,720,180,White,Red,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,formal; work,For sale,6044
country socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexCountry1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexCountry1.png,Green ribbons,No,720,180,White,Green,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,formal; work,For sale,8942
country socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexCountry2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexCountry2.png,Blue ribbons,No,720,180,White,Blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,formal; work,For sale,8943
country socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexCountry3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexCountry3.png,Black ribbons,No,720,180,White,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,formal; work,For sale,8944
crocheted socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexCrocheting0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexCrocheting0.png,Beige,No,600,150,Beige,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Elegant,everyday; comfy,For sale,5202
crocheted socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexCrocheting1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexCrocheting1.png,Gray,No,600,150,Gray,Gray,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Elegant,everyday; comfy,For sale,8939
crocheted socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexCrocheting2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexCrocheting2.png,Purple,No,600,150,Pink,Pink,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Elegant,everyday; comfy,For sale,8940
crocheted socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexCrocheting3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexCrocheting3.png,Blue,No,600,150,Light blue,Light blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Elegant,everyday; comfy,For sale,8941
denim leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexDenimleggings0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexDenimleggings0.png,Blue,No,540,135,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Simple,everyday; outdoorsy; sporty,For sale,4745
denim leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexDenimleggings1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexDenimleggings1.png,Indigo blue,No,540,135,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Simple,everyday; outdoorsy; sporty,For sale,9782
denim leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexDenimleggings2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexDenimleggings2.png,Saxon blue,No,540,135,Light blue,Light blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Simple,everyday; outdoorsy; sporty,For sale,9783
denim leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexDenimleggings3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexDenimleggings3.png,Light blue,No,540,135,Light blue,Light blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Simple,everyday; outdoorsy; sporty,For sale,9784
dotted knee-high socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexDotknee0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexDotknee0.png,Black,No,720,180,Black,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,everyday,For sale,12174
dotted knee-high socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexDotknee1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexDotknee1.png,Yellow,No,720,180,Yellow,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,everyday,For sale,12179
dotted knee-high socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexDotknee2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexDotknee2.png,Cyan,No,720,180,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,everyday,For sale,12180
dotted knee-high socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexDotknee3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexDotknee3.png,Gray,No,720,180,Gray,Gray,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,everyday,For sale,12181
embroidered-flower tights,https://acnhcdn.com/latest/ClosetIcon/SocksTexEmbroidery0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexEmbroidery0.png,Brown,No,1000,250,Brown,Red,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,everyday; fairy tale; party,For sale,5204
embroidered-flower tights,https://acnhcdn.com/latest/ClosetIcon/SocksTexEmbroidery1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexEmbroidery1.png,Black,No,1000,250,Black,White,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,everyday; fairy tale; party,For sale,9907
embroidered-flower tights,https://acnhcdn.com/latest/ClosetIcon/SocksTexEmbroidery2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexEmbroidery2.png,Green,No,1000,250,Green,Yellow,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,everyday; fairy tale; party,For sale,9908
embroidered-flower tights,https://acnhcdn.com/latest/ClosetIcon/SocksTexEmbroidery3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexEmbroidery3.png,Beige,No,1000,250,Beige,Red,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,everyday; fairy tale; party,For sale,9909
embroidered-flower tights,https://acnhcdn.com/latest/ClosetIcon/SocksTexEmbroidery4.png,https://acnhcdn.com/latest/FtrIcon/SocksTexEmbroidery4.png,Blue,No,1000,250,Blue,Orange,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,everyday; fairy tale; party,For sale,9910
embroidered-flower tights,https://acnhcdn.com/latest/ClosetIcon/SocksTexEmbroidery5.png,https://acnhcdn.com/latest/FtrIcon/SocksTexEmbroidery5.png,Purple,No,1000,250,Purple,Pink,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,everyday; fairy tale; party,For sale,9911
everyday socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexDailysocks0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexDailysocks0.png,Brown,No,600,150,Brown,Brown,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Simple,everyday; work,For sale,9645
