Internal ID,Name,Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Variant ID,Variation,Body Title,Pattern,Pattern Title,Kit Cost,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Body Customize,Pattern Customize,Miles Price,Outdoor
383,acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_0_0.png,NFS,3210,Crafting,,Beige,Brown,Not for sale,Yes,1x1,0_0,Natural,Body,NA,NA,5,music,None,None,None,Yes,No,NA,No
383,acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_1_0.png,NFS,3210,Crafting,,Red,Black,Not for sale,Yes,1x1,1_0,Cherry,Body,NA,NA,5,music,None,None,None,Yes,No,NA,No
383,acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_2_0.png,NFS,3210,Crafting,,Brown,Black,Not for sale,Yes,1x1,2_0,Brown,Body,NA,NA,5,music,None,None,None,Yes,No,NA,No
383,acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_3_0.png,NFS,3210,Crafting,,Blue,Black,Not for sale,Yes,1x1,3_0,Blue,Body,NA,NA,5,music,None,None,None,Yes,No,NA,No
383,acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_4_0.png,NFS,3210,Crafting,,White,Black,Not for sale,Yes,1x1,4_0,White,Body,NA,NA,5,music,None,None,None,Yes,No,NA,No
383,acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_5_0.png,NFS,3210,Crafting,,Black,Black,Not for sale,Yes,1x1,5_0,Black,Body,NA,NA,5,music,None,None,None,Yes,No,NA,No
383,acoustic guitar,https://acnhcdn.com/latest/FtrIcon/FtrAcorsticguitar_Remake_6_0.png,NFS,3210,Crafting,,Pink,White,Not for sale,Yes,1x1,6_0,Pink,Body,NA,NA,5,music,None,None,None,Yes,No,NA,No
3821,air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_0_0.png,1100,275,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,White,White,For sale,No,1x1,0_0,White,NA,NA,NA,NA,living room,office,None,None,No,No,NA,Yes
3821,air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_1_0.png,1100,275,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Black,Gray,For sale,No,1x1,1_0,Black,NA,NA,NA,NA,living room,office,None,None,No,No,NA,Yes
3821,air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_2_0.png,1100,275,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Pink,Pink,For sale,No,1x1,2_0,Pink,NA,NA,NA,NA,living room,office,None,None,No,No,NA,Yes
3821,air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_3_0.png,1100,275,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Green,Gray,For sale,No,1x1,3_0,Green,NA,NA,NA,NA,living room,office,None,None,No,No,NA,Yes
3821,air circulator,https://acnhcdn.com/latest/FtrIcon/FtrCirculator_Remake_4_0.png,1100,275,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Yellow,Gray,For sale,No,1x1,4_0,Yellow,NA,NA,NA,NA,living room,office,None,None,No,No,NA,Yes
846,alto saxophone,https://acnhcdn.com/latest/FtrIcon/FtrAltosax.png,3400,850,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",Yellow,Yellow,For sale,No,1x1,NA,NA,NA,NA,NA,NA,music,None,None,None,No,No,NA,No
1317,anatomical model,https://acnhcdn.com/latest/FtrIcon/FtrAnatomicalmodel.png,3500,875,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Colorful,Beige,For sale,No,1x1,NA,NA,NA,NA,NA,NA,school,expensive,None,None,No,No,NA,No
7238,anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_0_0.png,NFS,1400,Fishing Tourney,,Black,Beige,Not for sale,No,1x1,0_0,Black,Color,NA,NA,2,ocean,None,None,None,Yes,No,NA,Yes
7238,anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_1_0.png,NFS,1400,Fishing Tourney,,Gray,Beige,Not for sale,No,1x1,1_0,Silver,Color,NA,NA,2,ocean,None,None,None,Yes,No,NA,Yes
7238,anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_2_0.png,NFS,1400,Fishing Tourney,,Brown,Beige,Not for sale,No,1x1,2_0,Gold,Color,NA,NA,2,ocean,None,None,None,Yes,No,NA,Yes
7238,anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_3_0.png,NFS,1400,Fishing Tourney,,White,Beige,Not for sale,No,1x1,3_0,White,Color,NA,NA,2,ocean,None,None,None,Yes,No,NA,Yes
7238,anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_4_0.png,NFS,1400,Fishing Tourney,,Blue,White,Not for sale,No,1x1,4_0,Blue,Color,NA,NA,2,ocean,None,None,None,Yes,No,NA,Yes
7238,anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_5_0.png,NFS,1400,Fishing Tourney,,Brown,Gray,Not for sale,No,1x1,5_0,Retro,Color,NA,NA,2,ocean,None,None,None,Yes,No,NA,Yes
7867,angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_0_0.png,NFS,600,Crafting,,Beige,Brown,Not for sale,Yes,1x1,0_0,Home,Navigation,NA,NA,1,garden,None,None,None,Yes,No,NA,Yes
7867,angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_1_0.png,NFS,600,Crafting,,Beige,Brown,Not for sale,Yes,1x1,1_0,Forest,Navigation,NA,NA,1,garden,None,None,None,Yes,No,NA,Yes
7867,angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_2_0.png,NFS,600,Crafting,,Beige,Brown,Not for sale,Yes,1x1,2_0,Fishing Spot,Navigation,NA,NA,1,garden,None,None,None,Yes,No,NA,Yes
7867,angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_3_0.png,NFS,600,Crafting,,Beige,Brown,Not for sale,Yes,1x1,3_0,Resident Services,Navigation,NA,NA,1,garden,None,None,None,Yes,No,NA,Yes
7867,angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_4_0.png,NFS,600,Crafting,,Beige,Brown,Not for sale,Yes,1x1,4_0,Airport,Navigation,NA,NA,1,garden,None,None,None,Yes,No,NA,Yes
7867,angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_5_0.png,NFS,600,Crafting,,Beige,Brown,Not for sale,Yes,1x1,5_0,Shop,Navigation,NA,NA,1,garden,None,None,None,Yes,No,NA,Yes
7867,angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_6_0.png,NFS,600,Crafting,,Beige,Brown,Not for sale,Yes,1x1,6_0,Tailors,Navigation,NA,NA,1,garden,None,None,None,Yes,No,NA,Yes
7867,angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_7_0.png,NFS,600,Crafting,,Beige,Brown,Not for sale,Yes,1x1,7_0,Museum,Navigation,NA,NA,1,garden,None,None,None,Yes,No,NA,Yes
3957,antique bed,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBedW_Remake_0_0.png,28000,7000,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",Brown,White,For sale,No,2x2,0_0,Brown,NA,NA,NA,NA,living room,expensive,antique,None,No,No,NA,No
